SourceFile,Line,Heading,Text,Classification,RequirementIDs,Basis
01-EVERYTHING-WE-ARE-KEEPING.md,45,1. Final Product Identity,"Current Architecture (To Be Removed): Immich-derived client-server model relying on standalone REST/WebSocket backend processes, PostgreSQL databases, Redis job queues, Docker/container deployment, multi-user account authentication, and remote network access.",REQUIREMENT,LAM-AI-003,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,46,1. Final Product Identity,"Target Architecture (To Be Implemented): A unified, single-user, local-first desktop application built on a Tauri 2 shell, Svelte/SvelteKit UI, Rust desktop core, SQLite local rebuildable index, bundled local AI worker communicating exclusively via local IPC, and transparent JSON/XMP file sidecars.",REQUIREMENT,LAM-AI-004,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,47,1. Final Product Identity,"Execution Guardrail: A weaker coding model MUST NEVER implement server REST endpoints in Rust, embed PostgreSQL/Redis in Tauri, or require network ports for core application logic.",REQUIREMENT,LAM-AI-005,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,49,1. Final Product Identity,[!WARNING],REQUIREMENT,LAM-ARCH-018,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,50,1. Final Product Identity,Anti-Prototype & Anti-Stub Guardrail,REQUIREMENT,LAM-ARCH-019,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,51,1. Final Product Identity,"It is strictly illegal to write stub functions (// TODO: implement later), mock implementations, static dummy JSON returns, or comment out failing tests to achieve completion. Every retained feature must be fully functional, backed by real file-system sidecars and SQLite indexes, and capable of handling production error states.",REQUIREMENT,LAM-META-001; LAM-META-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,53,1. Final Product Identity,---,STRUCTURAL,,Table/layout structure or non-normative explanatory row
01-EVERYTHING-WE-ARE-KEEPING.md,55,1.1 Canonical Glossary of Core Entities & Managed Capabilities,# 1.1 Canonical Glossary of Core Entities & Managed Capabilities,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,57,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"To prevent lower-capability coding models from guessing or misinterpreting terminology, the following definitions are canonical, binding, and authoritative across the entire Lamha codebase and specification:",EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,59,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Managed Asset (LAM-ASSET-001): A photo or video file located inside an approved Library Root whose metadata, relationships, and AI processing state are actively tracked by Lamha via co-located sidecars and embedded SQLite indexing.",REQUIREMENT,LAM-ASSET-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,60,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Indivisible Bundle (LAM-ASSET-002): The canonical steady-state storage unit consisting of media.ext (primary media), media.ext.asset.json (authoritative Lamha asset sidecar), and media.ext.xmp (interoperability mirror). Lamha-authored organization operations treat the three paths as one transaction. Missing/detached sidecars, read-only overlays, cross-drive staging, Trash, backups, and exports are explicitly defined degraded or temporary states, not additional authoritative media copies.",REQUIREMENT,LAM-ASSET-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,61,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Primary Media Container: A supported image (.jpg/.jpeg, .png, .heic/.heif, .webp, .gif, supported RAW including .dng) or video (.mp4, .mov, .mkv) file representing a capture. Lamha never modifies it during normal organization, tagging, or non-destructive editing.",REQUIREMENT,LAM-ASSET-004,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,62,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Co-located Sidecar: A metadata file stored in the exact same physical directory as its primary media container, sharing the exact same base filename with an added extension (.asset.json or .xmp).",REQUIREMENT,LAM-ASSET-005,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,63,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Authoritative Metadata: Versioned transparent JSON stored in the correct domain record: .asset.json for asset facts, the canonical event.json for event facts, person.json for person facts, group.json for group facts, relationship.json for relationship edges, and map/tag/album/operation JSON for their own domains. XMP and SQLite never silently outrank these records.",REQUIREMENT,LAM-ASSET-006; LAM-META-003,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,64,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Derived Index: Lamha uses a local embedded SQLite index and working-state store in its OS application-data area. It is rebuildable and is never the only authoritative copy of saved user decisions, durable history, approved metadata, suppression decisions, or unresolved pending overlays. The exact database filename and internal schema are resolved during Phase 1 target-schema mapping and implemented in the assigned phase.",REQUIREMENT,LAM-AI-006; LAM-META-004,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,65,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Event Folder (LAM-FOLDER-001): A physical directory created by Lamha inside an approved writable Library Root, structured as Year/YYYY-MM-DD_Event-Name/ or, when no date is approved, Unknown Date/Unknown-Date_Event-Name/. A dated folder uses the user-approved event start date; capture timestamps may initialize a proposal but never override the user.",REQUIREMENT,LAM-FOLDER-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,66,1.1 Canonical Glossary of Core Entities & Managed Capabilities,Linked Folder (LAM-FOLDER-002): An existing user directory indexed in place via non-destructive reference. Assets in linked folders are never moved or renamed by Lamha unless explicitly commanded by the user.,REQUIREMENT,LAM-FOLDER-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,67,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Virtual Smart View (LAM-UI-002): A dynamic, non-physical gallery view generated at runtime by querying SQLite for specific criteria (e.g., People, Groups, Tags, Favorites, Memories). No physical directories are ever created on disk for virtual views.",REQUIREMENT,LAM-UI-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,68,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Relationship Composition View (LAM-REL-001): A specialized virtual gallery tab that derives the nine approved composition views from effective-dated relationship edges and three composition buckets: Family, Friends, and Family Friends. These buckets are projections, not a stored closed person enum.",REQUIREMENT,LAM-REL-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,69,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Person Profile (LAM-PERSON-001): A persistent identity entity bearing a stable UUID, canonical name, historical membership timeline, and optional aliases, linking face clusters across the library.",REQUIREMENT,LAM-PERSON-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,70,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Face Cluster (LAM-FACE-001): A model-versioned grouping of face embeddings whose dimension is declared by the selected local model, never hard-coded by the application. Rebuildable embeddings remain in the AI cache; approved face regions and Person Profile links are stored in .asset.json using normalized bounding boxes.",REQUIREMENT,LAM-FACE-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,71,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Group Profile (LAM-GROUP-001): A named social entity comprising two or more Person Profiles, supporting recursive parent-group nesting and temporal membership intervals with joined and left dates. Exact serialized key names are selected during target-schema mapping.",REQUIREMENT,LAM-GROUP-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,72,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Temporal Membership Interval: An explicit start and end date defining when a person belonged to a group (e.g., college roommate years), ensuring historical photos retain accurate contextual grouping.",REQUIREMENT,LAM-ASSET-007,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,73,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Local AI Worker (LAM-AI-001): A bundled local child process executing machine-learning inference. The desktop application launches and supervises it; it exposes no HTTP, WebSocket, TCP, or UDP listener, uploads no media or private metadata, requires no cloud service, and remains unavailable to unrelated external clients. Phase 1 selects the non-network local IPC mechanism after mapping the existing transport, lifecycle, streaming, cancellation, cross-platform, packaging, and security constraints. Permitted candidates include standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated non-network mechanism.",REQUIREMENT,LAM-AI-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,74,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Suggestion Queue (LAM-REVIEW-001): A staging area in the rebuildable SQLite working store for unapproved consequential candidates—such as identity, tag, relationship, location, photographer, or duplicate actions—awaiting Review. Rebuildable embeddings, hashes, OCR indexes, and thumbnails are derived cache data rather than approval candidates. Its serialized and database names are selected during target-schema mapping.",REQUIREMENT,LAM-REVIEW-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,75,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Candidate Rejection Record: A persistent authoritative decision containing the task concept, candidate identity, model identity/version, evidence, scope, and decision time. An equivalent candidate must not automatically return when its source, model, relevant configuration, and material evidence are unchanged. Reconsideration is permitted after an explicit user reopen/reanalysis request or a material source, model, configuration, candidate-identity, or evidence change; the prior decision and provenance remain visible and the new candidate enters Review rather than approval.",REQUIREMENT,LAM-AI-007; LAM-AI-008; LAM-AI-009,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,76,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Invalidation State: A required AI-task concept tracking whether a result is current, stale, or requires re-inference because its source, model, or relevant configuration changed. Phase 1 target-schema mapping selects the exact serialized field and values.",REQUIREMENT,LAM-AI-010,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,77,1.1 Canonical Glossary of Core Entities & Managed Capabilities,Library Root (LAM-LOCAL-001): An absolute OS filesystem path explicitly authorized by the user for recursive media scanning and managed storage.,REQUIREMENT,LAM-LOCAL-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,78,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Detached Index Mode (LAM-EXTERNAL-001): An operational state activated when a Library Root is unavailable or read-only. Cached browsing/search remain available; filesystem mutations are disabled; metadata edits are stored as transparent pending overlays until an explicit, conflict-checked flush is possible.",REQUIREMENT,LAM-EXTERNAL-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,79,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Primary Library Root: The one writable Library Root selected for a library profile that contains authoritative library-level .app-data/ JSON records and operation history. If it is unavailable/read-only, browsing continues from cache and metadata edits may become Pending Overlays, but operations requiring global reference/history commits may be planned only and must not execute.",REQUIREMENT,LAM-META-005,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,80,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Authorized Path Set: Library Roots, Lamha-owned OS application-data/cache paths, Lamha-created root-scoped backup/Trash/staging paths, and individual import/export destinations explicitly selected by the user. Lamha must not recursively scan or mutate any other path.",REQUIREMENT,LAM-FOLDER-005,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,81,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Pending Overlay: A versioned transparent JSON edit record held in Lamha’s OS application-data area when its authoritative destination is unavailable or read-only. It is temporary but durable, visible in Review, conflict-checked before flush, and never silently discarded.",REQUIREMENT,LAM-ARCH-020; LAM-META-006,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,82,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Companion Set (LAM-ASSET-003): Two or more distinct managed asset bundles linked by stable UUIDs because they form one capture experience, such as a Live Photo still+video or RAW+JPEG pair. Each media container keeps its own UUID and two sidecars; a companion set is never implemented by one sidecar ambiguously owning multiple media files.",REQUIREMENT,LAM-ASSET-003,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,83,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Transaction Manifest: Versioned transparent JSON keyed by an immutable transaction UUID. Before mutation, Lamha fsyncs a coordinator copy in OS application data and a mirror under every affected writable Library Root’s .app-data/manifests/; SQLite only indexes it. Commit/recovery reconciles the copies and appends durable operation history.",REQUIREMENT,LAM-META-007,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,85,1.1 Canonical Glossary of Core Entities & Managed Capabilities,---,STRUCTURAL,,Table/layout structure or non-normative explanatory row
01-EVERYTHING-WE-ARE-KEEPING.md,87,1.2 System Invariants Governing Kept Capabilities,# 1.2 System Invariants Governing Kept Capabilities,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,89,1.2 System Invariants Governing Kept Capabilities,The following non-negotiable System Invariants govern all code implementation for Lamha capabilities:,EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,91,1.2 System Invariants Governing Kept Capabilities,Invariant ID; Domain; Invariant Title; Mandatory Architectural Rule,STRUCTURAL,,Table header; following data rows carry the independently testable IDs
01-EVERYTHING-WE-ARE-KEEPING.md,92,1.2 System Invariants Governing Kept Capabilities,,STRUCTURAL,,Table/layout structure or non-normative explanatory row
01-EVERYTHING-WE-ARE-KEEPING.md,93,1.2 System Invariants Governing Kept Capabilities,LAM-INV-ASSET-01; Assets; Single Media Authority; Each managed asset corresponds to exactly one authoritative primary media file on disk. Physical duplication of media containers for categorization is strictly prohibited.,REQUIREMENT,LAM-INV-ASSET-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,94,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-ASSET-02; Assets; Stable Asset UUIDs; Once assigned, an asset's stable UUID is immutable and must never change, even if the file is moved, renamed, or modified. The serialized key name is deferred to target-schema mapping.",REQUIREMENT,LAM-INV-ASSET-02,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,95,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-ASSET-03; Assets; Mandatory Co-located Sidecars; Every writable managed asset MUST converge to a co-located .asset.json plus .xmp. A missing sidecar or pending read-only overlay is a visible degraded state; it is not permission to ignore, delete, or duplicate the asset.",REQUIREMENT,LAM-INV-ASSET-03,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,96,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-ASSET-04; Assets; Indivisible Bundle Movement; Every Lamha-authored move, rename, Trash, restore, or permanent delete MUST transact the media and both sidecars as one bundle. Cross-drive operations may create verified temporary copies but have only one committed authoritative location.",REQUIREMENT,LAM-INV-ASSET-04,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,97,1.2 System Invariants Governing Kept Capabilities,LAM-INV-ASSET-05; Assets; Original Filename Preservation; The original filename at the time of ingestion must be permanently stored in the authoritative asset record and never overwritten. The serialized key name is deferred to target-schema mapping.,REQUIREMENT,LAM-INV-ASSET-05,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,98,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-ASSET-06; Assets; Controlled Copy Exceptions; Backups, privacy-clean exports, edited derivatives, and in-progress cross-drive staging are permitted only when excluded from categorization scans or assigned a new derivative UUID. They never create a second authoritative location for the same asset UUID.",REQUIREMENT,LAM-INV-ASSET-06,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,99,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-ASSET-07; Assets; Companion Bundle Independence; Every container in a Companion Set is a complete independent three-file bundle. Pair-level rename/move/Trash/restore actions coordinate all linked bundles in one higher-level transaction, while a missing companion remains a visible degraded link rather than invalidating the surviving asset.",REQUIREMENT,LAM-INV-ASSET-07,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,100,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-EVENT-01; Events; Event Directory Naming; Dated Event Folders created by Lamha follow Year/YYYY-MM-DD_Event-Name/ using the user-approved start date. An event with no approved date uses Unknown Date/Unknown-Date_Event-Name/. Capture timestamps may suggest, but never silently decide, a date.",REQUIREMENT,LAM-INV-EVENT-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,101,1.2 System Invariants Governing Kept Capabilities,LAM-INV-EVENT-02; Events; Multi-Day Event Unity; Events spanning across midnight or multiple days must remain a single unified physical directory unless explicitly split by the user.,REQUIREMENT,LAM-INV-EVENT-02,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,102,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-EVENT-03; Events; Linked Folder Immobility; Assets inside user-designated Linked Folders MUST never be moved, renamed, or reorganized by automated event builders.",REQUIREMENT,LAM-INV-EVENT-03,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,103,1.2 System Invariants Governing Kept Capabilities,LAM-INV-PERSON-01; People; Stable Identity UUIDs; Person Profiles and Group Profiles MUST be referenced by stable UUIDs across all sidecars and database tables; canonical names are mutable presentation labels.,REQUIREMENT,LAM-INV-PERSON-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,104,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-PERSON-02; People; Multiple Effective-Dated Relationship Edges; A Person Profile may have multiple simultaneous and historical built-in or custom relationship edges, each with effective dates, active/former state, certainty, notes, and change history. Composition is derived through explicit approved projection rules, never a closed person-category enum.",REQUIREMENT,LAM-INV-PERSON-02,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,105,1.2 System Invariants Governing Kept Capabilities,LAM-INV-PERSON-03; People; Historical Membership Immutability; Removing a person closes the active temporal interval using a user-approved effective end date (default now); past photos MUST continue to reflect historical membership. Rejoining creates a new interval. Exact serialized key names are deferred to target-schema mapping.,REQUIREMENT,LAM-INV-PERSON-03,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,106,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-META-01; Metadata; Filesystem Path Authority; The physical OS filesystem is the sole authoritative source of truth for current file location, directory structure, and file naming.",REQUIREMENT,LAM-INV-META-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,107,1.2 System Invariants Governing Kept Capabilities,LAM-INV-META-02; Metadata; Domain-Scoped JSON Authority; .asset.json owns approved asset metadata; event/person/group/relationship/map/tag/album/operation JSON own their named domains. Cross-domain references use stable UUIDs. No record may silently overwrite another domain’s authority.,REQUIREMENT,LAM-INV-META-02,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,108,1.2 System Invariants Governing Kept Capabilities,LAM-INV-META-03; Metadata; SQLite Derived Cache Status; The local embedded SQLite index and working-state store is non-authoritative for persisted user decisions. Deleting it and all rebuildable caches MUST permit recovery from filesystem state and transparent authoritative JSON; only unsaved transient work may be lost. Its filename and internal schema are not locked by this plan.,REQUIREMENT,LAM-INV-META-03,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,109,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-META-04; Metadata; Pending Overlay Exception; A Pending Overlay is the only sanctioned temporary authority when its normal JSON destination is unavailable/read-only. It must be durable, reviewable, backed up, and reconciled before being removed.",REQUIREMENT,LAM-INV-META-04,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,110,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-AI-01; AI Workers; Zero AI Autonomous Authority; ML workers have zero write authority over authoritative JSON. They may write only typed results to the Rust core, which stores rebuildable outputs in caches/queues. Only an explicit user action or an already-approved narrow rule may cause the Rust core to persist approved metadata.",REQUIREMENT,LAM-INV-AI-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,111,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-AI-02; AI Workers; Persistent Rejection with Controlled Reconsideration; Rejecting or suppressing a candidate MUST persist its candidate/task/model provenance and scope. Score drift or a routine rerun must not bypass the decision. A materially changed source, model/version, relevant configuration, candidate identity, or evidence—or an explicit user reopen/reanalysis request—may create a new Review candidate while preserving the prior decision in history.",REQUIREMENT,LAM-INV-AI-02,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,112,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-AI-03; AI Workers; Hardware Assessment; AI batch processing MUST run hardware checks (CPU, RAM, GPU) and display estimated completion times for user confirmation before starting heavy ML jobs.",REQUIREMENT,LAM-INV-AI-03,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,113,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-AI-04; AI Workers; Task Invalidation Tracking; AI state MUST track task status, model identity, model version, source identity or hash, relevant configuration identity or hash, processing time, and invalidation/staleness state. Phase 1 target-schema mapping selects exact serialized names and values.",REQUIREMENT,LAM-INV-AI-04,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,114,1.2 System Invariants Governing Kept Capabilities,"LAM-INV-FS-01; Storage; Authorized-Path Sandboxing; Recursive media scanning is limited to Library Roots. Writes are limited to the Authorized Path Set, and every one-off import/export destination must be explicitly selected and scoped to that operation.",REQUIREMENT,LAM-INV-FS-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,115,1.2 System Invariants Governing Kept Capabilities,LAM-INV-COMP-01; Execution; Autonomous Codex Execution; Autonomous coding models MUST fully implement and verify assigned requirements without requesting manual user code completion or TODO stubs.,REQUIREMENT,LAM-INV-COMP-01,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,116,1.2 System Invariants Governing Kept Capabilities,LAM-INV-COMP-02; Execution; Anti-Guessing & Anti-Stub; Unmapped legacy paths or ambiguous options MUST be logged in 05-keep-port-rewrite-remove/BLOCKED_OR_UNKNOWN.md as DEFERRED — REQUIRES PRODUCT DECISION. Stubs/mocks are strictly illegal.,REQUIREMENT,LAM-INV-COMP-02,Mapped independently testable obligation
