requirement_id,capability,phase,package,reviewer_judgement,reason,correction_made_or_confirmation,source_plan,source_locator
CAN-SECTION-0034,Albums and favorites,I5,WP-I5-006,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0082,Albums and favorites,I5,WP-I5-006,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0086,Albums and favorites,I5,WP-I5-006,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0088,Albums and favorites,I10,WP-I10-011,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-LAM-AI-045,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2078-2078
CAN-LAM-ARCH-058,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 622-622
CAN-LAM-ARCH-059,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 632-632
CAN-LAM-ASSET-042,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 417-417
CAN-LAM-ASSET-051,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 615-615
CAN-LAM-ASSET-053,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from GOVERNANCE using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 637-637
CAN-LAM-ASSET-094,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1394-1394
CAN-LAM-ASSET-115,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1569-1569
CAN-LAM-ASSET-197,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,lines 1683-1683
CAN-LAM-EDGE-04,Asset identity and records,I3,WP-I3-008,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 251-251
CAN-LAM-EDGE-11,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 258-258
CAN-LAM-EDIT-002,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 636-636
CAN-LAM-EVENT-013,Asset identity and records,I3,WP-I3-002,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 625-625
CAN-LAM-FOLDER-011,Asset identity and records,I3,WP-I3-012,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 634-634
CAN-LAM-INV-ASSET-05,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from SYSTEM INVARIANT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 97-97
CAN-LAM-META-024,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 642-642
CAN-LAM-TRANSACTION-004,Asset identity and records,I3,WP-I3-002,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 635-635
CAN-SECTION-0048,Asset identity and records,I3,WP-I3-002,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0120,Asset identity and records,I11,WP-I3-002,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0155,Asset identity and records,I3,WP-I3-002,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-LAM-ARCH-069,Asset viewer,I5,WP-I5-004,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 676-676
CAN-LAM-ARCH-072,Asset viewer,I5,WP-I5-003,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 679-679
CAN-LAM-ARCH-075,Asset viewer,I5,WP-I5-003,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 682-682
CAN-LAM-ARCH-078,Asset viewer,I5,WP-I5-003,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 685-685
CAN-LAM-ARCH-081,Asset viewer,I5,WP-I5-008,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 696-696
CAN-LAM-ARCH-191,Asset viewer,I5,WP-I5-010,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1549-1549
CAN-LAM-ARCH-319,Asset viewer,I14,WP-I14-003,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Performance, Accessibility, and Desktop UX work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2114-2114
CAN-LAM-ASSET-030,Asset viewer,I5,WP-I5-004,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 278-278
CAN-LAM-ASSET-058,Asset viewer,I5,WP-I5-004,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 675-675
CAN-LAM-ASSET-079,Asset viewer,I5,WP-I5-010,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1260-1260
CAN-LAM-ASSET-120,Asset viewer,I5,WP-I5-006,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1710-1710
CAN-LAM-ASSET-138,Asset viewer,I5,WP-I5-009,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2001-2001
CAN-LAM-EDIT-003,Asset viewer,I5,WP-I5-009,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 691-691
CAN-LAM-FOLDER-014,Asset viewer,I5,WP-I5-009,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 695-695
CAN-LAM-INV-ASSET-02,Asset viewer,I5,WP-I5-008,CONFIRMED,"Semantically normalized from SYSTEM INVARIANT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Complete testable statement and phase/package boundary confirmed against source provenance.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 94-94
CAN-LAM-PERSON-030,Asset viewer,I5,WP-I5-010,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Offline Library Experience work because the obligation's primary implementation surface is Asset viewer; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 693-693
CAN-SECTION-0072,Asset viewer,I5,WP-I5-009,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0126,Asset viewer,I5,WP-I5-010,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0132,Asset viewer,I5,WP-I5-010,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0185,Asset viewer,I5,WP-I5-009,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,section aggregate
CAN-LAM-AI-081,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,lines 1528-1528
CAN-LAM-ARCH-306,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2040-2040
CAN-LAM-ARCH-405,"Backup, trash, restore and rebuild",I13,WP-I13-003,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,lines 1529-1529
CAN-LAM-ASSET-019,"Backup, trash, restore and rebuild",I13,WP-I13-001,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 145-145
CAN-LAM-ASSET-101,"Backup, trash, restore and rebuild",I13,WP-I13-001,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1424-1424
CAN-LAM-ASSET-126,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 1882-1882
CAN-LAM-BACKUP-002,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 303-303
CAN-LAM-BACKUP-020,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,lines 1524-1524
CAN-LAM-EDGE-12,"Backup, trash, restore and rebuild",I13,WP-I13-001,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 259-259
CAN-LAM-EVENT-063,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Converted a deletion-list fragment into a final-state prohibition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2044-2044
CAN-LAM-FOLDER-045,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2036-2036
CAN-LAM-INV-ASSET-04,"Backup, trash, restore and rebuild",I13,WP-I13-007,CORRECTED,"Semantically normalized from SYSTEM INVARIANT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 96-96
CAN-LAM-META-011,"Backup, trash, restore and rebuild",I13,WP-I13-001,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 151-151
CAN-LAM-META-050,"Backup, trash, restore and rebuild",I13,WP-I13-009,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 2217-2217
CAN-LAM-TRASH-001,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Semantically normalized from PRODUCT using the source clause, section, capability, current-code evidence, and final-state disposition. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,lines 657-657
CAN-LAM-TRASH-003,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,"Explicit semantic rewrite adds trigger, expected behavior, observable state, and failure behavior. Reviewed as Backup, Trash, Restore, and Rebuild work because the obligation's primary implementation surface is Backup, trash, restore and rebuild; integration verification, removal, and release responsibilities remain separate.",Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,lines 412-412
CAN-SECTION-0137,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
CAN-SECTION-0165,"Backup, trash, restore and rebuild",I13,WP-I13-011,CORRECTED,Synthesized parent prevents list fragments from being counted as independent features while preserving their source rows as criteria. Reviewed section parent follows the majority architectural surface of its explicitly linked child criteria.,Statement/capability/phase corrected in explicit source.,01-EVERYTHING-WE-ARE-KEEPING.md,section aggregate
