canonical_id,canonical_capability,primary_implementation_phase,integration_verification_phases,removal_phase,release_validation_phase,global_invariant_links,mapping_rationale,reviewer_status,exception_status,previous_capability,previous_primary_phase
CAN-FAIL-21,Cross-platform path adapters,I12,I4;I15,I15,I15,,Assigned the prohibition to cross-platform path adapters.,REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-FAIL-22,Final outbound-traffic verification,I15,I13;I15,I15,I15,,Mapped the scope prohibition to final outbound verification.,REVIEWED_CORRECTED,NONE,Sharing and mobile backup,I13
CAN-FAIL-23,Active-plan authority adoption,I0,I2;I15,I15,I15,,Reclassified model-workflow history as a planning execution invariant.,REVIEWED_CORRECTED,NONE,Authentication and users,I2
CAN-FAIL-24,Active-plan authority adoption,I0,I4;I15,I15,I15,,Converted informal workflow prose into a no-write invariant.,REVIEWED_CORRECTED,NONE,Libraries and storage,I4
CAN-FAIL-25,Relationship projections and views,I8,I8;I15,I15,I15,,Assigned projection behavior to the relationship view package.,REVIEWED_CORRECTED,NONE,People and faces,I8
CAN-FAIL-26,Non-destructive edit recipes,I11,I11;I15,I15,I15,,Separated edit authority from historical audit commentary.,REVIEWED_CORRECTED,NONE,Editing,I11
CAN-FAIL-27,Active-plan authority adoption,I0,I0;I15,,,,Mapped the historical failure to active-plan write authority.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-FAIL-28,Authority-aware metadata editor,I11,I6;I15,I15,I15,,Assigned conflict handling to the authority-aware editor.,REVIEWED_CORRECTED,NONE,Metadata,I6
CAN-FAIL-29,AI task queue persistence,I10,I10;I15,I15,I15,,Assigned state authority to AI task persistence.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-FAIL-30,Simulation and materialization,I9,I3;I15,I15,I15,,Assigned physical execution to the simulation/materialization package.,REVIEWED_CORRECTED,NONE,Local data authority,I3
CAN-FAIL-31,Trash and permanent-delete operations,I13,I13;I15,I15,I15,,Assigned the rule to trash and permanent-delete operations.,REVIEWED_CORRECTED,NONE,Editing,I13
CAN-FAIL-32,Active-plan authority adoption,I0,I0;I15,,,,Replaced ambiguous autonomy prose with bounded package transition rules.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-LAM-AI-001,Local AI worker,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-002,Libraries and storage,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Libraries and storage,
CAN-LAM-AI-003,Jobs and notifications,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Jobs and notifications,
CAN-LAM-AI-004,Metadata,,,,I15,CAN-LAM-AI-004,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,
CAN-LAM-AI-005,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local data authority,
CAN-LAM-AI-006,Sidecars and metadata authority,I3,I4;I15,,I15,CAN-LAM-AI-006,"Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Sidecars and metadata authority; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CORRECTED,NONE,Metadata,I4
CAN-LAM-AI-007,Review Centre,,I10;I15,,I15,CAN-LAM-AI-007,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,I10
CAN-LAM-AI-008,Local AI worker,,I10;I15,,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-009,Review Centre,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,I10
CAN-LAM-AI-010,Local AI worker,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-011,Local data authority,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,I10
CAN-LAM-AI-012,Local data authority,,I8;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,I8
CAN-LAM-AI-013,Local AI worker,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-014,Local OCR,I10,I10;I15,,I15,,"Statement is already record-specific and observable (OCR text stored with asset identity, source region, model version, provenance); it does not reproduce a legacy template.",REVIEWED_CONFIRMED,NONE,Local OCR,I10
CAN-LAM-AI-015,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,People and faces,
CAN-LAM-AI-016,Local AI worker,,I10;I15,,I15,,Not applicable: fragment is retained only as source provenance.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-017,Search and OCR,I10,I10;I15,,I15,,Label names OCR detection; rewrite adds provenance storage and failure reporting.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-AI-018,Duplicates,I10,I10;I15,,I15,,"Final statement creates duplicate candidates from local analysis; capability is Duplicates, not Review Centre.",REVIEWED_CORRECTED,NONE,Review Centre,I10
CAN-LAM-AI-019,Local AI worker,,I10;I15,,I15,,Not applicable: fragment is retained only as source provenance.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-020,Media ingestion and derivation,I4,I6;I15,,I15,,"Reviewed as Media Discovery and Derived Index work because the obligation's primary implementation surface is Media ingestion and derivation; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CORRECTED,NONE,Metadata,I6
CAN-LAM-AI-021,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Asset viewer,
CAN-LAM-AI-022,People and faces,I7,I7;I15,,I15,,"Reviewed as People, Faces, and Groups work because the obligation's primary implementation surface is People and faces; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CORRECTED,NONE,Asset viewer,I7
CAN-LAM-AI-023,People and faces,I7,I7;I15,,I15,,Label names the complete-group-model obligation; rewrite states the model contents and preservation result.,REVIEWED_CORRECTED,NONE,People and faces,I7
CAN-LAM-AI-024,Tags,,I10;I15,,I15,CAN-LAM-AI-024,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Jobs and notifications,I10
CAN-LAM-AI-025,Review Centre,,I8;I15,,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CORRECTED,NONE,Review Centre,I8
CAN-LAM-AI-026,Review Centre,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,I10
CAN-LAM-AI-027,Local data authority,I3,I10;I15,,I15,,Authority-matrix entry; reclassified as a rebuildability constraint.,REVIEWED_CORRECTED,NONE,Local data authority,I3
CAN-LAM-AI-028,Local AI worker,I10,I10;I15,,I15,,Label names AI status; rewrite adds typed status reporting and no-mutation.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-029,Search and OCR,I10,I10;I15,,I15,,Label names AI-state search; rewrite adds provenance and stale reporting.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-AI-030,Search and OCR,I10,I10;I15,,I15,,Label names OCR-text search; rewrite adds match and provenance results.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-AI-031,Jobs and notifications,I10,I10;I15,,I15,,Label names AI review queues; rewrite adds typed state and no-false-success.,REVIEWED_CORRECTED,NONE,Jobs and notifications,I10
CAN-LAM-AI-032,Local AI worker,I10,I10;I15,,I15,,Label names model identity; rewrite adds task-record storage and invalidation.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-033,Local AI worker,I10,I10;I15,,I15,,Label names model version; rewrite adds task-record storage and invalidation.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-034,Metadata,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Metadata,
CAN-LAM-AI-035,Search and OCR,I10,I10;I15,,I15,,"Reviewed as Local AI, Search, and Duplicates work because the obligation's primary implementation surface is Search and OCR; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CONFIRMED,NONE,Search and OCR,I10
CAN-LAM-AI-036,Relationships and attribution,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Jobs and notifications,I10
CAN-LAM-AI-037,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-038,Metadata,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,I10
CAN-LAM-AI-039,Duplicates,I10,I10;I15,,I15,,Label names similar-photo candidates; rewrite adds evidence and no-mutation results.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-AI-040,Review Centre,,I10;I15,,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CORRECTED,NONE,Review Centre,I10
CAN-LAM-AI-041,Review Centre,,I5;I15,,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-AI-042,Metadata,I8,I8;I15,,I15,,Privacy-field label; rewrite adds deletion and rebuild results.,REVIEWED_CORRECTED,NONE,Metadata,I8
CAN-LAM-AI-043,Review Centre,I5,I5;I15,,I15,,Originals label; rewrite adds persistence and exclusion.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-AI-044,Search and OCR,I10,I10;I15,,I15,,Originals label; rewrite adds rebuildability and stale reporting.,REVIEWED_CORRECTED,NONE,Search and OCR,I10
CAN-LAM-AI-045,Asset identity and records,I3,I3;I15,,I15,,"Reviewed as Authoritative Data and Transaction Foundation work because the obligation's primary implementation surface is Asset identity and records; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CORRECTED,NONE,Metadata,I3
CAN-LAM-AI-046,Local AI worker,I10,I10;I15,,I15,,Architecture label; rewrite adds reuse and gate equivalence.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-047,Packaging and legacy eradication,,I2;I14;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Desktop shell,I2
CAN-LAM-AI-048,Legal and rebranding,I1,I10;I15,,I15,,Mandatory correction: the label was routed through the local-worker inference template; rewrite restores the licence-inventory and release-blocking meaning.,REVIEWED_CORRECTED,NONE,Legal and rebranding,I1
CAN-LAM-AI-049,Metadata,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,I10
CAN-LAM-AI-050,Local data authority,,,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local data authority,
CAN-LAM-AI-051,Local AI worker,,,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-052,Planning and verification governance,,,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-AI-053,Local data authority,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local data authority,
CAN-LAM-AI-054,Desktop shell,,I2;I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Desktop shell,I2
CAN-LAM-AI-055,Administration,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Administration,
CAN-LAM-AI-056,Jobs and notifications,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Jobs and notifications,
CAN-LAM-AI-057,Administration,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Administration,
CAN-LAM-AI-058,Administration,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Administration,
CAN-LAM-AI-059,Sharing and mobile backup,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Sharing and mobile backup,
CAN-LAM-AI-060,Local AI worker,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-061,Local AI worker,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-062,Local AI worker,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-063,Desktop shell,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Desktop shell,
CAN-LAM-AI-064,Administration,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Administration,
CAN-LAM-AI-065,Metadata,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Metadata,
CAN-LAM-AI-066,Events and organization,,,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Events and organization,
CAN-LAM-AI-067,Local AI worker,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-068,Search and OCR,,I15,I15,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CONFIRMED,NONE,Search and OCR,
CAN-LAM-AI-069,Local data authority,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local data authority,
CAN-LAM-AI-070,People and faces,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,People and faces,
CAN-LAM-AI-071,Libraries and storage,,I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Libraries and storage,
CAN-LAM-AI-072,Local AI worker,,I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-073,Local AI worker,,I10;I15,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-074,Planning and verification governance,,,I15,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-AI-075,People and faces,,I7;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,People and faces,I7
CAN-LAM-AI-076,Relationships and attribution,I8,I8;I15,,I15,,Phase label; rewrite adds persistence and exclusion.,REVIEWED_CORRECTED,NONE,Relationships and attribution,I8
CAN-LAM-AI-077,Local AI worker,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-078,Duplicates,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Duplicates,I10
CAN-LAM-AI-079,Review Centre,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,I10
CAN-LAM-AI-080,Review Centre,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Review Centre,
CAN-LAM-AI-081,"Backup, trash, restore and rebuild",I13,I13;I15,,I15,,Phase label; rewrite adds regeneration and preservation.,REVIEWED_CORRECTED,NONE,"Backup, trash, restore and rebuild",I13
CAN-LAM-AI-082,Packaging and legacy eradication,I15,I10;I15,,I15,,Phase label; rewrite adds packaging evidence and release blocking.,REVIEWED_CORRECTED,NONE,Packaging and legacy eradication,I15
CAN-LAM-AI-083,Packaging and legacy eradication,,I10;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,I10
CAN-LAM-AI-084,Memories,,I14;I15,,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CORRECTED,NONE,Memories,I14
CAN-LAM-AI-085,Local AI worker,I10,I10;I15,,I15,,Label names AI resource use; rewrite adds measurable metrics and recording.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-086,Legal and rebranding,I1,I10;I15,,I15,,Label names third-party models; rewrite adds licence review and release blocking.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-LAM-AI-087,Legal and rebranding,I1,I10;I15,,I15,,Legal-label under the rebranding method; rewrite replaces worker-inference wording with licence inventory and release blocking.,REVIEWED_CORRECTED,NONE,Legal and rebranding,I1
CAN-LAM-AI-088,Local AI worker,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-AI-089,Local AI worker,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Local AI worker,
CAN-LAM-ARCH-001,Legal and rebranding,I1,I1;I15,,I15,,Rebranding label; rewrite adds consistency and release gating.,REVIEWED_CORRECTED,NONE,Legal and rebranding,I1
CAN-LAM-ARCH-002,Legal and rebranding,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Legal and rebranding,
CAN-LAM-ARCH-003,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-004,Planning and verification governance,,,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-005,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-006,Planning and verification governance,,I0;I15,,,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Planning and verification governance,
CAN-LAM-ARCH-007,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-008,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-009,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-010,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-011,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-012,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-013,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-014,Desktop shell,I2,I2;I15,,I15,,"Reviewed as Desktop Shell and Trust Boundary work because the obligation's primary implementation surface is Desktop shell; integration verification, removal, and release responsibilities remain separate.",REVIEWED_CONFIRMED,NONE,Desktop shell,I2
CAN-LAM-ARCH-015,Administration,,I15,I15,I15,,Reviewed as a final-state prohibition; replacement implementation and I15 removal validation are represented separately.,REVIEWED_CONFIRMED,NONE,Administration,
CAN-LAM-ARCH-016,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-017,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-018,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-019,Planning and verification governance,,,,,,"Reviewed as an implementation-agent/governance guardrail, not an application runtime feature.",NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-020,Review Centre,I12,I5;I15,,I15,,Pending sidecar overlay durability and conflict validation belong to the pending-overlay contract.,REVIEWED_CORRECTED,NONE,Review Centre,I5
CAN-LAM-ARCH-021,Filesystem transactions and recovery,I3,I3;I15,,I15,,Label names value preservation; rewrite names the transaction boundary and observable recovery result.,REVIEWED_CORRECTED,NONE,Filesystem transactions and recovery,I3
CAN-LAM-ARCH-022,Local data authority,,I11;I15,,I15,,Not applicable: generated broad template is superseded and cannot own implementation.,NOT_APPLICABLE,NOT_APPLICABLE,Editing,I11
CAN-LAM-ARCH-023,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
CAN-LAM-ARCH-024,Duplicates,I10,I10;I15,,I15,,Label names similar-image detection; rewrite adds candidate evidence and no-mutation results.,REVIEWED_CORRECTED,NONE,Duplicates,I10
CAN-LAM-ARCH-025,Tag candidates and review,I8,I8;I15,,I15,,"Statement is already record-specific (proposes or changes a tag, persists namespaced revisioned candidate or approved assignment, preserves prior assignments); it does not reproduce a legacy template.",REVIEWED_CONFIRMED,NONE,Tag candidates and review,I8
CAN-LAM-ARCH-026,Mind-map projections,I9,I9;I15,,I15,,Label names mind maps; rewrite adds derivation and no-mutation results.,REVIEWED_CORRECTED,NONE,Mind-map projections,I9
CAN-LAM-ARCH-027,Albums and favorites,I5,I5;I15,,I15,,"Statement is already record-specific (album membership or favorite state persisted with new revision, UI reflects change, prior membership preserved on failure); it does not reproduce a legacy template.",REVIEWED_CONFIRMED,NONE,Albums and favorites,I5
CAN-LAM-ARCH-028,Gallery and timeline,I5,I5;I15,,I15,,Label names favorites; rewrite adds the local-data and stable-view results.,REVIEWED_CORRECTED,NONE,Gallery and timeline,I5
CAN-LAM-ARCH-029,Memories,I5,I5;I15,,I15,,Label names the Memories product feature; rewrite keeps the product meaning and adds reproducibility.,REVIEWED_CORRECTED,NONE,Memories,I5
CAN-LAM-ARCH-030,Jobs and notifications,I10,I10;I15,,I15,,Label names review queues; rewrite adds typed state and no-false-success rules.,REVIEWED_CORRECTED,NONE,Jobs and notifications,I10
CAN-LAM-ARCH-031,Planning and verification governance,,,,,,Reviewed as a non-implementation record or independent gate; no primary implementation phase is assigned.,NOT_APPLICABLE,NONE,Planning and verification governance,
