canonical_id,work_package_id,membership_rationale,reviewer_status
CAN-LAM-AI-042,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-AI-043,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-AI-044,WP-I10-009,Reviewed membership: the requirement is implemented by the bounded local ocr surface in I10.,REVIEWED
CAN-LAM-AI-045,WP-I3-002,Reviewed membership: the requirement is implemented by the bounded stable asset identity surface in I3.,REVIEWED
CAN-LAM-AI-046,WP-I10-002,Reviewed membership: the requirement is implemented by the bounded private local worker transport surface in I10.,REVIEWED
CAN-LAM-AI-048,WP-I1-005,Reviewed membership: the requirement is implemented by the bounded licence and attribution preservation surface in I1.,REVIEWED
CAN-LAM-AI-076,WP-I8-002,Reviewed membership: the requirement is implemented by the bounded tag candidates and review surface in I8.,REVIEWED
CAN-LAM-AI-081,WP-I13-011,Reviewed membership: the requirement is implemented by the bounded backup restore rebuild disaster drill surface in I13.,REVIEWED
CAN-LAM-AI-082,WP-I15-008,Reviewed membership: the requirement is implemented by the bounded integrated retained-feature parity surface in I15.,REVIEWED
CAN-LAM-AI-085,WP-I10-006,Reviewed membership: the requirement is implemented by the bounded local ai scheduler surface in I10.,REVIEWED
CAN-LAM-AI-086,WP-I10-002,Reviewed membership: the requirement is implemented by the bounded private local worker transport surface in I10.,REVIEWED
CAN-LAM-AI-087,WP-I1-005,Reviewed membership: the requirement is implemented by the bounded licence and attribution preservation surface in I1.,REVIEWED
CAN-LAM-ARCH-001,WP-I1-001,Reviewed membership: the requirement is implemented by the bounded brand and identity inventory surface in I1.,REVIEWED
CAN-LAM-ARCH-014,WP-I2-013,Reviewed membership: the requirement is implemented by the bounded desktop shell smoke proof surface in I2.,REVIEWED
CAN-LAM-ARCH-020,WP-I12-005,Pending sidecar overlay durability and conflict validation belong to the pending-overlay contract.,REVIEWED
CAN-LAM-ARCH-021,WP-I3-001,Reviewed membership: the requirement is implemented by the bounded authoritative record envelope surface in I3.,REVIEWED
CAN-LAM-ARCH-024,WP-I10-011,Reviewed membership: the requirement is implemented by the bounded duplicate and similarity candidates surface in I10.,REVIEWED
CAN-LAM-ARCH-025,WP-I8-002,Explicit fragment review: Expanded a noun-only source clause into a revisioned review workflow.,REVIEWED
CAN-LAM-ARCH-026,WP-I9-001,Reviewed membership: the requirement is implemented by the bounded canonical knowledge-graph projection surface in I9.,REVIEWED
CAN-LAM-ARCH-027,WP-I5-006,Explicit fragment review: Expanded a noun-only source clause into album/favorite persistence behavior.,REVIEWED
CAN-LAM-ARCH-028,WP-I5-006,Reviewed membership: the requirement is implemented by the bounded albums and favorites surface in I5.,REVIEWED
CAN-LAM-ARCH-029,WP-I5-007,Reviewed membership: the requirement is implemented by the bounded memories experience surface in I5.,REVIEWED
CAN-LAM-ARCH-030,WP-I10-006,Reviewed membership: the requirement is implemented by the bounded local ai scheduler surface in I10.,REVIEWED
CAN-LAM-ARCH-034,WP-I5-008,Reviewed membership: the requirement is implemented by the bounded location and map browsing surface in I5.,REVIEWED
CAN-LAM-ARCH-036,WP-I6-008,Reviewed membership: the requirement is implemented by the bounded date and location boundaries surface in I6.,REVIEWED
CAN-LAM-ARCH-037,WP-I6-009,Reviewed membership: the requirement is implemented by the bounded event filesystem materialization plan surface in I6.,REVIEWED
CAN-LAM-ARCH-038,WP-I3-001,Reviewed membership: the requirement is implemented by the bounded authoritative record envelope surface in I3.,REVIEWED
CAN-LAM-ARCH-039,WP-I8-002,Reviewed membership: the requirement is implemented by the bounded tag candidates and review surface in I8.,REVIEWED
CAN-LAM-ARCH-040,WP-I10-011,Reviewed membership: the requirement is implemented by the bounded duplicate and similarity candidates surface in I10.,REVIEWED
CAN-LAM-ARCH-041,WP-I5-008,Reviewed membership: the requirement is implemented by the bounded location and map browsing surface in I5.,REVIEWED
CAN-LAM-ARCH-044,WP-I6-005,Reviewed membership: the requirement is implemented by the bounded event merge plan surface in I6.,REVIEWED
CAN-LAM-ARCH-045,WP-I6-006,Reviewed membership: the requirement is implemented by the bounded event split and link plans surface in I6.,REVIEWED
CAN-LAM-ARCH-048,WP-I6-001,Reviewed membership: the requirement is implemented by the bounded manage later non-mutating scan surface in I6.,REVIEWED
CAN-LAM-ARCH-049,WP-I6-001,Reviewed membership: the requirement is implemented by the bounded manage later non-mutating scan surface in I6.,REVIEWED
CAN-LAM-ARCH-050,WP-I6-010,Reviewed membership: the requirement is implemented by the bounded event and manage later ui surface in I6.,REVIEWED
CAN-LAM-ARCH-051,WP-I6-007,Reviewed membership: the requirement is implemented by the bounded event naming and normalization surface in I6.,REVIEWED
CAN-LAM-ARCH-052,WP-I6-001,Reviewed membership: the requirement is implemented by the bounded manage later non-mutating scan surface in I6.,REVIEWED
CAN-LAM-ARCH-053,WP-I6-005,Reviewed membership: the requirement is implemented by the bounded event merge plan surface in I6.,REVIEWED
CAN-LAM-ARCH-054,WP-I6-008,Reviewed membership: the requirement is implemented by the bounded date and location boundaries surface in I6.,REVIEWED
CAN-LAM-ARCH-055,WP-I6-001,Reviewed membership: the requirement is implemented by the bounded manage later non-mutating scan surface in I6.,REVIEWED
CAN-LAM-ARCH-056,WP-I6-001,Reviewed membership: the requirement is implemented by the bounded manage later non-mutating scan surface in I6.,REVIEWED
CAN-LAM-ARCH-057,WP-I3-011,Explicit fragment review: The prior viewer template treated a completed filesystem action as a UI label.,REVIEWED
CAN-LAM-ARCH-058,WP-I3-011,Explicit fragment review: The prior viewer template omitted transaction and bundle-integrity behavior.,REVIEWED
CAN-LAM-ARCH-061,WP-I5-002,Reviewed membership: the requirement is implemented by the bounded timeline navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-062,WP-I5-002,Reviewed membership: the requirement is implemented by the bounded timeline navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-063,WP-I5-002,Reviewed membership: the requirement is implemented by the bounded timeline navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-064,WP-I5-002,Reviewed membership: the requirement is implemented by the bounded timeline navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-065,WP-I5-005,Reviewed membership: the requirement is implemented by the bounded selection and keyboard navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-066,WP-I5-005,Reviewed membership: the requirement is implemented by the bounded selection and keyboard navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-067,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-069,WP-I5-004,Reviewed membership: the requirement is implemented by the bounded video viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-070,WP-I5-004,Reviewed membership: the requirement is implemented by the bounded video viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-071,WP-I5-005,Reviewed membership: the requirement is implemented by the bounded selection and keyboard navigation surface in I5.,REVIEWED
CAN-LAM-ARCH-072,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-073,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-074,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-075,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-076,WP-I5-004,Reviewed membership: the requirement is implemented by the bounded video viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-077,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-078,WP-I5-003,Reviewed membership: the requirement is implemented by the bounded image viewer surface in I5.,REVIEWED
CAN-LAM-ARCH-079,WP-I5-006,Reviewed membership: the requirement is implemented by the bounded albums and favorites surface in I5.,REVIEWED
CAN-LAM-ARCH-080,WP-I5-006,Reviewed membership: the requirement is implemented by the bounded albums and favorites surface in I5.,REVIEWED
CAN-LAM-ARCH-081,WP-I5-008,Reviewed membership: the requirement is implemented by the bounded location and map browsing surface in I5.,REVIEWED
CAN-LAM-ARCH-082,WP-I9-004,Reviewed membership: the requirement is implemented by the bounded event mind map surface in I9.,REVIEWED
CAN-LAM-ARCH-083,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-084,WP-I4-002,Reviewed membership: the requirement is implemented by the bounded incremental scan and watcher reconciliation surface in I4.,REVIEWED
CAN-LAM-ARCH-085,WP-I4-002,Reviewed membership: the requirement is implemented by the bounded incremental scan and watcher reconciliation surface in I4.,REVIEWED
CAN-LAM-ARCH-086,WP-I4-002,Reviewed membership: the requirement is implemented by the bounded incremental scan and watcher reconciliation surface in I4.,REVIEWED
CAN-LAM-ARCH-087,WP-I4-009,Reviewed membership: the requirement is implemented by the bounded thumbnail and preview generation surface in I4.,REVIEWED
CAN-LAM-ARCH-088,WP-I4-007,Reviewed membership: the requirement is implemented by the bounded content hashing and verification surface in I4.,REVIEWED
CAN-LAM-ARCH-089,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-090,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-091,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-092,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-093,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-094,WP-I12-003,Reviewed membership: the requirement is implemented by the bounded drive reconnection and identity validation surface in I12.,REVIEWED
CAN-LAM-ARCH-095,WP-I6-002,Reviewed membership: the requirement is implemented by the bounded event authoritative records surface in I6.,REVIEWED
CAN-LAM-ARCH-096,WP-I6-002,Reviewed membership: the requirement is implemented by the bounded event authoritative records surface in I6.,REVIEWED
CAN-LAM-ARCH-097,WP-I6-002,Reviewed membership: the requirement is implemented by the bounded event authoritative records surface in I6.,REVIEWED
CAN-LAM-ARCH-098,WP-I6-003,Reviewed membership: the requirement is implemented by the bounded manual event creation surface in I6.,REVIEWED
CAN-LAM-ARCH-099,WP-I6-008,Reviewed membership: the requirement is implemented by the bounded date and location boundaries surface in I6.,REVIEWED
CAN-LAM-ARCH-100,WP-I6-003,Reviewed membership: the requirement is implemented by the bounded manual event creation surface in I6.,REVIEWED
CAN-LAM-ARCH-101,WP-I6-008,Reviewed membership: the requirement is implemented by the bounded date and location boundaries surface in I6.,REVIEWED
CAN-LAM-ARCH-102,WP-I6-003,Reviewed membership: the requirement is implemented by the bounded manual event creation surface in I6.,REVIEWED
CAN-LAM-ARCH-103,WP-I7-003,Reviewed membership: the requirement is implemented by the bounded face clustering and curation surface in I7.,REVIEWED
CAN-LAM-ARCH-104,WP-I7-009,Reviewed membership: the requirement is implemented by the bounded scoped face corrections surface in I7.,REVIEWED
CAN-LAM-ARCH-105,WP-I7-001,Reviewed membership: the requirement is implemented by the bounded face detection task slice surface in I7.,REVIEWED
CAN-LAM-ARCH-106,WP-I7-004,Reviewed membership: the requirement is implemented by the bounded person identity model surface in I7.,REVIEWED
CAN-LAM-ARCH-107,WP-I7-005,Reviewed membership: the requirement is implemented by the bounded person aliases and naming surface in I7.,REVIEWED
CAN-LAM-ARCH-108,WP-I7-004,Reviewed membership: the requirement is implemented by the bounded person identity model surface in I7.,REVIEWED
CAN-LAM-ARCH-109,WP-I7-008,Reviewed membership: the requirement is implemented by the bounded temporal group memberships surface in I7.,REVIEWED
CAN-LAM-ARCH-110,WP-I7-010,Reviewed membership: the requirement is implemented by the bounded people and face privacy surface in I7.,REVIEWED
CAN-LAM-ARCH-111,WP-I7-004,Reviewed membership: the requirement is implemented by the bounded person identity model surface in I7.,REVIEWED
CAN-LAM-ARCH-112,WP-I7-005,Reviewed membership: the requirement is implemented by the bounded person aliases and naming surface in I7.,REVIEWED
CAN-LAM-ARCH-113,WP-I7-008,Reviewed membership: the requirement is implemented by the bounded temporal group memberships surface in I7.,REVIEWED
CAN-LAM-ARCH-114,WP-I7-008,Reviewed membership: the requirement is implemented by the bounded temporal group memberships surface in I7.,REVIEWED
CAN-LAM-ARCH-115,WP-I7-008,Reviewed membership: the requirement is implemented by the bounded temporal group memberships surface in I7.,REVIEWED
CAN-LAM-ARCH-116,WP-I7-008,Reviewed membership: the requirement is implemented by the bounded temporal group memberships surface in I7.,REVIEWED
CAN-LAM-ARCH-119,WP-I7-007,Reviewed membership: the requirement is implemented by the bounded group identity model surface in I7.,REVIEWED
CAN-LAM-ARCH-120,WP-I7-007,Reviewed membership: the requirement is implemented by the bounded group identity model surface in I7.,REVIEWED
CAN-LAM-ARCH-121,WP-I7-005,Reviewed membership: the requirement is implemented by the bounded person aliases and naming surface in I7.,REVIEWED
CAN-LAM-ARCH-125,WP-I8-004,Reviewed membership: the requirement is implemented by the bounded relationship records surface in I8.,REVIEWED
CAN-LAM-ARCH-126,WP-I8-009,Reviewed membership: the requirement is implemented by the bounded relationship review and conflicts surface in I8.,REVIEWED
CAN-LAM-ARCH-127,WP-I8-009,Reviewed membership: the requirement is implemented by the bounded relationship review and conflicts surface in I8.,REVIEWED
CAN-LAM-ARCH-128,WP-I8-005,Reviewed membership: the requirement is implemented by the bounded multi-edge relationship history surface in I8.,REVIEWED
CAN-LAM-ARCH-129,WP-I8-005,Reviewed membership: the requirement is implemented by the bounded multi-edge relationship history surface in I8.,REVIEWED
CAN-LAM-ARCH-130,WP-I8-004,Reviewed membership: the requirement is implemented by the bounded relationship records surface in I8.,REVIEWED
CAN-LAM-ARCH-131,WP-I8-005,Reviewed membership: the requirement is implemented by the bounded multi-edge relationship history surface in I8.,REVIEWED
CAN-LAM-ARCH-132,WP-I8-004,Reviewed membership: the requirement is implemented by the bounded relationship records surface in I8.,REVIEWED
CAN-LAM-ARCH-133,WP-I8-005,Reviewed membership: the requirement is implemented by the bounded multi-edge relationship history surface in I8.,REVIEWED
CAN-LAM-ARCH-134,WP-I8-009,Reviewed membership: the requirement is implemented by the bounded relationship review and conflicts surface in I8.,REVIEWED
CAN-LAM-ARCH-135,WP-I8-009,Reviewed membership: the requirement is implemented by the bounded relationship review and conflicts surface in I8.,REVIEWED
CAN-LAM-ARCH-141,WP-I10-008,Reviewed membership: the requirement is implemented by the bounded ai progress cancellation and retry surface in I10.,REVIEWED
CAN-LAM-ARCH-144,WP-I3-001,Reviewed membership: the requirement is implemented by the bounded authoritative record envelope surface in I3.,REVIEWED
CAN-LAM-ARCH-147,WP-I4-010,Reviewed membership: the requirement is implemented by the bounded asset and path index surface in I4.,REVIEWED
CAN-LAM-ARCH-148,WP-I4-010,Reviewed membership: the requirement is implemented by the bounded asset and path index surface in I4.,REVIEWED
CAN-LAM-ARCH-149,WP-I4-010,Reviewed membership: the requirement is implemented by the bounded asset and path index surface in I4.,REVIEWED
CAN-LAM-ARCH-150,WP-I4-001,Reviewed membership: the requirement is implemented by the bounded initial recursive scanner surface in I4.,REVIEWED
CAN-LAM-ARCH-151,WP-I4-010,Reviewed membership: the requirement is implemented by the bounded asset and path index surface in I4.,REVIEWED
CAN-LAM-ARCH-152,WP-I6-010,Reviewed membership: the requirement is implemented by the bounded event and manage later ui surface in I6.,REVIEWED
CAN-LAM-ARCH-153,WP-I6-006,Reviewed membership: the requirement is implemented by the bounded event split and link plans surface in I6.,REVIEWED
CAN-LAM-ARCH-154,WP-I6-010,Reviewed membership: the requirement is implemented by the bounded event and manage later ui surface in I6.,REVIEWED
CAN-LAM-ARCH-155,WP-I6-010,Reviewed membership: the requirement is implemented by the bounded event and manage later ui surface in I6.,REVIEWED
CAN-LAM-ARCH-156,WP-I6-010,Reviewed membership: the requirement is implemented by the bounded event and manage later ui surface in I6.,REVIEWED
CAN-LAM-ARCH-157,WP-I6-002,Reviewed membership: the requirement is implemented by the bounded event authoritative records surface in I6.,REVIEWED
CAN-LAM-ARCH-158,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-159,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-160,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-161,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-162,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-163,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-164,WP-I8-001,Reviewed membership: the requirement is implemented by the bounded tag records and namespaces surface in I8.,REVIEWED
CAN-LAM-ARCH-165,WP-I8-002,Reviewed membership: the requirement is implemented by the bounded tag candidates and review surface in I8.,REVIEWED
CAN-LAM-ARCH-168,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-169,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-170,WP-I5-010,Explicit fragment review: Expanded a button label into a persisted Review Centre transition.,REVIEWED
CAN-LAM-ARCH-171,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-172,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-173,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-177,WP-I8-007,Reviewed membership: the requirement is implemented by the bounded photographer camera-owner importer attribution surface in I8.,REVIEWED
CAN-LAM-ARCH-184,WP-I3-015,Reviewed membership: the requirement is implemented by the bounded revision and concurrency preconditions surface in I3.,REVIEWED
CAN-LAM-ARCH-188,WP-I5-009,Reviewed membership: the requirement is implemented by the bounded asset inspector surface in I5.,REVIEWED
CAN-LAM-ARCH-191,WP-I5-010,Reviewed membership: the requirement is implemented by the bounded review centre foundation surface in I5.,REVIEWED
CAN-LAM-ARCH-192,WP-I5-009,Reviewed membership: the requirement is implemented by the bounded asset inspector surface in I5.,REVIEWED
CAN-LAM-ARCH-193,WP-I10-002,Reviewed membership: the requirement is implemented by the bounded private local worker transport surface in I10.,REVIEWED
CAN-LAM-ARCH-195,WP-I5-009,Reviewed membership: the requirement is implemented by the bounded asset inspector surface in I5.,REVIEWED
CAN-LAM-ARCH-197,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-198,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-199,WP-I8-007,Reviewed membership: the requirement is implemented by the bounded photographer camera-owner importer attribution surface in I8.,REVIEWED
CAN-LAM-ARCH-200,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-201,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-202,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-203,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-204,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-205,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-206,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-207,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-208,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-209,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-210,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-211,WP-I3-001,Reviewed membership: the requirement is implemented by the bounded authoritative record envelope surface in I3.,REVIEWED
CAN-LAM-ARCH-212,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-213,WP-I10-008,Reviewed membership: the requirement is implemented by the bounded ai progress cancellation and retry surface in I10.,REVIEWED
CAN-LAM-ARCH-214,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-ARCH-215,WP-I10-012,Reviewed membership: the requirement is implemented by the bounded location proposals surface in I10.,REVIEWED
CAN-LAM-ARCH-216,WP-I10-005,Reviewed membership: the requirement is implemented by the bounded hardware assessment surface in I10.,REVIEWED
CAN-LAM-ARCH-217,WP-I10-005,Reviewed membership: the requirement is implemented by the bounded hardware assessment surface in I10.,REVIEWED
