Path,Bytes,SHA256
11-implementation-ready-plan/17-CODEX-EXECUTION-PROMPT.md,1849,9df2fbcbf545c4ad5bc95156c775ca829e636cac81643e533dd9ed74d80f98ca
11-implementation-ready-plan/18-DEFINITION-OF-READY-DONE.md,1632,bb6521e54b3b519ad400dcdc4cd87bba02eab16d5a58b31777d6b9e6892a1b27
11-implementation-ready-plan/19-RISK-REGISTER-EXPANDED.md,8087,2ca95a5810e1d57800fe9c16fd2f5ae8e9fa53220a22e9088120b7d8c74734f5
11-implementation-ready-plan/20-OPEN-DECISIONS.md,1292,d18649cebe2125acdec580ead2720eb9eff7c32646dd1f3921deb90cb2360210
11-implementation-ready-plan/21-REQUIREMENT-MAPPING-CORRECTIONS.md,1776,f2d9b2aa797b82fa4678ca6dbd29aacb6c3e8d1ebd48f883251cfe2adde4cb95
11-implementation-ready-plan/22-PHASE-0-EXECUTION-CHECKLIST.md,2311,c19d96a248db04dd22671b19928a56de20d9dbc8059e7843954a374802e468d2
11-implementation-ready-plan/23-LEGACY-CUTOVER-INVENTORY.md,1585,9cb62a288c1af2d5d34de02e8b688b11db7affa89326b9bfd1875fa377d8de24
11-implementation-ready-plan/24-FINAL-IMPLEMENTATION-READY-HANDOFF.md,1554,3597c7a0a48153eff4cbfcbd0d4cbeaedbb50e20ad2c1dd654f8d7aa6df7a150
11-implementation-ready-plan/REQUIREMENTS_EXECUTION.csv,6753077,644ef07a31c76901f71b4b38f45bd31542ed62132ba5c3889d400b92b5a0a39b
11-implementation-ready-plan/components/COMPONENT_MANIFEST_TEMPLATE.csv,129,a9e3ae220bfbdba53a1661617756fbdb554210da12713019153fbabbd2c9d221
11-implementation-ready-plan/contracts/ai-protocol-v1.schema.json,877,b07335559b88b1a4ffe8f5c4fa728cfc7613a19f3220f6acc190d035f47e5df5
11-implementation-ready-plan/contracts/ipc-command-catalog-v1.json,24830,1be8346fbeb5c70e289f39c99dbbc73ddeeb2f2163094dece798a76db6c5ebd6
11-implementation-ready-plan/contracts/ipc-envelope-v1.schema.json,3788,f53c5f061d1ae3b423986f6841e4c0aa1758fae54042524c64e41caff78aad8f
11-implementation-ready-plan/schemas/ai-task.schema.json,1726,a659f60d6095c96b1917ba12d6a0f4f6b684afc71cfbec51903afe8601888e38
11-implementation-ready-plan/schemas/asset.schema.json,3889,e871a709ae1f85d58b47a50d1541b2c0e35cb16bfb422c47be61557db491bf84
11-implementation-ready-plan/schemas/common.schema.json,1932,9b4c3038c861f0e4c4824514450a4875ee676a0490a168004fd41fc2acc52b09
11-implementation-ready-plan/schemas/event.schema.json,2096,92e3d495257608b2faa7613e9872dccc8eba5b03513c56d043987d3ceafc8878
11-implementation-ready-plan/schemas/folder-map.schema.json,2940,945c6c0c21eb4bf9a72776766bc5b5d849d3b43b3b30f2a39428aaad7eccf639
11-implementation-ready-plan/schemas/group.schema.json,1843,5ca92e868f6dbed85206b4ccef86e8b1c9c989e8be649ee6bcd061c805da3c9f
11-implementation-ready-plan/schemas/operation.schema.json,2270,127d34665190a4c573136b9e2d448ac8aa8f723199656da6c951e51aa8c2c85e
11-implementation-ready-plan/schemas/person.schema.json,1335,442d8a28741a83d0de41d39b900f7a1e59b2b487d1b1f55647e38a788d0978b3
11-implementation-ready-plan/schemas/relationship.schema.json,1716,fc2c60fcd5bd4d93b10575bbe4a33bc31206232d87f4664c1ec8b86d61e63284
11-implementation-ready-plan/schemas/review-item.schema.json,1841,0b288c68485dfcf43631360d9854f812d64b25b57079a82802e306beee3aa702
11-implementation-ready-plan/schemas/settings.schema.json,1263,e2ebb063274c8b87eb3e74d6336f55e6c36142b5b8bfe6f554842d3105154ec7
11-implementation-ready-plan/sqlite/001_initial.sql,10995,9d37f35d659d3bf28606e4679f9a10ed0e7f2306f74559afc47a31dc1e773797
11-implementation-ready-plan/validate_implementation_plan.py,3718,c4bc588efc9e786e983a8ebbf0245bd21d1a26cdf8b23801f12bba8796e0ab4a
