original_requirement_id,source_plan,source_section,source_text,normalized_item_ids,disposition,rationale
LAM-AI-004,01-EVERYTHING-WE-ARE-KEEPING.md,1. Final Product Identity,"Target Architecture (To Be Implemented): A unified, single-user, local-first desktop application built on a Tauri 2 shell, Svelte/SvelteKit UI, Rust desktop core, SQLite local rebuildable index, bundled local AI worker communicating exclusively via local IPC, and transparent JSON/XMP file sidecars.",CAN-LAM-AI-004,ARCHITECTURAL_INVARIANT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-005,01-EVERYTHING-WE-ARE-KEEPING.md,1. Final Product Identity,"Execution Guardrail: A weaker coding model MUST NEVER implement server REST endpoints in Rust, embed PostgreSQL/Redis in Tauri, or require network ports for core application logic.",CAN-LAM-AI-005,IMPLEMENTATION_CONSTRAINT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-006,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"It is rebuildable and is never the only authoritative copy of saved user decisions, durable history, approved metadata, suppression decisions, or unresolved pending overlays.",CAN-LAM-AI-006,DATA_INTEGRITY_INVARIANT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-007,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Candidate Rejection Record: A persistent authoritative decision containing the task concept, candidate identity, model identity/version, evidence, scope, and decision time.",CAN-LAM-AI-007,DATA_INTEGRITY_INVARIANT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-008,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"An equivalent candidate must not automatically return when its source, model, relevant configuration, and material evidence are unchanged.",CAN-LAM-AI-008,PROHIBITION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-009,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Reconsideration is permitted after an explicit user reopen/reanalysis request or a material source, model, configuration, candidate-identity, or evidence change; the prior decision and provenance remain visible and the new candidate enters Review rather than approval.",CAN-LAM-AI-009,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-010,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Invalidation State: A required AI-task concept tracking whether a result is current, stale, or requires re-inference because its source, model, or relevant configuration changed. Phase 1 target-schema mapping selects the exact serialized field and values.",CAN-LAM-AI-010,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-011,01-EVERYTHING-WE-ARE-KEEPING.md,1.3 Directional Source-of-Truth & Authority Matrix,Camera make and model; Embedded EXIF; Asset JSON and XMP; SQLite index; Read from EXIF. Read-only unless explicitly overridden by the user in Inspector.,CAN-LAM-AI-011,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-012,01-EVERYTHING-WE-ARE-KEEPING.md,1.3 Directional Source-of-Truth & Authority Matrix,Approved user tags; Asset JSON; Compatible XMP keyword field; SQLite tag index; JSON-to-XMP is the normal direction. Externally changed XMP keywords become Review candidates; only user-approved imports update JSON.,CAN-LAM-AI-012,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-013,01-EVERYTHING-WE-ARE-KEEPING.md,1.4.1 AI Task Execution State Machine,Successful task completion does not mean a classification is approved. Reviewable candidates follow a separate suggestion lifecycle:,CAN-LAM-AI-013,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-014,01-EVERYTHING-WE-ARE-KEEPING.md,2.1 Local-first operation,OCR,CAN-LAM-AI-014,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-015,01-EVERYTHING-WE-ARE-KEEPING.md,2.2 Single physical media copy,"Execution Guardrail: A weaker coding model MUST NEVER create a physical directory on disk or copy/duplicate an asset media file for a Person, Group, Relationship, Album, Tag, or Favorite.",CAN-LAM-AI-015,IMPLEMENTATION_CONSTRAINT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-016,01-EVERYTHING-WE-ARE-KEEPING.md,2.5 Review before final acceptance,"Lamha keeps AI assistance, but AI findings must be reviewable.",CAN-LAM-AI-016,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-017,01-EVERYTHING-WE-ARE-KEEPING.md,2.5 Review before final acceptance,Detect OCR text,CAN-LAM-AI-017,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-018,01-EVERYTHING-WE-ARE-KEEPING.md,2.5 Review before final acceptance,Find duplicate candidates,CAN-LAM-AI-018,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-019,01-EVERYTHING-WE-ARE-KEEPING.md,2.5 Review before final acceptance,AI must not silently finalize consequential classifications.,CAN-LAM-AI-019,PROHIBITION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-020,01-EVERYTHING-WE-ARE-KEEPING.md,4. Manage Later,"Scanning Manage Later is non-mutating by default. No rename, move, folder normalization, or co-located sidecar creation occurs until the user confirms the specific operation. AI may create rebuildable local cache results without changing the intake files. No file leaves Manage Later until the user confirms a reviewed operation.",CAN-LAM-AI-020,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-021,01-EVERYTHING-WE-ARE-KEEPING.md,5. Asset Bundle Standard,A coding model MUST NEVER invent ad-hoc fields or write against an unapproved schema.,CAN-LAM-AI-021,IMPLEMENTATION_CONSTRAINT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-022,01-EVERYTHING-WE-ARE-KEEPING.md,10.2 Face corrections,Correcting a face must update only affected assets and derived metadata unless the underlying model or source file changed.,CAN-LAM-AI-022,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-023,01-EVERYTHING-WE-ARE-KEEPING.md,12. Groups and Subgroups,Lamha keeps a complete group model.,CAN-LAM-AI-023,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-024,01-EVERYTHING-WE-ARE-KEEPING.md,15. Tag System,AI suggestions remain in the suggestion queue until approved; rejection/suppression decisions persist in authoritative JSON.,CAN-LAM-AI-024,DATA_INTEGRITY_INVARIANT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-025,01-EVERYTHING-WE-ARE-KEEPING.md,15.2 Group tags,"If the normalized capture time is unknown or does not prove membership in a temporal interval, Lamha must not substitute current membership; it may show an uncertain Review candidate with provenance.",CAN-LAM-AI-025,PROHIBITION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-026,01-EVERYTHING-WE-ARE-KEEPING.md,15.3 Review states,"Reconsider after an explicit user request or a material source, model/version, relevant-configuration, candidate-identity, or evidence change",CAN-LAM-AI-026,FUNCTIONAL_REQUIREMENT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
