risk_id,risk,severity,trigger,impact,prevention,detection,recovery,required_test,owner_phase,source_status,runtime_requirement_id,mitigation_owner_packages,test_owner_package,required_after_packages,package_gate,release_gate,verification_status,runtime_evidence,implementation_commit,review_status,review_revision
R-11,External drive identity collision/change,P1,Mount letter/path changes or reused volume,Wrong root association,Multi-signal drive identity + user confirmation,Reconnect mismatch detection,Read-only/detached mode,Drive fixture matrix,12,OPEN,CAN-LAM-RISK-TEST-011,WP-I12-001,WP-I12-001,,WP-I12-001:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-12,Companion set separation,P0,Move/delete one Live Photo/RAW+JPEG member,Broken experience,Stable independent IDs + coordinated plan,Consistency scanner,Relink Review workflow,Missing/partial companion tests,4/12,OPEN,CAN-LAM-RISK-TEST-012,WP-I3-002;WP-I4-006,WP-I4-006,WP-I3-002,WP-I4-006:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-13,Face/relationship historical rewrite,P1,Merge or current membership applied retroactively,False history,Effective dates and scoped corrections,Revision/history audit,Restore prior revision,Temporal fixtures,7/8,OPEN,CAN-LAM-RISK-TEST-013,WP-I7-008;WP-I8-005,WP-I8-005,WP-I7-008,WP-I8-005:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-14,Suppressed AI candidate resurrects,P1,Score drift/routine rerun,User distrust/review spam,Stable candidate identity/fingerprints,Suppression query,Reopen only on material change,Suppression lifecycle tests,5/10,OPEN,CAN-LAM-RISK-TEST-014,WP-I10-013,WP-I10-013,,WP-I10-013:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-15,Model/codec licence blocks distribution,P0,Bundled component not redistributable,Release cannot ship,Component manifest and legal gate,CI missing-licence failure,Replace/remove component,Package inventory audit,15,OPEN,CAN-LAM-RISK-TEST-015,WP-I15-006,WP-I15-006,,WP-I15-006:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-16,Worker packaging fails antivirus/signing,P1,Frozen Python executable flagged or broken,Install/run failure,Packaging spike and signed artifacts,Clean-machine matrix,Alternative packager/architecture,OS smoke tests,10/15,OPEN,CAN-LAM-RISK-TEST-016,WP-I10-002;WP-I15-001,WP-I15-001,WP-I10-002,WP-I15-001:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-17,Svelte server coupling remains,P1,"SSR load, cookies, REST clients left behind",Desktop route failure/server dependency,Route/API inventory and static build,Forbidden import/runtime scan,Port route to commands,Per-screen real-data E2E,3/5,OPEN,CAN-LAM-RISK-TEST-017,WP-I2-002;WP-I5-012,WP-I5-012,WP-I2-002,WP-I5-012:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-18,IPC capability overreach,P0,Generic fs/shell permission exposed,Local compromise impact,Minimal scoped capabilities,Capability diff audit,Revoke and patch,Negative command tests,3,OPEN,CAN-LAM-RISK-TEST-018,WP-I2-004,WP-I2-004,,WP-I2-004:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-19,Large-library memory/performance collapse,P1,100k library/full graph loaded,Unusable app/OOM,"Pagination, virtualization, bounded queues",Profiling/budgets,"Degrade visuals, pause jobs",Scale fixtures,14,OPEN,CAN-LAM-RISK-TEST-019,WP-I14-005,WP-I14-005,,WP-I14-005:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-20,Watcher misses or duplicates changes,P1,"Overflow, rename storm, sleep/reconnect",Stale/wrong index,Watcher + periodic reconciliation,Fingerprint/integrity checks,Rescan affected root,Watcher stress tests,4/12,OPEN,CAN-LAM-RISK-TEST-020,WP-I4-002,WP-I4-002,,WP-I4-002:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-21,Multiple Lamha instances mutate one root,P0,Concurrent launches,Journal/data corruption,Root mutation lease,Lock detection,Second instance read-only,Concurrency E2E,4,OPEN,CAN-LAM-RISK-TEST-021,WP-I3-003;WP-I3-010,WP-I3-010,WP-I3-003,WP-I3-010:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-22,Backup appears successful but is incomplete,P0,Copy skipped/corrupt destination,False safety,"Manifest, checksums, verify stage",Post-backup verification,Mark failed; retain source,Backup corruption tests,13,OPEN,CAN-LAM-RISK-TEST-022,WP-I13-003,WP-I13-003,,WP-I13-003:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-23,Trash/permanent delete ambiguity,P0,Collision/offline companion/partial delete,Unexpected permanent loss,Plan + grace + complete-bundle semantics,Deletion journal,Recovery/Review,Trash/restore/delete tests,13,OPEN,CAN-LAM-RISK-TEST-023,WP-I13-006,WP-I13-006,,WP-I13-006:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-24,Privacy export retains metadata,P0,Unsupported field/container,Sensitive data disclosure,Allowlist clean export and post-inspection,Metadata scanner,Block output/mark failure,Golden privacy corpus,11,OPEN,CAN-LAM-RISK-TEST-024,WP-I11-009,WP-I11-009,,WP-I11-009:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-25,Out-of-date AI result approved,P1,Source/model/config changed after task,Wrong metadata,Fingerprints and stale state,Approval precondition,Rerun; preserve old candidate,Invalidation race tests,10,OPEN,CAN-LAM-RISK-TEST-025,WP-I10-013,WP-I10-013,,WP-I10-013:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-26,Schema/IPC type drift,P1,Rust and TypeScript evolve separately,Runtime failures,Single DTO source or CI drift check,Contract tests,Regenerate/migrate,Compatibility fixtures,3-16,OPEN,CAN-LAM-RISK-TEST-026,WP-I2-007,WP-I2-007,,WP-I2-007:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-27,Accessibility of graph UI fails,P1,Canvas-only controls,Feature unavailable to keyboard/screen reader,List/tree alternative and keyboard commands,Automated+manual audit,Block release or provide equivalent view,Accessibility scenarios,9/14,OPEN,CAN-LAM-RISK-TEST-027,WP-I14-013,WP-I14-013,,WP-I14-013:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-28,Automatic outbound communication introduced,P0,Library/plugin/default map/update call,Privacy promise broken,No-network default and dependency review,Traffic capture,Disable/remove endpoint,Clean-machine network test,3/10/15,OPEN,CAN-LAM-RISK-TEST-028,WP-I15-014,WP-I15-014,,WP-I15-014:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-29,Baseline tests cannot run due missing submodule/toolchain,P1,Empty test-assets or version mismatch,Parity evidence weak,Provenance and substitute fixtures,Entry Gate report,Classify test as unavailable and replace proof,Baseline execution,0,OPEN,CAN-LAM-RISK-TEST-029,WP-I0-006,WP-I0-007,WP-I0-006,WP-I0-007:EXIT,I15:RELEASE,VERIFIED,graphify/13-implementation/WP-I0-007/baseline-attempts.json;graphify/13-implementation/WP-I0-007/verification-report.json;graphify/13-implementation/WP-I0-007/completion-evidence.md;graphify/13-implementation/WP-I0-007/adversarial-review.md,48d583804c24765e75d3ebdf3f0cd20bfe8ee7d2,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-30,Over-engineering stalls delivery,P1,Too many crates/services/generators,"Slow, brittle project",Small module set; bounded WPs; architecture review,Cycle time/dependency metrics,Collapse layers,Per-phase simplicity review,All,OPEN,CAN-LAM-RISK-TEST-030,WP-I0-011,WP-I0-011,,WP-I0-011:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-31,UI claims operation succeeded before durable commit,P0,Optimistic success state,User acts on false state,Operation IDs and committed-state events,Journal/UI consistency check,Show recovery/conflict,Kill-before-commit E2E,4/6/9/11/12/13,OPEN,CAN-LAM-RISK-TEST-031,WP-I3-010;WP-I5-017;WP-I13-011,WP-I15-008,WP-I3-010;WP-I5-017;WP-I13-011,WP-I15-008:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-32,Unknown implementation discovery is guessed,P0,Codex encounters ambiguity,Spec drift/data risk,Blocked-item protocol,Review tracker,Stop affected item only,Audit prompt/output,All,OPEN,CAN-LAM-RISK-TEST-032,WP-I0-011,WP-I0-011,,WP-I0-011:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
