failure_id,record_id,original_failure_description,canonical_statement,rationale,risk,required_control,verification_gate,acceptance_criterion,source_evidence,related_package,related_phase,removal_condition,review_status,review_rationale,reviewer_type,review_revision,correction_applied
FAIL-14,CAN-FAIL-14,"Dropping historical group membership dates.","Ending a group membership must close its active temporal interval at the approved effective date while preserving all prior intervals for historical queries.","Membership history is temporal authority, not a current-member flag.","Loss of historical identity context.","Versioned temporal intervals with non-overlap validation.","Temporal membership history gate.","Given a person with an active group interval, when the user ends membership on a chosen date, then that interval closes on the date and historical queries before the date still return the membership.","Master Plan File 2 FAIL-14 and LAM-INV-PERSON-03.",WP-I7-008,I7,"Remove current-only membership storage after interval migration and history tests pass.",REVIEWED_CORRECTED,"Separated temporal behavior from schema-history prose.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added end trigger and historical query observable."
FAIL-15,CAN-FAIL-15,"Flattening nested groups into a single-level list.","Lamha must preserve stable parent-group relationships and must reject any update that would create a group cycle; derived traversal may not flatten or replace the authoritative hierarchy.","Nested groups require stable identity and cycle-safe traversal.","Lost hierarchy and infinite traversal.","Typed parent reference, cycle validation, and derived tree rebuild.","Nested-group and cycle-rejection gate.","Given a three-level group hierarchy, when it is saved and rebuilt, then all parent links remain intact; when a cycle-forming update is attempted, Lamha rejects it without changing the last valid hierarchy.","Master Plan File 2 FAIL-15 and LAM-GROUP-001.",WP-I7-007,I7,"Remove flat-only representations after migration and cycle tests pass.",REVIEWED_CORRECTED,"Assigned hierarchy authority to the group identity model.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added rebuild preservation and rejected-update behavior."
FAIL-16,CAN-FAIL-16,"Claiming writes reached a read-only drive or throwing unhandled write errors.","When a root is read-only, Lamha must record the proposed change as a versioned pending overlay in application data, report its pending state, and reconcile only after root identity, revision, and conflict checks pass.","Read-only media requires explicit provisional authority.","Lost edits, false success, or wrong-drive reconciliation.","Detached mode, typed pending overlays, and guarded reconciliation.","Read-only overlay and reconciliation gate.","Given a read-only root, when the user approves an edit, then the asset bytes remain unchanged, a pending overlay is visible, and later reconciliation applies only to the matching root and revision or returns a typed conflict.","Master Plan File 2 FAIL-16 and LAM-EDGE-05.",WP-I12-005,I12,"Remove direct-write fallbacks after overlay and conflict tests pass.",REVIEWED_CORRECTED,"Converted failure history into a detached-overlay state machine.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added pending-state and guarded-reconciliation observables."
FAIL-17,CAN-FAIL-17,"Automatically splitting a continuous event at midnight.","Midnight and time-gap heuristics may create an event-split proposal, but Lamha must preserve the existing event until a user approves a split; approved event start date controls folder naming.","Calendar boundaries are suggestions, not event authority.","Incorrect event fragmentation and filesystem moves.","Proposal-only inference and explicit split plan approval.","Midnight continuity and suggestion-only gate.","Given an event spanning midnight, when inference runs, then its membership and folder remain unified and any split appears only as a reviewable proposal until approval.","Master Plan File 2 FAIL-17 and LAM-EDGE-06.",WP-I6-008,I6,"Remove automatic midnight split paths after proposal-only tests pass.",REVIEWED_CORRECTED,"Assigned the control to date and location boundaries.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added proposal state and no-mutation proof."
FAIL-18,CAN-FAIL-18,"Re-suggesting an equivalent rejected candidate after score drift.","Lamha must suppress an equivalent rejected candidate across routine reruns and score drift, and may reconsider it only after an explicit reopen or a material source, model, configuration, identity, or evidence change while preserving prior decisions.","Rejection identity needs stable provenance and scope.","Review spam and loss of user decisions.","Candidate fingerprint, suppression record, invalidation reasons, and preserved history.","Suppression and controlled-reconsideration gate.","Given a rejected candidate, when an equivalent task reruns with score drift, then no new review item appears; when a material reviewed input changes, a new linked candidate may appear and prior history remains queryable.","Master Plan File 2 FAIL-18 and LAM-INV-AI-02.",WP-I10-013,I10,"Remove score-only reconsideration after equivalence and invalidation tests pass.",REVIEWED_CORRECTED,"Separated suppression identity, allowed reopening, and history.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added equivalence and material-change criteria."
FAIL-19,CAN-FAIL-19,"Marking requirements complete after syntax checks alone.","A requirement may be marked complete only when every applicable gate has recorded command or inspection evidence, observable outputs, changed symbols, and reasoned not-applicable decisions.","Syntax success does not prove behavior, safety, or integration.","False completion and untested regressions.","Traceability ledger with applicable-gate evidence validation.","Tracker proof-linkage gate.","Given a requirement proposed as complete, when the tracker validator runs, then each applicable gate links exact evidence and every omitted gate has an accepted not-applicable rationale; otherwise completion is rejected.","Master Plan File 2 FAIL-19 and Gate 8.",WP-I0-011,I0,"Completion status is allowed only after tracker-proof validation passes.",REVIEWED_CORRECTED,"Converted the audit prose into a status transition invariant.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added exact evidence fields and rejection behavior."
FAIL-20,CAN-FAIL-20,"Leaving partial moves or corrupt sidecars after interruption.","Before a multi-file mutation, Lamha must durably prepare a transaction manifest, stage and verify outputs, commit atomically where possible, and recover or roll back by transaction identity after crash or disconnection.","Batch filesystem work needs durable recovery authority.","Data loss, duplicate assets, and corrupt sidecars.","Typed operation plan, prepared journal, staging, verification, rollback, and restart recovery.","Failure-injection and crash-recovery gate.","Given a batch move with injected failure at each transaction stage, when Lamha restarts, then it reaches one consistent committed or rolled-back state with no missing original, partial sidecar, or untracked staged file.","Master Plan File 2 FAIL-20 and LAM-TRANSACTION-001.",WP-I3-014,I3,"Remove non-journaled batch mutations after stage-by-stage recovery tests pass.",REVIEWED_CORRECTED,"Assigned the control to the crash recovery engine.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added transaction sequence and consistent terminal states."
FAIL-21,CAN-FAIL-21,"Hardcoding platform-specific absolute paths.","Filesystem code must use OS-native path APIs and authorized root identities; it must not embed user-specific Windows, macOS, or Linux absolute paths.","Portable path handling is a trust and correctness boundary.","Path escape, broken packaging, and platform-specific failure.","Typed path adapter, simulated roots, separators, permissions, and escape checks.","Cross-platform path and permission gate.","Given Windows, macOS, and Linux simulated roots, when each path operation runs, then it resolves inside the authorized root with native semantics and rejects escape or malformed paths without a write.","Master Plan File 2 FAIL-21 and Gate 4.",WP-I12-008,I12,"Remove literal platform paths after the adapter matrix passes.",REVIEWED_CORRECTED,"Assigned the prohibition to cross-platform path adapters.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added authorized-root and rejection behavior."
FAIL-22,CAN-FAIL-22,"Inventing cloud backup, remote sync, or multi-user login.","The final Lamha desktop runtime must operate locally without required cloud, remote synchronization, multi-user accounts, or server listeners; any separately approved outbound client must remain explicit, optional, and disabled by default.","Local desktop scope must be verifiable rather than implied.","Scope drift, privacy loss, and hidden service dependencies.","Outbound inventory, dependency scan, listener scan, and clean offline launch.","Final local-only and outbound-traffic gate.","Given a clean machine with networking blocked, when Lamha launches and exercises retained features, then no account or remote service is required and listener/outbound scans show only explicitly approved disabled-by-default clients.","Master Plan File 2 FAIL-22 and scope-drift prohibition.",WP-I15-014,I15,"Remove cloud, account, sync, and listener paths after offline parity and traffic scans pass.",REVIEWED_CORRECTED,"Mapped the scope prohibition to final outbound verification.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added offline behavior and network observables."
FAIL-23,CAN-FAIL-23,"Asking the user to implement required code or TODOs.","An implementation package must either complete its authorized work and evidence or record a genuine blocker; it must not transfer required coding or verification work to the user as homework.","Execution ownership must be explicit.","Incomplete delivery disguised as collaboration.","Package completion or typed blocker with evidence.","Execution transcript and handoff gate.","Given an authorized package, when execution ends, then the handoff contains completed evidence or a specific blocker with exhausted safe checks and contains no request for the user to write required implementation code.","Master Plan File 2 FAIL-23 and LAM-INV-COMP-01.",WP-I0-011,I0,"No package completes until execution ownership and evidence are valid.",REVIEWED_CORRECTED,"Reclassified model-workflow history as a planning execution invariant.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added terminal states and a transcript check."
FAIL-24,CAN-FAIL-24,"Guessing paths or inventing simplified schemas under ambiguity.","When required evidence is ambiguous, the implementation agent must preserve the known facts, record the exact unknown and affected record as blocked, and continue only independent work; guessed paths, fields, and schemas are prohibited.","Unknowns must not become silent architecture decisions.","Writes to wrong paths and incompatible durable records.","Evidence requirement, blocked registry, and schema/path validation.","Anti-guessing evidence gate.","Given an ambiguous path or schema obligation, when validation cannot resolve it from authoritative sources, then the affected item becomes BLOCKED with evidence and no guessed file, field, or write is produced.","Master Plan File 2 FAIL-24 and anti-guessing guardrail.",WP-I0-011,I0,"The blocker may be removed only after authoritative evidence resolves the ambiguity.",REVIEWED_CORRECTED,"Converted informal workflow prose into a no-write invariant.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added blocked-state and no-guessed-output behavior."
FAIL-25,CAN-FAIL-25,"Reintroducing one category per person or guessing projections from labels.","Lamha must preserve multiple simultaneous and historical relationship edges with independent certainty, and must derive composition views only through explicit approved projection rules rather than relationship-label guesses.","Relationship facts and view projections are separate models.","Lost history and incorrect social composition.","Multi-edge history schema, orthogonal certainty, and versioned projection rules.","Relationship history and nine-view projection gate.","Given a person with multiple historical edges, when composition views rebuild, then every edge and certainty remains queryable and only approved projection rules determine view membership.","Master Plan File 2 FAIL-25 and LAM-REL-001.",WP-I8-006,I8,"Remove closed-category enums after history migration and projection fixtures pass.",REVIEWED_CORRECTED,"Assigned projection behavior to the relationship view package.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Separated fact storage from derived view rules."
FAIL-26,CAN-FAIL-26,"Mutating primary media during non-destructive edits.","Crop, rotation, and color edits must update a versioned edit recipe and compatible metadata mirrors without modifying the primary media bytes; export must create a distinct derivative and must never silently overwrite the original.","Normal editing is recipe-based and reversible.","Irreversible original-media loss.","Versioned edit recipe, immutable original hash, derivative identity, and explicit export collision policy.","Primary-media immutability and derivative gate.","Given an asset and edit operations, when previews and exports are produced, then the original hash remains unchanged, reset restores the unedited view, and each export has a distinct derivative identity or a typed collision result.","Master Plan File 2 FAIL-26 and LAM-INV-ASSET-01.",WP-I11-004,I11,"Remove in-place edit code after immutability and derivative tests pass.",REVIEWED_CORRECTED,"Separated edit authority from historical audit commentary.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added recipe, reset, hash, and derivative observables."
FAIL-27,CAN-FAIL-27,"Creating extra Master Plans or writing planning files into application code.","Lamha planning and generated semantic evidence must remain inside Graphify, application directories must contain no planning artifacts, and the authoritative Master Plan set must not be expanded by implementation tooling.","Planning and application write authorities are separate.","Application-tree contamination and conflicting authorities.","Guarded output roots and structural inventory comparison.","Workspace-boundary structural gate.","Given the resolved Graphify and application roots, when planning tools run, then every created or modified planning path is inside Graphify and the application-tree inventory contains no new planning file.","Master Plan File 2 FAIL-27 and directory-separation invariant.",WP-I0-011,I0,"Any contaminating path must be removed from the active output and its generator corrected before completion.",REVIEWED_CORRECTED,"Mapped the historical failure to active-plan write authority.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added resolved-root and inventory proof."
FAIL-28,CAN-FAIL-28,"Silently resolving conflicting metadata sources.","When authoritative records, embedded metadata, XMP mirrors, or pending overlays disagree, Lamha must preserve every source value and provenance, keep the last valid authority unchanged, and create a typed review conflict instead of silently choosing a winner.","Authority is directional and domain-scoped.","Silent metadata corruption and provenance loss.","Typed conflict record, source snapshots, authority decision, and reviewed resolution.","Metadata and overlay conflict gate.","Given conflicting JSON, XMP, embedded, and overlay values, when metadata is inspected or edited, then all values and sources are visible, the authoritative value remains unchanged, and resolution requires an explicit reviewed decision.","Master Plan File 2 FAIL-28 and directional source-of-truth matrix.",WP-I11-001,I11,"Remove last-writer-wins paths after conflict fixtures pass.",REVIEWED_CORRECTED,"Assigned conflict handling to the authority-aware editor.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added preservation, visible conflict, and explicit resolution."
FAIL-29,CAN-FAIL-29,"Using one aiChecked boolean for all AI work.","Lamha must persist AI state per task with task type, state, model identity and version, model hash, source revision, configuration fingerprint, timestamps, and invalidation reason; a single aggregate aiChecked flag must not control validity.","AI validity depends on task-specific provenance.","Stale or incompatible AI results treated as current.","Typed AI task record and targeted invalidation rules.","Per-task state and invalidation gate.","Given two AI tasks using different model versions, when one model or source revision changes, then only affected task records become invalidated and the unaffected task remains current.","Master Plan File 2 FAIL-29 and LAM-INV-AI-04.",WP-I10-007,I10,"Remove aiChecked reads and writes after migration and targeted invalidation tests pass.",REVIEWED_CORRECTED,"Assigned state authority to AI task persistence.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Enumerated required fields and targeted invalidation."
FAIL-30,CAN-FAIL-30,"Materializing Mind Map drafts without confirmation.","Unsaved and saved Mind Map drafts must not mutate media folders; physical materialization requires an explicit simulation, validation, user confirmation, and durable filesystem transaction.","Draft persistence and filesystem execution are separate states.","Unexpected folder and media mutation.","Persistent draft schema, simulation result, confirmed plan, and transaction journal.","Mind Map sandbox and materialization gate.","Given an unsaved or saved map draft, when nodes are edited and saved, then media paths remain unchanged; only a confirmed valid simulation may create a journaled materialization plan.","Master Plan File 2 FAIL-30 and Mind Map state machine.",WP-I9-007,I9,"Remove direct draft-to-filesystem code after sandbox and confirmation tests pass.",REVIEWED_CORRECTED,"Assigned physical execution to the simulation/materialization package.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added state transitions and no-mutation proof."
FAIL-31,CAN-FAIL-31,"Permanently deleting files when moved to Trash.","Moving a bundle to Trash must preserve the complete bundle in the reviewed root-scoped or cross-drive trash transaction; permanent deletion requires a separate explicit authorized action and must never occur during the trash move.","Trash and permanent delete are distinct operations.","Immediate irreversible data loss.","Trash record, staged move, restore proof, collision handling, and separate permanent-delete authorization.","Trash staging, restore, and permanent-delete separation gate.","Given a managed bundle, when the user moves it to Trash, then every bundle member is recoverable and no permanent delete runs; when an authorized permanent-delete action runs later, its plan and confirmation are separately recorded.","Master Plan File 2 FAIL-31 and LAM-TRASH-001.",WP-I13-007,I13,"Remove immediate-delete behavior after trash, restore, cross-drive, and authorization tests pass.",REVIEWED_CORRECTED,"Assigned the rule to trash and permanent-delete operations.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Separated operations and added recoverability proof."
FAIL-32,CAN-FAIL-32,"Stopping phase execution without a genuine blocker or stop instruction.","After a package and phase satisfy every applicable gate and record their evidence, execution may advance only to the next dependency-ready package; it must stop on a genuine blocker, explicit user stop, or missing authorization.","Progression is gate- and dependency-driven, not numerical automation.","Unfinished implementation or unsafe automatic continuation.","Package exit evidence, dependency readiness, blocker state, and explicit authority.","Phase-transition audit gate.","Given a completed package, when transition is evaluated, then the next action is the single dependency-ready authorized package or a recorded blocker/stop; no package is skipped or batch-started automatically.","Master Plan File 2 FAIL-32 and autonomous workflow rule.",WP-I0-011,I0,"A transition is allowed only after applicable evidence and dependency checks pass.",REVIEWED_CORRECTED,"Replaced ambiguous autonomy prose with bounded package transition rules.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added safe transition outcomes and prohibited batch execution."
