work_package_id,implementation_phase,name,objective,included_requirement_count,capability_diversity,read_mutation_summary,contracts_affected,schemas_affected,technical_prerequisites,tests,exit_gate,direct_dependents,classification,decision_rationale,reviewer_status,reviewer_type,review_revision
WP-I0-011,I0,Active-plan authority adoption,"Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obligations before any package advances.",20,3,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,WP-I0-001,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Every fixture passes and no requirement/package status can advance without recorded gate evidence.,,REBUILD,"REBUILD: Active-plan authority adoption objective, exclusions, tests, and exit gate were re-authored to match its contents. Architectural-boundary exception granted: the package spans more than two capabilities but is a reviewed cohesive surface.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I1-001,I1,Brand and identity inventory,Implement and verify the bounded brand and identity inventory surface.,7,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Focused success, boundary, and failure tests for brand and identity inventory; affected integration checks.",The brand and identity inventory objective and failure tests pass with no unrelated package work included.,WP-I1-002;WP-I1-003;WP-I1-004;WP-I1-005,KEEP,KEEP: Brand and identity inventory remains the bounded I1 owner of its 7 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I1-002,I1,Visible UI rebrand,Implement and verify the bounded visible ui rebrand surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I1-001,"Focused success, boundary, and failure tests for visible ui rebrand; affected integration checks.",The visible ui rebrand objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Visible UI rebrand remains the bounded I1 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I1-003,I1,Package and bundle identity,Implement and verify the bounded package and bundle identity surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I1-001,"Focused success, boundary, and failure tests for package and bundle identity; affected integration checks.",The package and bundle identity objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Package and bundle identity remains the bounded I1 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I1-004,I1,Brand asset replacement,Implement and verify the bounded brand asset replacement surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I1-001,"Focused success, boundary, and failure tests for brand asset replacement; affected integration checks.",The brand asset replacement objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Brand asset replacement remains the bounded I1 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I1-005,I1,Licence and attribution preservation,"Inventory and persist licence, attribution, redistribution, model-provenance, and required legal-file obligations; block release until every required notice is present.",15,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Legal-file and licence-inventory contracts,Licence/attribution and model-provenance records,WP-I1-001,"Fixture suite asserting every bundled component has licence/attribution/redistribution review, required legal files are present, and release is blocked on any missing entry.",Legal/attribution fixture suite passes with zero missing required files.,,REBUILD,"REBUILD: Licence and attribution preservation objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-001,I10,AI worker lifecycle,Implement and verify the bounded ai worker lifecycle surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I2-007,"Focused success, boundary, and failure tests for ai worker lifecycle; affected integration checks.",The ai worker lifecycle objective and failure tests pass with no unrelated package work included.,WP-I10-002;WP-I10-006;WP-I10-007;WP-I10-010;WP-I7-001;WP-I7-010,KEEP,KEEP: AI worker lifecycle remains the bounded I10 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-002,I10,Private local worker transport,Implement and verify the bounded private local worker transport surface.,4,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-001,"Focused success, boundary, and failure tests for private local worker transport; affected integration checks.",The private local worker transport objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Private local worker transport remains the bounded I10 owner of its 4 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-003,I10,Model and component registry,Implement and verify the bounded model and component registry surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-005,"Focused success, boundary, and failure tests for model and component registry; affected integration checks.",The model and component registry objective and failure tests pass with no unrelated package work included.,WP-I10-004;WP-I10-005;WP-I10-009;WP-I10-010;WP-I10-012;WP-I13-010;WP-I7-001,KEEP,KEEP: Model and component registry remains the bounded I10 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-004,I10,Model checksums and compatibility,Implement and verify the bounded model checksums and compatibility surface.,3,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-003,"Focused success, boundary, and failure tests for model checksums and compatibility; affected integration checks.",The model checksums and compatibility objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Model checksums and compatibility remains the bounded I10 owner of its 3 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-005,I10,Hardware assessment,"Detect and record CPU, core count, RAM, GPU/GPU memory, OS, disk, acceleration, library counts, and benchmark results from local OS data for AI hardware assessment.",13,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,AI hardware assessment and benchmark contracts,Hardware assessment and benchmark records,WP-I10-003,Fixture suite covering CPU/core/RAM/GPU/OS/disk/acceleration/library-count reporting and benchmark latency/resource recording on declared hardware.,Hardware-assessment fixture suite passes with every declared metric recorded.,WP-I14-010,REBUILD,"REBUILD: Hardware assessment objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-006,I10,Local AI scheduler,Implement and verify the bounded local ai scheduler surface.,3,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-001,"Focused success, boundary, and failure tests for local ai scheduler; affected integration checks.",The local ai scheduler objective and failure tests pass with no unrelated package work included.,WP-I14-004,KEEP,KEEP: Local AI scheduler remains the bounded I10 owner of its 3 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-007,I10,AI task queue persistence,Implement and verify the bounded ai task queue persistence surface.,2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-001,"Focused success, boundary, and failure tests for ai task queue persistence; affected integration checks.",The ai task queue persistence objective and failure tests pass with no unrelated package work included.,WP-I10-008;WP-I13-010,KEEP,KEEP: AI task queue persistence remains the bounded I10 owner of its 2 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-008,I10,AI progress cancellation and retry,Implement and verify the bounded ai progress cancellation and retry surface.,2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-007,"Focused success, boundary, and failure tests for ai progress cancellation and retry; affected integration checks.",The ai progress cancellation and retry objective and failure tests pass with no unrelated package work included.,WP-I14-009;WP-I14-012,KEEP,KEEP: AI progress cancellation and retry remains the bounded I10 owner of its 2 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-009,I10,Local OCR,Implement and verify the bounded local ocr surface.,6,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-003,"Focused success, boundary, and failure tests for local ocr; affected integration checks.",The local ocr objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Local OCR remains the bounded I10 owner of its 6 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-010,I10,Embeddings and semantic search,Implement and verify the bounded embeddings and semantic search surface.,9,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-001;WP-I10-003,"Focused success, boundary, and failure tests for embeddings and semantic search; affected integration checks.",The embeddings and semantic search objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Embeddings and semantic search remains the bounded I10 owner of its 9 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-011,I10,Duplicate and similarity candidates,"Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, side-by-side preview, retained-file selection, and AI similarity-data export/delete with no automatic deletion or merge.",21,4,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",WP-I3-002,"Fixture suite covering hash/similarity detection, comparison evidence for each dimension, burst grouping, preview, retained selection, no-auto-delete/merge, and similarity-data rebuild.",Duplicate/similarity fixture suite passes with no automatic deletion or merge.,,REBUILD,"REBUILD: Duplicate and similarity candidates objective, exclusions, tests, and exit gate were re-authored to match its contents. Architectural-boundary exception granted: the package spans more than two capabilities but is a reviewed cohesive surface.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-012,I10,Location proposals,Implement and verify the bounded location proposals surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I10-003,"Focused success, boundary, and failure tests for location proposals; affected integration checks.",The location proposals objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Location proposals remains the bounded I10 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I10-013,I10,AI review suppression and invalidation,Implement and verify the bounded ai review suppression and invalidation surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I5-010,"Focused success, boundary, and failure tests for ai review suppression and invalidation; affected integration checks.",The ai review suppression and invalidation objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: AI review suppression and invalidation remains the bounded I10 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-001,I11,Authority-aware metadata editor,Implement and verify the bounded authority-aware metadata editor surface.,4,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-006;WP-I3-011,"Focused success, boundary, and failure tests for authority-aware metadata editor; affected integration checks.",The authority-aware metadata editor objective and failure tests pass with no unrelated package work included.,WP-I11-002;WP-I11-003;WP-I5-017,KEEP,KEEP: Authority-aware metadata editor remains the bounded I11 owner of its 4 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-002,I11,Batch metadata plans,Implement and verify the bounded batch metadata plans surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I11-001,"Focused success, boundary, and failure tests for batch metadata plans; affected integration checks.",The batch metadata plans objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Batch metadata plans remains the bounded I11 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-003,I11,Metadata privacy removal,Implement and verify the bounded metadata privacy removal surface.,9,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I11-001,"Focused success, boundary, and failure tests for metadata privacy removal; affected integration checks.",The metadata privacy removal objective and failure tests pass with no unrelated package work included.,WP-I11-009,KEEP,KEEP: Metadata privacy removal remains the bounded I11 owner of its 9 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-004,I11,Non-destructive edit recipes,"Persist revisioned crop/rotate/color edit recipes and metadata mirrors, preview changes, preserve original media bytes, and only materialize edited copies through export.",4,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Non-destructive edit recipe and preview contracts,Edit recipe and edit-revision records,WP-I3-001,"Fixture suite covering crop/rotate/color recipe creation, preview, metadata mirror updates, and primary-byte immutability.",Non-destructive edit recipe suite passes with zero original-file mutation.,WP-I11-006,REBUILD,"REBUILD: Non-destructive edit recipes objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-006,I11,Derivative manifests and export,Create new output copies for raw-data export and edited-copy export with provenance/derivative manifests while leaving original media and source records unchanged.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Derivative/export command contracts and export manifest contract,Derivative manifest and export provenance records,WP-I11-004;WP-I3-012,"Fixture suite covering raw-data copy/export and edited-copy export with output hash, provenance pinning, and original immutability.",Derivative/export fixture suite passes with zero original-file mutation.,,REBUILD,"REBUILD: Derivative manifests and export objective, exclusions, tests, and exit gate were re-authored to match its contents.",REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-009,I11,Privacy export recipes,Implement and verify the bounded privacy export recipes surface.,2,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I11-003,"Focused success, boundary, and failure tests for privacy export recipes; affected integration checks.",The privacy export recipes objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Privacy export recipes remains the bounded I11 owner of its 2 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-010,I11,Metadata snapshots and restore,Implement and verify the bounded metadata snapshots and restore surface.,5,4,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-006,"Focused success, boundary, and failure tests for metadata snapshots and restore; affected integration checks.",The metadata snapshots and restore objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Metadata snapshots and restore remains the bounded I11 owner of its 5 requirements across 4 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure. Architectural-boundary exception granted: the package spans more than two capabilities but is a reviewed cohesive surface.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I11-011,I11,Edit revision conflicts,Implement and verify the bounded edit revision conflicts surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I3-015,"Focused success, boundary, and failure tests for edit revision conflicts; affected integration checks.",The edit revision conflicts objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Edit revision conflicts remains the bounded I11 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
