record_id,candidate_value,final_reviewed_value,review_status,review_rationale,evidence,reviewer_type,review_revision,correction_applied
CAN-LAM-GOV-075,"If two binding clauses appear irreconcilable, cite both in BLOCKEDORUNKNOWN.md and mark the requirement deferred.","When two binding clauses remain irreconcilable, the implementation team must record both exact source locations in a typed blocked-decision record, mark only the affected requirement REVIEW_REQUIRED, and continue only work with no dependency on that decision.",REVIEWED_CORRECTED,"The old filename token was malformed, the status was outside the reviewed vocabulary, and dependency blocking was implicit.",CAN-LAM-GOV-075 source trace and reviewed decision status model,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Replaced malformed free text with a typed decision and dependency-aware result.
CAN-LAM-GOV-238,as one canonical steady-state transaction unit. Missing sidecars and Pending Overlays are visible degraded states...,"For each managed asset mutation, Rust must treat the media file, authoritative sidecar, pending overlay, and operation journal as one transaction unit; controlled backup, trash, export, and cross-drive copies must never establish a second authoritative asset location.",REVIEWED_CORRECTED,The prior statement began mid-sentence and combined history with the control without a complete actor.,CAN-LAM-GOV-238 source trace and filesystem transaction schemas,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Restored a complete actor, transaction boundary, prohibition, and recovery result."
CAN-LAM-INV-AI-04,"LAM-INV-AI-04; AI Workers; Task Invalidation Tracking; AI state MUST track task status, model identity, model version, source identity or hash, relevant configuration identity or hash, processing time, and invalidation/staleness state.","Each AI task record must store task status, model identity and version, source and configuration fingerprints, processing time, and invalidation state, and any fingerprint change must mark prior output stale before reuse.",REVIEWED_CORRECTED,The prior statement retained audit-column prefixes and deferred observable invalidation behavior.,CAN-LAM-INV-AI-04 source trace and AI task schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and specified the stale-output transition.
CAN-LAM-INV-ASSET-01,LAM-INV-ASSET-01; Assets; Single Media Authority; Each managed asset corresponds to exactly one authoritative primary media file on disk.,"Each managed asset identity must resolve to exactly one authoritative primary media file; categorization, albums, tags, events, and saved views must reference that identity without duplicating the media container.",REVIEWED_CORRECTED,The prior invariant included audit prefixes and lacked an observable authority check.,CAN-LAM-INV-ASSET-01 source trace and Asset schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and added identity-resolution and duplication rejection.
CAN-LAM-INV-ASSET-02,"LAM-INV-ASSET-02; Assets; Stable Asset UUIDs; Once assigned, an asset's stable UUID is immutable...","Once Lamha assigns an asset identity, every move, rename, edit, relink, and metadata revision must preserve that identity while recording the changed path or revision separately.",REVIEWED_CORRECTED,The prior invariant contained audit prefixes and deferred the serialized result.,CAN-LAM-INV-ASSET-02 source trace and Asset schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and made mutation preservation directly testable.
CAN-LAM-INV-EVENT-01,LAM-INV-EVENT-01; Events; Event Directory Naming; dated and Unknown Date naming prose.,"When Lamha materializes an approved event, it must create the typed dated or Unknown Date directory name from approved event fields and must never silently promote a capture-time suggestion into the authoritative date.",REVIEWED_CORRECTED,The prior invariant mixed audit labels and examples without an approval-state result.,CAN-LAM-INV-EVENT-01 source trace and Event schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and added approval-state verification.
CAN-LAM-INV-EVENT-03,LAM-INV-EVENT-03; Events; Linked Folder Immobility; assets in Linked Folders must never be moved or renamed.,Automated event builders must leave every asset inside a user-designated Linked Folder at its existing path and return a non-mutating proposal when organization would otherwise require a move or rename.,REVIEWED_CORRECTED,The prior invariant retained audit prefixes and omitted the replacement behavior when movement is prohibited.,CAN-LAM-INV-EVENT-03 source trace and linked-folder workflow,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added a non-mutating proposal result and preservation evidence.
CAN-LAM-INV-FS-01,LAM-INV-FS-01; Storage; Authorized-Path Sandboxing; scan and write scope prose.,Rust must limit recursive scans to registered Library Roots and writes to the authorized path set or an operation-scoped destination explicitly selected by the user; every other path must be rejected before filesystem access.,REVIEWED_CORRECTED,The prior invariant retained audit prefixes and did not state rejection timing or result.,CAN-LAM-INV-FS-01 source trace and filesystem authorization contracts,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Specified authorization inputs, pre-I/O rejection, and typed errors."
CAN-LAM-INV-META-01,LAM-INV-META-01; Metadata; Filesystem Path Authority; filesystem authority prose.,"For current path, directory, and filename fields, Lamha must read the operating-system filesystem as authority and treat cached SQLite or sidecar values only as projections that reconciliation may update.",REVIEWED_CORRECTED,The prior invariant retained audit prefixes and omitted reconciliation behavior.,CAN-LAM-INV-META-01 source trace and authority registry,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added the stale-projection trigger and observable reconciliation result.
CAN-LAM-INV-PERSON-01,LAM-INV-PERSON-01; People; Stable Identity UUIDs; profile reference prose.,"Every person and group reference in sidecars, authoritative records, and SQLite projections must use the stable profile ID; renaming a profile must change only its presentation fields.",REVIEWED_CORRECTED,The prior invariant retained audit prefixes and lacked a rename verification.,CAN-LAM-INV-PERSON-01 source trace and person/group schemas,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added cross-record ID preservation under rename.
CAN-LAM-INV-PERSON-02,LAM-INV-PERSON-02; People; Multiple Effective-Dated Relationship Edges; relationship prose.,"A person profile must support simultaneous and historical typed relationship edges with effective intervals, certainty, notes, and revision history, and projections must derive categories only from explicit approved rules.",REVIEWED_CORRECTED,The prior invariant retained audit prefixes and mixed schema description with projection policy.,CAN-LAM-INV-PERSON-02 source trace and relationship schemas,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Separated typed edge persistence from reviewed projection behavior.
CAN-LAM-META-002,"Every retained feature must be fully functional, backed by real file-system sidecars and SQLite indexes, and capable of handling production error states.","Each retained feature that persists user knowledge must write its reviewed authoritative record, update or rebuild its SQLite projection, and return typed results for success, invalid input, I/O failure, conflict, cancellation, and recovery.",REVIEWED_CORRECTED,Fully functional and production error states were broad claims without named observable states.,CAN-LAM-META-002 source trace and authority/schema registries,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Replaced broad quality language with authority, projection, and typed-outcome obligations."
CAN-MISSION-I0-006,"Inventory the exact Node, package-manager, Rust, Python, media, and platform toolchains.","During read-only I0 inspection, the implementation team must record the existing Node, package-manager, Rust, Python, media, and platform toolchain manifests and report unavailable or ambiguous versions without installing or modifying anything.",REVIEWED_CORRECTED,"The imperative omitted the actor, no-write boundary, output, and missing-tool behavior.",Final blocker-removal mission I0 scope and CAN-MISSION-I0-006,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added read-only scope, evidence output, and unavailable-version handling."
CAN-MISSION-I0-008,"Classify missing fixtures, generated artifacts, dependencies, credentials, and environment prerequisites discovered by baseline attempts.","During read-only I0 inspection, the implementation team must classify each observed missing fixture, generated artifact, dependency, credential, or environment prerequisite and record its evidence and blocking effect without generating, installing, or supplying it.",REVIEWED_CORRECTED,"The imperative did not state the evidence record, status, or prohibition on satisfying the prerequisite during baseline.",Final blocker-removal mission I0 scope and CAN-MISSION-I0-008,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added typed classification output and preserved the read-only boundary.
CAN-MISSION-I0-009,"Inventory frontend coupling to server routes, generated clients, authentication, runtime hosts, and server-owned state.","During read-only I0 inspection, the implementation team must record each frontend dependency on server routes, generated clients, authentication, runtime hosts, or server-owned state and link it to the owning replacement decision or package.",REVIEWED_CORRECTED,The imperative lacked a mapping result and unresolved-ownership behavior.,Final blocker-removal mission I0 scope and CAN-MISSION-I0-009,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added evidence, ownership linkage, and explicit unresolved status."
CAN-MISSION-I14-001,"Measure performance on declared 10k, 50k, and 100k asset fixtures before accepting budgets.","I14 performance validation must execute declared 10,000-, 50,000-, and 100,000-asset fixtures, record reviewed latency and resource budgets, and block acceptance when any required measurement is missing or exceeded.",REVIEWED_CORRECTED,"The imperative did not name the owner, full output, or failure behavior.",CAN-MISSION-I14-001 and I14 performance packages,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added phase ownership, measurement evidence, and gate result."
CAN-MISSION-I14-002,"Provide keyboard, focus, semantic, screen-reader, and non-visual alternatives for all graph, map, timeline, and review interfaces.","Each graph, map, timeline, and review interface must expose keyboard navigation, visible focus, semantic labels, screen-reader output, and a non-visual alternative that provides the same supported actions and state.",REVIEWED_CORRECTED,The imperative omitted equivalence and an observable accessibility test.,CAN-MISSION-I14-002 and I14 accessibility packages,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added equivalent actions/state and test conditions.
CAN-MISSION-I14-003,"Measure background-job responsiveness, cancellation latency, CPU, GPU, memory, and power behavior on declared hardware.","I14 validation must execute representative background jobs on declared hardware and report responsiveness, cancellation latency, CPU, GPU, memory, and power measurements against reviewed budgets.",REVIEWED_CORRECTED,The imperative omitted phase ownership and pass/fail behavior.,CAN-MISSION-I14-003 and I14 background-job packages,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added declared workloads, budgets, evidence, and failure behavior."
CAN-MISSION-I15-002,"Generate an SBOM and complete licence, attribution, model, codec, runtime, signing, and redistribution review before release.","Before release, I15 must generate the product SBOM and record reviewed licence, attribution, model, codec, runtime, signing, and redistribution decisions; any missing component, evidence, or incompatible obligation must block packaging.",REVIEWED_CORRECTED,"The imperative listed activities but not completeness, evidence, or blocking behavior.",CAN-MISSION-I15-002 and component manifest,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added completeness reconciliation and explicit packaging failure behavior.
CAN-LAM-ARCH-020,"It is temporary but durable, visible in Review, conflict-checked before flush, and never silently discarded.","A pending sidecar overlay must persist until it is applied or explicitly rejected, remain visible in Review, and pass revision-conflict validation before any value is flushed to authoritative metadata.",REVIEWED_CORRECTED,The pronoun was ambiguous and the prohibition had no phase or primary package.,CAN-LAM-ARCH-020 source trace and pending-overlay contract,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named the overlay lifecycle and assigned pending-overlay ownership.
CAN-LAM-ASSET-026,"Historical intervals are never overwritten, and current edges must not silently rewrite historical asset or event composition.",Updating a current relationship edge must append or close an effective-dated revision while preserving every historical interval and the asset or event composition derived for that interval.,REVIEWED_CORRECTED,"The prohibition lacked an actor, update trigger, verification result, phase, and package.",CAN-LAM-ASSET-026 source trace and relationship-history schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added revision behavior and mapped it to relationship history.
CAN-LAM-ASSET-047,"with the same Photos/, Videos/, event.json, event.xmp, and .backup/ contents as a dated event. Lamha must not invent a calendar date.","When an event has no approved date, Lamha must keep it under the typed Unknown Date layout with the same managed contents as a dated event and must not derive an authoritative calendar date from capture-time suggestions.",REVIEWED_CORRECTED,The source fragment began mid-sentence and had no active phase or package.,CAN-LAM-ASSET-047 source trace and event date-boundary package,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Restored the subject, trigger, observable layout, and date-preservation behavior."
CAN-LAM-ASSET-090,The app may suggest a photographer but must not silently confirm one.,"Lamha may create a photographer proposal from reviewed evidence, but it must keep the authoritative photographer field unchanged until the user explicitly approves the typed attribution candidate.",REVIEWED_CORRECTED,"The prior prohibition omitted the candidate record, preserved field, approval result, phase, and package.",CAN-LAM-ASSET-090 source trace and attribution schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added typed proposal and approval-boundary behavior.
CAN-LAM-DELETE-285,Lamha must not delete reusable visual components merely because they appear on an unwanted page.,Legacy page removal must retain each reusable visual component until an integrated retained-feature parity check proves the component is unused or a reviewed replacement is active.,REVIEWED_CORRECTED,"The prior gate lacked the replacement-verification trigger, evidence, phase, and removal package.",CAN-LAM-DELETE-285 source trace and legacy replacement gate,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added parity proof and mapped the gate to replacement-verified removal.
CAN-LAM-GOV-254,"If the local coordinator, Primary Library Root operation history, or every affected writable-root manifest cannot be prepared, the mutation must not start.","Before a multi-root filesystem mutation starts, Rust must prepare the local coordinator, Primary Library Root operation history, and every affected writable-root manifest; preparation failure must return a typed error before any path changes.",REVIEWED_CORRECTED,"The prior prohibition omitted the actor, typed outcome, observable preservation result, phase, and package.",CAN-LAM-GOV-254 source trace and prepare/stage transaction contract,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added pre-I/O typed failure behavior and transaction ownership.
CAN-LAM-PERSON-051,A person who is currently treated as Family must not be an active member of a friend group.,"When group membership validation observes an active Family classification, it must reject an overlapping active friend-group membership while preserving historical or explicitly reviewed non-overlapping intervals.",REVIEWED_CORRECTED,"The prior prohibition lacked validation behavior, interval semantics, phase, and package ownership.",CAN-LAM-PERSON-051 source trace and temporal group-membership package,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added interval-aware validation and mapped it to group membership.
CAN-FAIL-01,"Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.","Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.",REVIEWED_CORRECTED,"Separated the prohibition, control, evidence, and fixture gate from the historical audit paragraph.",Master Plan File 2 FAIL-01 and File 3 media gates.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Normalized overloaded audit text into a media-ingestion control.
CAN-FAIL-02,Writing stubs or mock production data to pass compilation.,"Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.",REVIEWED_CORRECTED,Converted a governance audit paragraph into an observable completion prohibition.,Master Plan File 2 FAIL-02 and LAM-INV-COMP-02.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added a concrete scan and behavior gate.
CAN-FAIL-03,Completing Svelte screens with hard-coded mock data and no live IPC.,A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.,REVIEWED_CORRECTED,Assigned the failure to the typed frontend bridge instead of a generic shell paragraph.,Master Plan File 2 FAIL-03 and Gate 5.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Created a live-data integration prohibition and criterion.
CAN-FAIL-04,Silently dropping XMP sidecar generation.,"For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.",REVIEWED_CORRECTED,Separated XMP authority and degraded behavior from history.,Master Plan File 2 FAIL-04 and LAM-INV-ASSET-03.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added transactional convergence and failure visibility.
CAN-FAIL-05,"Creating physical category directories for people, groups, albums, or tags.","Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.",REVIEWED_CORRECTED,Assigned the prohibition to event filesystem materialization.,Master Plan File 2 FAIL-05 and event-folder rules.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Defined approved physical classes and a zero-copy gate.
CAN-FAIL-06,Automatically merging face clusters without user review.,"Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.",REVIEWED_CORRECTED,Moved the control from generic AI wording to face-cluster curation.,Master Plan File 2 FAIL-06 and LAM-INV-AI-01.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added proposal-versus-authority behavior.
CAN-FAIL-07,Exposing the local AI worker through a network listener.,"The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.",REVIEWED_CORRECTED,Assigned the prohibition to the private worker transport package.,Master Plan File 2 FAIL-07 and LAM-AI-001.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Specified transport, ownership, and observable listener absence."
CAN-FAIL-08,Overwriting the original filename during rename or move.,"At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.",REVIEWED_CORRECTED,Reduced the audit paragraph to a write-once identity requirement.,Master Plan File 2 FAIL-08 and LAM-INV-ASSET-05.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added lifecycle triggers and an immutable observable.
CAN-FAIL-09,Deleting server infrastructure before callers and retained behavior are replaced.,"Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.",REVIEWED_CORRECTED,Created an explicit removal package and order gate.,Master Plan File 2 FAIL-09 and replacement-before-removal guardrail.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Separated historical risk from the removal precondition.
CAN-FAIL-10,Treating rebuildable SQLite data as the only durable authority.,Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.,REVIEWED_CORRECTED,Separated durable authority from the destructive test setup.,Master Plan File 2 FAIL-10 and LAM-INV-META-03.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added rebuild source and decision-equivalence verification.
CAN-FAIL-11,Moving or renaming linked-folder assets during organization.,"Automated event organization and duplicate workflows must index linked-folder assets in place and must never move or rename them, regardless of filesystem writability.",REVIEWED_CORRECTED,Assigned the rule to the filesystem materialization boundary.,Master Plan File 2 FAIL-11 and LAM-INV-EVENT-03.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added trigger and path/hash preservation proof.
CAN-FAIL-12,Conflating camera owner with photographer.,"Lamha must store camera owner and photographer as distinct attribution fields and must never copy, inherit, or overwrite one from the other without an explicit reviewed user action.",REVIEWED_CORRECTED,Assigned the rule to the attribution schema and importer.,Master Plan File 2 FAIL-12 and LAM-REMOVE-002.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added distinct fields and independence criterion.
CAN-FAIL-13,Auto-populating visible people from event attendees.,Event attendee membership and asset-visible-person membership must remain separate authoritative relationships; neither may automatically populate the other.,REVIEWED_CORRECTED,Assigned the boundary to authoritative event records.,Master Plan File 2 FAIL-13 and LAM-REMOVE-003.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Defined separate authorities and a negative fixture.
CAN-FAIL-14,Dropping historical group membership dates.,Ending a group membership must close its active temporal interval at the approved effective date while preserving all prior intervals for historical queries.,REVIEWED_CORRECTED,Separated temporal behavior from schema-history prose.,Master Plan File 2 FAIL-14 and LAM-INV-PERSON-03.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added end trigger and historical query observable.
CAN-FAIL-15,Flattening nested groups into a single-level list.,Lamha must preserve stable parent-group relationships and must reject any update that would create a group cycle; derived traversal may not flatten or replace the authoritative hierarchy.,REVIEWED_CORRECTED,Assigned hierarchy authority to the group identity model.,Master Plan File 2 FAIL-15 and LAM-GROUP-001.,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added rebuild preservation and rejected-update behavior.
