record_id,previous_statement,disposition,why_previous_invalid,source_preserved,review_status
CAN-LAM-AI-015,"Implementation must honor this constraint: Execution Guardrail: A weaker coding model MUST NEVER create a physical directory on disk or copy/duplicate an asset media file for a Person, Group, Relationship, Album, Tag, or Favorite.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 333-333,NOT_APPLICABLE
CAN-LAM-AI-021,Implementation must honor this constraint: A coding model MUST NEVER invent ad-hoc fields or write against an unapproved schema.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 642-642,NOT_APPLICABLE
CAN-LAM-AI-024,Lamha must preserve this invariant: AI suggestions remain in the suggestion queue until approved; rejection/suppression decisions persist in authoritative JSON.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1205-1205,NOT_APPLICABLE
CAN-LAM-AI-026,"Lamha must provide Reconsider after an explicit user request or a material source, model/version, relevant-configuration, candidate-identity, or evidence change.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1264-1264,NOT_APPLICABLE
CAN-LAM-AI-036,"Lamha must provide AI Suggestions: Candidate identities, tags, locations, relationships, photographers, duplicate actions, and other consequential interpretations are reviewable queue items. They have ZERO authority over user data until approved.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1684-1684,NOT_APPLICABLE
CAN-LAM-AI-037,"Implementation must honor this constraint: Execution Guardrail: A weaker coding model MUST NEVER allow an AI suggestion to silently overwrite, modify, or delete approved user metadata, asset filenames, or directory placements without explicit user confirmation in the Review Centre.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1686-1686,NOT_APPLICABLE
CAN-LAM-AI-038,Lamha must provide Removing AI data does not delete media or approved manual metadata.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1699-1699,NOT_APPLICABLE
CAN-LAM-AI-047,"Lamha must provide No separate manual installation of Docker, databases, AI runtimes, or media tools.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2186-2186,NOT_APPLICABLE
CAN-LAM-AI-049,Lamha must provide It uses the approved metadata and storage model.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2278-2278,NOT_APPLICABLE
CAN-LAM-AI-050,"The final Lamha desktop runtime must not retain or require a weaker coding model MUST NEVER treat the deletion of a server subsystem (PostgreSQL, Redis, REST APIs, Docker, account services) as permission to delete or drop the underlying user-facing feature (gallery browsing, search, albums, sharing/export, AI processing, thumbnail generation, memories).",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 47-47,NOT_APPLICABLE
CAN-LAM-AI-051,The final Lamha desktop runtime must not retain or require weaker coding models regularly delete files blindly without checking whether desktop modules still import them. A server subsystem or legacy module is marked Verified Removed ONLY when all four objective criteria are met.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 67-67,NOT_APPLICABLE
CAN-LAM-AI-052,"The final Lamha desktop runtime must not retain or require to prevent lower-capability coding models from re-introducing server-centric or ambiguous concepts, the planned terminology linter applies to final target production identifiers, target UI text, and target architecture prose. It must allow documented legacy/removal contexts, quoted upstream text, tests that assert rejected wording, legal notices, generated/vendored exclusions, and the Master Plan itself. The exact linter path is established during mapping rather than assumed here.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 79-79,NOT_APPLICABLE
CAN-LAM-AI-053,"Recorded evidence must demonstrate: aiChecked; Insufficient single boolean; ignores models, hashes, and task invalidation.; Per-task status, invalidation/staleness, model identity/version, source identity/hash, configuration identity/hash, and processing-time concepts; exact serialization is selected during target-schema mapping.; All .ts, .svelte, .rs, .json files.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 83-83,NOT_APPLICABLE
CAN-LAM-AI-054,The final Lamha desktop runtime must not retain or require lamha server URL / internal Lamha api endpoint; Refers to a legacy HTTP application server slated for deletion.; Tauri IPC command for UI-to-core; mapped non-network local IPC for Rust-to-worker.; Target UI-to-core client utilities. Explicit opt-in outbound provider clients (for example map tiles) require separate allowlisting and disclosure.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 85-85,NOT_APPLICABLE
CAN-LAM-AI-055,"The final Lamha desktop runtime must not retain or require A bundled local worker using local IPC is not considered a retained server, provided it exposes no network listener and exists only to support the desktop app.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 158-158,NOT_APPLICABLE
CAN-LAM-AI-056,The final Lamha desktop runtime must not retain or require Distributed worker assumptions.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 215-215,NOT_APPLICABLE
CAN-LAM-AI-057,The final Lamha desktop runtime must not retain or require Remote worker management.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 386-386,NOT_APPLICABLE
CAN-LAM-AI-058,The final Lamha desktop runtime must not retain or require AI job state.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 400-400,NOT_APPLICABLE
CAN-LAM-AI-059,The final Lamha desktop runtime must not retain or require Remote AI result storage.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 440-440,NOT_APPLICABLE
CAN-LAM-AI-060,The final Lamha desktop runtime must not retain or require Cloud OCR.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 456-456,NOT_APPLICABLE
CAN-LAM-AI-061,The final Lamha desktop runtime must not retain or require Remote model processing.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 459-459,NOT_APPLICABLE
CAN-LAM-AI-062,The final Lamha desktop runtime must not retain or require Third-party upload of media for AI.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 460-460,NOT_APPLICABLE
CAN-LAM-AI-063,The final Lamha desktop runtime must not retain or require Remote worker availability.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 481-481,NOT_APPLICABLE
CAN-LAM-AI-064,The final Lamha desktop runtime must not retain or require Automatic external model calls.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 495-495,NOT_APPLICABLE
CAN-LAM-AI-065,The final Lamha desktop runtime must not retain or require Suppression decisions.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 561-561,NOT_APPLICABLE
CAN-LAM-AI-066,"The final Lamha desktop runtime must not retain or require as defined in File 1, Lamha-normalized managed storage is event-first (Year/YYYY-MM-DDEvent-Name/ or Unknown Date/Unknown-DateEvent-Name/). The only other valid placement classes are Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations. A weaker coding model MUST NEVER create category folders for People, Groups, Relationships, Albums, or Tags or copy authoritative media to simulate categorization.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 614-614,NOT_APPLICABLE
CAN-LAM-AI-067,The final Lamha desktop runtime must not retain or require Delete behaviour where AI silently.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 658-658,NOT_APPLICABLE
CAN-LAM-AI-069,"Recorded evidence must demonstrate: Lamha uses per-task state concepts across the SQLite working store and local cache (matching File 1 Section 22.3 and File 3 Section 18.3): task status, model identity, model version, source identity or hash, relevant configuration identity or hash, processing time, and invalidation/staleness state. Phase 1 target-schema mapping selects the exact serialized field names and internal database representation.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 688-688,NOT_APPLICABLE
CAN-LAM-AI-070,The final Lamha desktop runtime must not retain or require Delete a group identity model based only on editable text.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 762-762,NOT_APPLICABLE
CAN-LAM-AI-071,The final Lamha desktop runtime must not retain or require Moving files after an AI suggestion.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 835-835,NOT_APPLICABLE
CAN-LAM-AI-072,Recorded evidence must demonstrate: Deleting database models before mapping retained data.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 992-992,NOT_APPLICABLE
CAN-LAM-AI-073,The final Lamha desktop runtime must not retain or require Useful AI logic that can be ported.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 1021-1021,NOT_APPLICABLE
CAN-LAM-AI-074,The final Lamha desktop runtime must not retain or require every worker dependency.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",02-EVERYTHING-WE-ARE-DELETING.md / lines 1046-1046,NOT_APPLICABLE
CAN-LAM-AI-075,Implementation must honor this constraint: Face-specific inference slice over the Phase 1-selected non-network local worker contract.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1434-1434,NOT_APPLICABLE
CAN-LAM-AI-077,"Implementation must honor this constraint: Shared worker supervision, cancellation, retries, and the Phase 1-selected non-network IPC protocol.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1477-1477,NOT_APPLICABLE
CAN-LAM-AI-078,Implementation must honor this constraint: Exact/similar duplicate candidates and burst grouping.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1480-1480,NOT_APPLICABLE
CAN-LAM-AI-079,Implementation must honor this constraint: Persistent rejection/suppression with controlled reconsideration after explicit user action or material source/model/configuration/candidate/evidence change.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1487-1487,NOT_APPLICABLE
CAN-LAM-AI-080,"Recorded evidence must demonstrate: Gate: Processing resumes safely, skips only valid completed work, respects equivalent rejection despite score drift/routine reruns, creates materially changed candidates only in Review with prior history preserved, and creates no network listener.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1490-1490,NOT_APPLICABLE
CAN-LAM-AI-083,Implementation must honor this constraint: Legal/licence/model/codec/binary inventory.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1556-1556,NOT_APPLICABLE
CAN-LAM-AI-088,Recorded evidence must demonstrate: Local AI works with hardware-aware scheduling.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1908-1908,NOT_APPLICABLE
CAN-LAM-AI-089,Recorded evidence must demonstrate: AI state is task-specific.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md / lines 1909-1909,NOT_APPLICABLE
CAN-LAM-ARCH-003,Implementation must honor this constraint: Graphify must map every item in this file to the current codebase or explicitly record that the capability does not yet exist and must be created.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 12-12,NOT_APPLICABLE
CAN-LAM-ARCH-004,"Implementation must honor this constraint: MUST, MUST NOT, REQUIRED, and invariant-table entries are binding.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 16-16,NOT_APPLICABLE
CAN-LAM-ARCH-006,"Recorded evidence must demonstrate: MAY and “optional” describe permitted behaviour, not a completion requirement.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 18-18,NOT_APPLICABLE
CAN-LAM-ARCH-022,Lamha must provide Later embedded changes create a conflict item; they do not rewrite the snapshot.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 131-131,NOT_APPLICABLE
CAN-LAM-ARCH-059,Lamha must provide A missing/detached sidecar is a degraded state requiring repair or Review.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 632-632,NOT_APPLICABLE
CAN-LAM-ARCH-117,Lamha must provide Store departure status such as bad terms.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 954-954,NOT_APPLICABLE
CAN-LAM-ARCH-118,Lamha must provide Be renamed without changing their permanent ID.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 955-955,NOT_APPLICABLE
CAN-LAM-ARCH-124,The final Lamha desktop runtime must not retain or require The user’s own root node is the required exception.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1003-1003,NOT_APPLICABLE
CAN-LAM-ARCH-166,"Lamha must preserve this invariant: Deterministic derived/inherited labels use Active, Suppressed, or Stale and expose their authoritative source.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1253-1253,NOT_APPLICABLE
CAN-LAM-ARCH-167,"Lamha must provide They do not require a second approval after their source fact is approved, and they never masquerade as explicit user-created tags.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1253-1253,NOT_APPLICABLE
CAN-LAM-ARCH-174,Lamha must provide Approved tags remain user-controlled while preserving their original source internally.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1266-1266,NOT_APPLICABLE
CAN-LAM-ARCH-175,Lamha must provide Projection is user-defined or an explicitly approved built-in rule and is never guessed from a label.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1300-1300,NOT_APPLICABLE
CAN-LAM-ARCH-176,Implementation must honor this constraint: Role / Field; Canonical Tag / Field; Authoritative Definition & Meaning; Execution Guardrail.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1332-1332,NOT_APPLICABLE
CAN-LAM-ARCH-182,Implementation must honor this constraint: Use sequence numbering for collisions.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1398-1398,NOT_APPLICABLE
CAN-LAM-ARCH-223,"Lamha must provide Task status, covering not started, queued, processing, completed, failed, cancelled, and invalidated lifecycle states.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1667-1667,NOT_APPLICABLE
CAN-LAM-ARCH-226,Recorded evidence must demonstrate: Processing/completion time.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1672-1672,NOT_APPLICABLE
CAN-LAM-ARCH-227,"Recorded evidence must demonstrate: Invalidation or staleness state, distinguishing current, stale-reference, and rerun-required conditions.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1673-1673,NOT_APPLICABLE
CAN-LAM-ARCH-268,Implementation must honor this constraint: Never overwrite source automatically.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 1799-1799,NOT_APPLICABLE
CAN-LAM-ARCH-308,Lamha must provide Permanent deletion disabled unless enabled in Settings.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2042-2042,NOT_APPLICABLE
CAN-LAM-ARCH-321,The final Lamha desktop runtime must not retain or require Review feedback.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2118-2118,NOT_APPLICABLE
CAN-LAM-ARCH-322,The final Lamha desktop runtime must not retain or require Responsive desktop sizing.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2120-2120,NOT_APPLICABLE
CAN-LAM-ARCH-323,The final Lamha desktop runtime must not retain or require Selection toolbar.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2122-2122,NOT_APPLICABLE
CAN-LAM-ARCH-324,The final Lamha desktop runtime must not retain or require Bulk actions.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2123-2123,NOT_APPLICABLE
CAN-LAM-ARCH-327,The final Lamha desktop runtime must not retain or require Pause and resume.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2126-2126,NOT_APPLICABLE
CAN-LAM-ARCH-328,The final Lamha desktop runtime must not retain or require Clear offline status.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2127-2127,NOT_APPLICABLE
CAN-LAM-ARCH-329,The final Lamha desktop runtime must not retain or require Clear read-only status.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 2128-2128,NOT_APPLICABLE
