Package ID,Canonical ID,Candidate placement,Final placement,Exact authority owner,Exact implementation owner,Exact shared mechanism,Exact Codebase evidence,Exact contract evidence,Exact schema evidence,Exact test evidence,Exact failure/recovery evidence,Alternative considered,Final decision,Item-specific rationale,Evidence sources,Reviewer role,Review revision,Verification status
WP-I0-011,CAN-FAIL-23,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/server/src/schema/migrations/1776332807985-SetOAuthAllowInsecureRequests.ts;Codebase/server/src/services/storage.service.ts;Codebase/web/src/lib/components/layouts/AuthPageLayout.svelte;Codebase/web/src/lib/components/shared-components/side-bar/UserSidebar.svelte,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Execution transcript and handoff gate.,Explicit failure/preservation clause in the statement is preserved; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-23 source locator lines 120-120 and Codebase evidence ['Codebase/server/src/schema/migrations/1776332807985-SetOAuthAllowInsecureRequests.ts', 'Codebase/server/src/services/storage.service.ts'] support placement in WP-I0-011.",requirements.csv:lines 120-120; reviewed-actionable-requirements-v3.csv:CAN-FAIL-23; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I0-011,CAN-FAIL-24,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/openapi/lib/model/asset_metadata_upsert_dto.dart;Codebase/mobile/openapi/lib/model/search_album_response_dto.dart;Codebase/open-api/templates/mobile/serialization/native/native_class_nullable_items_in_arrays.patch;Codebase/web/src/lib/components/shared-components/tree/TreeItems.svelte,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Anti-guessing evidence gate.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-24 source locator lines 121-121 and Codebase evidence ['Codebase/mobile/openapi/lib/model/asset_metadata_upsert_dto.dart', 'Codebase/mobile/openapi/lib/model/search_album_response_dto.dart'] support placement in WP-I0-011.",requirements.csv:lines 121-121; reviewed-actionable-requirements-v3.csv:CAN-FAIL-24; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I8-006,CAN-FAIL-25,WP-I8-006,WP-I8-006,Relationship projections and views,Relationship projections and views,"Reviewed cross-capability package: Relationship projections and views is a shared architectural surface used by Metadata, People and faces, Relationships and attribution. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/openapi/lib/api/views_api.dart;Codebase/mobile/packages/ui/lib/src/previews.dart;Codebase/mobile/packages/ui/lib/src/previews/form.dart;Codebase/web/src/lib/components/asset-viewer/DetailPanelPeople.svelte,"Contracts affected by requirements CAN-FAIL-25, CAN-LAM-ASSET-045, CAN-LAM-ASSET-082, CAN-LAM-ASSET-083, CAN-LAM-PERSON-004, CAN-LAM-PERSON-014, CAN-LAM-PERSON-073, CAN-LAM-PERSON-077; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-25, CAN-LAM-ASSET-045, CAN-LAM-ASSET-082, CAN-LAM-ASSET-083, CAN-LAM-PERSON-004, CAN-LAM-PERSON-014, CAN-LAM-PERSON-073, CAN-LAM-PERSON-077; schema paths are resolved in the package packet.",Relationship history and nine-view projection gate.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-25 source locator lines 122-122 and Codebase evidence ['Codebase/mobile/openapi/lib/api/views_api.dart', 'Codebase/mobile/packages/ui/lib/src/previews.dart'] support placement in WP-I8-006.",requirements.csv:lines 122-122; reviewed-actionable-requirements-v3.csv:CAN-FAIL-25; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I0-011,CAN-FAIL-27,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/test/medium/repositories/backup_repository_test.dart;Codebase/mobile/test/medium/repositories/settings_repository_test.dart;Codebase/mobile/test/medium/repositories/timeline_repository_test.dart;Codebase/mobile/test/unit/repositories/settings_repository_test.dart,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Workspace-boundary structural gate.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-27 source locator lines 124-124 and Codebase evidence ['Codebase/mobile/test/medium/repositories/backup_repository_test.dart', 'Codebase/mobile/test/medium/repositories/settings_repository_test.dart'] support placement in WP-I0-011.",requirements.csv:lines 124-124; reviewed-actionable-requirements-v3.csv:CAN-FAIL-27; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I0-011,CAN-FAIL-32,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/lib/widgets/forms/pin_verification_form.dart;Codebase/server/src/utils/workflow.ts;Codebase/server/test/medium/specs/services/workflow.service.spec.ts;Codebase/server/test/medium/specs/workflow/workflow-core-plugin.spec.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Phase-transition audit gate.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-32 source locator lines 129-129 and Codebase evidence ['Codebase/mobile/lib/widgets/forms/pin_verification_form.dart', 'Codebase/server/src/utils/workflow.ts'] support placement in WP-I0-011.",requirements.csv:lines 129-129; reviewed-actionable-requirements-v3.csv:CAN-FAIL-32; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I3-009,CAN-LAM-AI-006,WP-I3-009,WP-I3-009,Sidecars and metadata authority,Derived-index rebuild contract,"Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/server/src/dtos/system-metadata.dto.ts;Codebase/server/src/repositories/metadata.repository.ts;Codebase/server/src/services/metadata.service.spec.ts;Codebase/server/src/services/metadata.service.ts,"Contracts affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; schema paths are resolved in the package packet.","Given versioned AI authority records and a populated SQLite projection, when SQLite is deleted and rebuilt, then every saved decision, suppression, pending overlay, and history revision reappears with matching identifiers and values.",Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-AI-006 source locator lines 64-64 and Codebase evidence ['Codebase/server/src/dtos/system-metadata.dto.ts', 'Codebase/server/src/repositories/metadata.repository.ts'] support placement in WP-I3-009.",requirements.csv:lines 64-64; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-006; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-AI-018,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/server/src/dtos/duplicate.dto.ts;Codebase/server/src/utils/duplicate.spec.ts;Codebase/server/src/utils/duplicate.ts;Codebase/web/src/lib/utils/duplicate-utils.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Duplicate-candidate fixture with evidence checks.,Explicit failure/preservation clause in the statement is preserved; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-AI-018 source locator lines 392-392 and Codebase evidence ['Codebase/server/src/dtos/duplicate.dto.ts', 'Codebase/server/src/utils/duplicate.spec.ts'] support placement in WP-I10-011.",requirements.csv:lines 392-392; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-018; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I3-009,CAN-LAM-AI-027,WP-I3-009,WP-I3-009,Local data authority,Derived-index rebuild contract,"Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/lib/utils/migration.dart;Codebase/server/src/repositories/database.repository.ts;Codebase/server/src/repositories/search.repository.ts;Codebase/web/src/lib/managers/memory-manager.svelte.ts,"Contracts affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; schema paths are resolved in the package packet.",Rebuild fixture must restore embeddings/index from authority records.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-AI-027 source locator lines 1445-1445 and Codebase evidence ['Codebase/mobile/lib/utils/migration.dart', 'Codebase/server/src/repositories/database.repository.ts'] support placement in WP-I3-009.",requirements.csv:lines 1445-1445; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-027; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I10-011,CAN-LAM-AI-039,WP-I10-011,WP-I10-011,Duplicates,Duplicate and similarity candidates,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,Codebase/mobile/lib/services/background_upload.service.dart;Codebase/mobile/lib/services/cleanup.service.dart;Codebase/mobile/lib/services/foreground_upload.service.dart;Codebase/server/src/services/metadata.service.ts,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",Similar-photo candidate fixture.,Explicit failure/preservation clause in the statement is preserved; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-AI-039 source locator lines 1766-1766 and Codebase evidence ['Codebase/mobile/lib/services/background_upload.service.dart', 'Codebase/mobile/lib/services/cleanup.service.dart'] support placement in WP-I10-011.",requirements.csv:lines 1766-1766; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-039; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I8-001,CAN-LAM-AI-042,WP-I8-001,WP-I8-001,Metadata,Tag records and namespaces,"Reviewed cross-capability package: Tag records and namespaces is a shared architectural surface used by Metadata, Relationships and attribution, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/server/src/controllers/asset.controller.ts;Codebase/server/src/repositories/metadata.repository.ts;Codebase/server/src/services/metadata.service.ts;Codebase/web/src/lib/components/asset-viewer/DetailPanelTags.svelte,"Contracts affected by requirements CAN-LAM-AI-042, CAN-LAM-ARCH-164, CAN-LAM-ARCH-386, CAN-LAM-ASSET-075, CAN-LAM-PERSON-068; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-AI-042, CAN-LAM-ARCH-164, CAN-LAM-ARCH-386, CAN-LAM-ASSET-075, CAN-LAM-PERSON-068; schema paths are resolved in the package packet.",AI-tag privacy fixture.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-LAM-AI-042 source locator lines 1957-1957 and Codebase evidence ['Codebase/server/src/controllers/asset.controller.ts', 'Codebase/server/src/repositories/metadata.repository.ts'] support placement in WP-I8-001.",requirements.csv:lines 1957-1957; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-042; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I5-010,CAN-LAM-AI-043,WP-I5-010,WP-I5-010,Review Centre,Review-state mutations,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.",Codebase/server/src/repositories/workflow.repository.ts;Codebase/server/src/services/workflow.service.ts;Codebase/web/src/lib/components/asset-viewer/PhotoSphereViewerAdapter.svelte,Review decision and transition contracts,Review item and review decision records,Suppression-rule fixture.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-LAM-AI-043 source locator lines 2014-2014 and Codebase evidence ['Codebase/server/src/repositories/workflow.repository.ts', 'Codebase/server/src/services/workflow.service.ts'] support placement in WP-I5-010.",requirements.csv:lines 2014-2014; reviewed-actionable-requirements-v3.csv:CAN-LAM-AI-043; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
