Canonical ID,Previous capability,Corrected capability,Previous phase,Corrected phase,Previous package,Final package,Package objective,Membership rationale,Dependencies affected,Contracts affected,Schemas affected,Packet references,Review result,Correction applied
CAN-LAM-ARCH-110,People and faces,People and faces,,,WP-I7-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-111,People and faces,People and faces,,,WP-I7-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-112,People and faces,People and faces,,,WP-I7-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-113,People and faces,People and faces,,,WP-I7-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-114,People and faces,People and faces,,,WP-I7-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-115,People and faces,People and faces,,,WP-I7-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-119,People and faces,People and faces,,,WP-I7-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-125,Relationships and attribution,Relationships and attribution,,,WP-I8-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-126,Relationships and attribution,Relationships and attribution,,,WP-I8-009,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-127,Relationships and attribution,Relationships and attribution,,,WP-I8-009,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-128,Relationships and attribution,Relationships and attribution,,,WP-I8-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-129,Relationships and attribution,Relationships and attribution,,,WP-I8-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-130,Relationships and attribution,Relationships and attribution,,,WP-I8-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-131,Relationships and attribution,Relationships and attribution,,,WP-I8-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-132,Relationships and attribution,Relationships and attribution,,,WP-I8-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-133,Relationships and attribution,Relationships and attribution,,,WP-I8-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-152,Events and organization,Events and organization,,,WP-I6-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-153,Events and organization,Events and organization,,,WP-I6-006,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-154,Events and organization,Events and organization,,,WP-I6-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-155,Events and organization,Events and organization,,,WP-I6-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-156,Events and organization,Events and organization,,,WP-I6-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-157,Events and organization,Events and organization,,,WP-I6-002,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-158,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-159,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-160,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-161,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-162,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-163,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-193,Editing,Editing,I11,I11,WP-I10-002,WP-I11-006,Create new output copies for raw-data export and edited-copy export with provenance/derivative manifests while leaving original media and source records unchanged.,"WP-I11-006 is the architectural owner because its objective — Create new output copies for raw-data export and edited-copy export with provenance/derivative manifests while leaving original media and source records unchang — is the surface that must execute the obligation 'When raw data is copied or exported, Lamha must produce a copy of the local source data wi'; prerequisite packages WP-I3-012 supply the underlying schema/identity/journal it needs.",WP-I11-006<-WP-I11-004:REQUIRES_SCHEMA;WP-I11-006<-WP-I3-012:REQUIRES_STORAGE,Derivative/export command contracts and export manifest contract,Derivative manifest and export provenance records,11-model-packets/phases/I11.md;04-work-packages/packets/WP-I11-006.md,PASS,YES
CAN-LAM-ARCH-197,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-198,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-199,Relationships and attribution,Relationships and attribution,,,WP-I8-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-200,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-201,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-202,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-203,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-204,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-205,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-206,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-207,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-208,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-209,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-210,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-211,Metadata,Metadata,,,WP-I3-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-212,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-214,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-224,Duplicates,Duplicates,,,WP-I10-013,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-225,Duplicates,Duplicates,,,WP-I10-011,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-248,Map and location,Map and location,I5,I5,WP-I5-004,WP-I5-008,"Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map tiles disabled by default and never mutate records.","WP-I5-008 is the architectural owner because its objective — Render maps, venues, offline coordinates, asset timelines by location, location filters, and review links from canonical location records; keep optional map til — is the surface that must execute the obligation 'When coordinates are displayed offline, Lamha must show the reviewed coordinates from loca'; prerequisite packages WP-I4-008 supply the underlying schema/identity/journal it needs.",WP-I5-008<-WP-I4-008:REQUIRES_SCHEMA,Map browsing and location filter contracts,Map and location view projections,11-model-packets/phases/I5.md;04-work-packages/packets/WP-I5-008.md,PASS,YES
CAN-LAM-ARCH-267,Editing,Editing,I11,I11,,WP-I11-004,"Persist revisioned crop/rotate/color edit recipes and metadata mirrors, preview changes, preserve original media bytes, and only materialize edited copies through export.","WP-I11-004 is the architectural owner because its objective — Persist revisioned crop/rotate/color edit recipes and metadata mirrors, preview changes, preserve original media bytes, and only materialize edited copies throu — is the surface that must execute the obligation 'Non-destructive editing must always preserve the original media file; edits are stored as '; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",WP-I11-004<-WP-I3-001:REQUIRES_SCHEMA;WP-I11-006<-WP-I11-004:REQUIRES_SCHEMA,Non-destructive edit recipe and preview contracts,Edit recipe and edit-revision records,11-model-packets/phases/I11.md;04-work-packages/packets/WP-I11-004.md,PASS,YES
CAN-LAM-ARCH-269,Jobs and notifications,Jobs and notifications,,,WP-I5-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-270,Review Centre,Review Centre,,,WP-I5-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-370,Desktop shell,Desktop shell,I2,I2,WP-I2-008,WP-I2-001,"Establish the Tauri 2 process, typed IPC boundary, permission model, and repository-derived command set before other shell features.","WP-I2-001 is the architectural owner because its objective — Establish the Tauri 2 process, typed IPC boundary, permission model, and repository-derived command set before other shell features. — is the surface that must execute the obligation 'The desktop shell must establish the reviewed Tauri 2 process, typed IPC boundary, and per'; prerequisite packages WP-I0-005 supply the underlying schema/identity/journal it needs.",WP-I14-013<-WP-I2-001:REQUIRES_UI_SHELL;WP-I2-001<-WP-I0-005:REQUIRES_RUNTIME;WP-I2-003<-WP-I2-001:REQUIRES_RUNTIME;WP-I2-004<-WP-I2-001:REQUIRES_COMPONENT;WP-I2-007<-WP-I2-001:REQUIRES_RUNTIME,Tauri shell bootstrap and IPC boundary contracts,Shell bootstrap and command-authority records,11-model-packets/phases/I2.md;04-work-packages/packets/WP-I2-001.md,PASS,YES
CAN-LAM-ARCH-376,Media ingestion and derivation,Gallery and timeline,I4,I5,WP-I4-010,WP-I5-002,"Navigate the timeline by date from local records, render event/folder browsing, mark missing-media and offline-drive states, and preserve prior position on load failure.","WP-I5-002 is the architectural owner because its objective — Navigate the timeline by date from local records, render event/folder browsing, mark missing-media and offline-drive states, and preserve prior position on load — is the surface that must execute the obligation 'The timeline must render from local records, stay keyboard-operable, and preserve the prio'; prerequisite packages WP-I4-010 supply the underlying schema/identity/journal it needs.",WP-I5-002<-WP-I4-010:REQUIRES_DERIVED_INDEX,Timeline navigation and browsing contracts,Timeline view projections,11-model-packets/phases/I5.md;04-work-packages/packets/WP-I5-002.md,PASS,YES
CAN-LAM-ARCH-376,Gallery and timeline,Gallery and timeline,I5,I5,WP-I4-010,WP-I5-002,"Navigate the timeline by date from local records, render event/folder browsing, mark missing-media and offline-drive states, and preserve prior position on load failure.","WP-I5-002 is the architectural owner because its objective — Navigate the timeline by date from local records, render event/folder browsing, mark missing-media and offline-drive states, and preserve prior position on load — is the surface that must execute the obligation 'The timeline must render from local records, stay keyboard-operable, and preserve the prio'; prerequisite packages WP-I4-010 supply the underlying schema/identity/journal it needs.",WP-I5-002<-WP-I4-010:REQUIRES_DERIVED_INDEX,Timeline navigation and browsing contracts,Timeline view projections,11-model-packets/phases/I5.md;04-work-packages/packets/WP-I5-002.md,PASS,YES
CAN-LAM-ARCH-387,Relationships and attribution,Relationships and attribution,I8,I8,WP-I8-006,WP-I8-002,"Persist namespaced/revisioned tag candidates and approved assignments, generate content-tag suggestions with provenance, enforce review-first activation, and persist suppression.","WP-I8-002 is the architectural owner because its objective — Persist namespaced/revisioned tag candidates and approved assignments, generate content-tag suggestions with provenance, enforce review-first activation, and pe — is the surface that must execute the obligation 'Tag activation must be review-first and AI-suggested tags must remain unapplied until appr'; prerequisite packages WP-I8-001 supply the underlying schema/identity/journal it needs.",WP-I8-002<-WP-I8-001:REQUIRES_REVIEW_PROTOCOL,tags.candidates,"Tag candidate, suggestion, and suppression records",11-model-packets/phases/I8.md;04-work-packages/packets/WP-I8-002.md,PASS,YES
CAN-LAM-ARCH-392,Mind-map projections,Mind-map projections,I9,I9,WP-I9-001,WP-I9-006,Persist mind-map drafts through the transaction journal and restore the last valid draft on failure.,WP-I9-006 is the architectural owner because its objective — Persist mind-map drafts through the transaction journal and restore the last valid draft on failure. — is the surface that must execute the obligation 'Mind-map drafts must be saved safely and restored from the last valid state on failure.'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.,WP-I9-006<-WP-I3-001:REQUIRES_SCHEMA,Mind-map draft persistence contracts,Mind-map draft records,11-model-packets/phases/I9.md;04-work-packages/packets/WP-I9-006.md,PASS,YES
CAN-LAM-ARCH-393,Mind-map projections,Mind-map projections,I9,I9,WP-I9-001,WP-I9-007,"Preview mind-map nodes, edges, and filesystem effects, require explicit approval, and commit materialization only through a validated filesystem plan.","WP-I9-007 is the architectural owner because its objective — Preview mind-map nodes, edges, and filesystem effects, require explicit approval, and commit materialization only through a validated filesystem plan. — is the surface that must execute the obligation 'Mind-map materialization must preview nodes, edges, and filesystem effects and commit only'; prerequisite packages WP-I3-011 supply the underlying schema/identity/journal it needs.",WP-I9-007<-WP-I3-011:REQUIRES_CONTRACT,Mind-map simulation and materialization plan contracts,Materialization plan records,11-model-packets/phases/I9.md;04-work-packages/packets/WP-I9-007.md,PASS,YES
CAN-LAM-ARCH-508,Planning and verification governance,Planning and verification governance,,,,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-031,Relationships and attribution,Relationships and attribution,,,WP-I8-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-062,Events and organization,Events and organization,,,WP-I6-003,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-063,People and faces,People and faces,,,WP-I7-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-071,Events and organization,Events and organization,,,WP-I6-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-072,Relationships and attribution,Relationships and attribution,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-077,Relationships and attribution,Relationships and attribution,,,WP-I8-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-084,Relationships and attribution,Relationships and attribution,,,WP-I8-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-114,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-115,Asset identity and records,Asset identity and records,,,WP-I3-002,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-116,Relationships and attribution,Relationships and attribution,,,WP-I8-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ASSET-117,Local AI worker,Local AI worker,I10,I10,WP-I10-005,WP-I10-005,"Detect and record CPU, core count, RAM, GPU/GPU memory, OS, disk, acceleration, library counts, and benchmark results from local OS data for AI hardware assessment.","WP-I10-005 is the architectural owner because its objective — Detect and record CPU, core count, RAM, GPU/GPU memory, OS, disk, acceleration, library counts, and benchmark results from local OS data for AI hardware assessm — is the surface that must execute the obligation 'When hardware assessment runs, Lamha must report the photo count of the local library and '; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",WP-I10-005<-WP-I10-003:REQUIRES_MODEL_REGISTRY;WP-I14-010<-WP-I10-005:REQUIRES_PLATFORM_PROOF,ai.hardware_assess,Hardware assessment and benchmark records,11-model-packets/phases/I10.md;04-work-packages/packets/WP-I10-005.md,PASS,YES
CAN-LAM-ASSET-118,Local AI worker,Local AI worker,I10,I10,WP-I10-005,WP-I10-005,"Detect and record CPU, core count, RAM, GPU/GPU memory, OS, disk, acceleration, library counts, and benchmark results from local OS data for AI hardware assessment.","WP-I10-005 is the architectural owner because its objective — Detect and record CPU, core count, RAM, GPU/GPU memory, OS, disk, acceleration, library counts, and benchmark results from local OS data for AI hardware assessm — is the surface that must execute the obligation 'When hardware assessment runs, Lamha must report the video count of the local library and '; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",WP-I10-005<-WP-I10-003:REQUIRES_MODEL_REGISTRY;WP-I14-010<-WP-I10-005:REQUIRES_PLATFORM_PROOF,ai.hardware_assess,Hardware assessment and benchmark records,11-model-packets/phases/I10.md;04-work-packages/packets/WP-I10-005.md,PASS,YES
CAN-LAM-ASSET-138,Sidecars and metadata authority,Sidecars and metadata authority,I3,I3,WP-I5-009,WP-I3-006,"Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative knowledge separate from rebuildable indexes.","WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'Asset JSON must be read and written as the schema-valid authoritative record with exact-by'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.",WP-I11-001<-WP-I3-006:REQUIRES_STORAGE;WP-I11-010<-WP-I3-006:REQUIRES_STORAGE;WP-I3-006<-WP-I3-005:REQUIRES_SCHEMA;WP-I5-017<-WP-I3-006:REQUIRES_SCHEMA,Sidecar write protocol contracts,Asset and XMP sidecar records,11-model-packets/phases/I3.md;04-work-packages/packets/WP-I3-006.md,PASS,YES
CAN-LAM-ASSET-147,Performance and scale,Performance and scale,I14,I14,WP-I14-001,WP-I14-001,Define executable performance fixtures for 10k/50k/100k assets and require hardware-profile recording on every performance result.,"WP-I14-001 is the architectural owner because its objective — Define executable performance fixtures for 10k/50k/100k assets and require hardware-profile recording on every performance result. — is the surface that must execute the obligation 'Before release, Lamha performance validation must execute declared 10,000-, 50,000-, and 1'; prerequisite packages WP-I0-007 supply the underlying schema/identity/journal it needs.",WP-I14-001<-WP-I0-007:REQUIRES_PLATFORM_PROOF;WP-I14-003<-WP-I14-001:REQUIRES_PLATFORM_PROOF;WP-I14-004<-WP-I14-001:REQUIRES_PLATFORM_PROOF;WP-I14-011<-WP-I14-001:REQUIRES_PLATFORM_PROOF;WP-I14-012<-WP-I14-001:REQUIRES_PLATFORM_PROOF;WP-I14-013<-WP-I14-001:REQUIRES_PLATFORM_PROOF;WP-I14-014<-WP-I14-001:REQUIRES_PLATFORM_PROOF,Performance fixture and result-reporting contracts,Performance fixture and hardware-profile records,11-model-packets/phases/I14.md;04-work-packages/packets/WP-I14-001.md,PASS,YES
CAN-LAM-BACKUP-004,Sidecars and metadata authority,"Backup, trash, restore and rebuild",I3,I13,WP-I3-007,WP-I13-001,"Persist schema-valid backup manifests inventorying record revisions, exclude backup/app-data from views, preserve malformed sidecars, and enforce controlled-copy exceptions.","WP-I13-001 is the architectural owner because its objective — Persist schema-valid backup manifests inventorying record revisions, exclude backup/app-data from views, preserve malformed sidecars, and enforce controlled-cop — is the surface that must execute the obligation 'When backup manifests are written, Lamha must persist a schema-valid manifest inventorying'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",WP-I13-001<-WP-I3-001:REQUIRES_SCHEMA;WP-I13-002<-WP-I13-001:REQUIRES_SCHEMA,maintenance.backup_plan;maintenance.backup_run;maintenance.backup_verify;maintenance.permanent_delete_commit;maintenance.permanent_delete_plan;maintenance.rebuild_plan;maintenance.rebuild_run;maintenance.restore_commit;maintenance.restore_plan;maintenance.status;maintenance.trash_commit;maintenance.trash_plan,Backup manifest and controlled-copy exception records,11-model-packets/phases/I13.md;04-work-packages/packets/WP-I13-001.md,PASS,YES
CAN-LAM-BACKUP-004,"Backup, trash, restore and rebuild","Backup, trash, restore and rebuild",I13,I13,WP-I3-007,WP-I13-001,"Persist schema-valid backup manifests inventorying record revisions, exclude backup/app-data from views, preserve malformed sidecars, and enforce controlled-copy exceptions.","WP-I13-001 is the architectural owner because its objective — Persist schema-valid backup manifests inventorying record revisions, exclude backup/app-data from views, preserve malformed sidecars, and enforce controlled-cop — is the surface that must execute the obligation 'When backup manifests are written, Lamha must persist a schema-valid manifest inventorying'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",WP-I13-001<-WP-I3-001:REQUIRES_SCHEMA;WP-I13-002<-WP-I13-001:REQUIRES_SCHEMA,maintenance.backup_plan;maintenance.backup_run;maintenance.backup_verify;maintenance.permanent_delete_commit;maintenance.permanent_delete_plan;maintenance.rebuild_plan;maintenance.rebuild_run;maintenance.restore_commit;maintenance.restore_plan;maintenance.status;maintenance.trash_commit;maintenance.trash_plan,Backup manifest and controlled-copy exception records,11-model-packets/phases/I13.md;04-work-packages/packets/WP-I13-001.md,PASS,YES
CAN-LAM-DUPLICATE-004,Search and OCR,Search and OCR,,,WP-I10-010,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-038,People and faces,People and faces,,,WP-I7-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-039,People and faces,People and faces,,,WP-I7-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-040,People and faces,People and faces,,,WP-I7-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-042,Events and organization,Events and organization,,,WP-I6-009,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-046,Events and organization,Events and organization,,,WP-I6-007,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-EVENT-047,Tags,Tags,,,WP-I8-001,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
