occurrence_id,source_type,record_id,field,term,classification,text,rationale
BAR-0019,requirement,CAN-LAM-ASSET-043,source_text,backup,Legitimate future product backup feature,Each library profile has one writable Primary Library Root. The required baseline structure is: Media Library/ / │ / ├── Manage Later/ / │   ├── IMG_1001.jpg / │   ├── VID_1002.mp4 / │   └── Existing-Unsorted-Folder/ / │ / ├── 2025/ / │   └── 2025-12-31_New-Year-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── 2026/ / │   ├── 2026-03-30_Eid/ / │   │   ├── Photos/ / │   │   ├── Videos/ / │   │   ├── event.json / │   │   ├── event.xmp / │   │   └── .backup/ / │   │ / │   └── 2026-07-18_Gooners-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── Unknown Date/ / │   └── Unknown-Date_Family-Trip/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / └── .app-data/ / ├── library.json / ├── root.json / ├── manifests/ / ├── trash/ / ├── people/ / ├── groups/ / ├── relationships/ / ├── events/ / ├── maps/ / ├── tags/ / ├── albums/ / ├── operations/ / ├── review-decisions/ / └── backups/,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0020,requirement,CAN-LAM-ASSET-043,source_text,backup,Legitimate future product backup feature,Each library profile has one writable Primary Library Root. The required baseline structure is: Media Library/ / │ / ├── Manage Later/ / │   ├── IMG_1001.jpg / │   ├── VID_1002.mp4 / │   └── Existing-Unsorted-Folder/ / │ / ├── 2025/ / │   └── 2025-12-31_New-Year-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── 2026/ / │   ├── 2026-03-30_Eid/ / │   │   ├── Photos/ / │   │   ├── Videos/ / │   │   ├── event.json / │   │   ├── event.xmp / │   │   └── .backup/ / │   │ / │   └── 2026-07-18_Gooners-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── Unknown Date/ / │   └── Unknown-Date_Family-Trip/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / └── .app-data/ / ├── library.json / ├── root.json / ├── manifests/ / ├── trash/ / ├── people/ / ├── groups/ / ├── relationships/ / ├── events/ / ├── maps/ / ├── tags/ / ├── albums/ / ├── operations/ / ├── review-decisions/ / └── backups/,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0021,requirement,CAN-LAM-ASSET-043,source_text,backup,Legitimate future product backup feature,Each library profile has one writable Primary Library Root. The required baseline structure is: Media Library/ / │ / ├── Manage Later/ / │   ├── IMG_1001.jpg / │   ├── VID_1002.mp4 / │   └── Existing-Unsorted-Folder/ / │ / ├── 2025/ / │   └── 2025-12-31_New-Year-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── 2026/ / │   ├── 2026-03-30_Eid/ / │   │   ├── Photos/ / │   │   ├── Videos/ / │   │   ├── event.json / │   │   ├── event.xmp / │   │   └── .backup/ / │   │ / │   └── 2026-07-18_Gooners-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── Unknown Date/ / │   └── Unknown-Date_Family-Trip/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / └── .app-data/ / ├── library.json / ├── root.json / ├── manifests/ / ├── trash/ / ├── people/ / ├── groups/ / ├── relationships/ / ├── events/ / ├── maps/ / ├── tags/ / ├── albums/ / ├── operations/ / ├── review-decisions/ / └── backups/,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0022,requirement,CAN-LAM-ASSET-043,source_text,backup,Legitimate future product backup feature,Each library profile has one writable Primary Library Root. The required baseline structure is: Media Library/ / │ / ├── Manage Later/ / │   ├── IMG_1001.jpg / │   ├── VID_1002.mp4 / │   └── Existing-Unsorted-Folder/ / │ / ├── 2025/ / │   └── 2025-12-31_New-Year-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── 2026/ / │   ├── 2026-03-30_Eid/ / │   │   ├── Photos/ / │   │   ├── Videos/ / │   │   ├── event.json / │   │   ├── event.xmp / │   │   └── .backup/ / │   │ / │   └── 2026-07-18_Gooners-Hangout/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / ├── Unknown Date/ / │   └── Unknown-Date_Family-Trip/ / │       ├── Photos/ / │       ├── Videos/ / │       ├── event.json / │       ├── event.xmp / │       └── .backup/ / │ / └── .app-data/ / ├── library.json / ├── root.json / ├── manifests/ / ├── trash/ / ├── people/ / ├── groups/ / ├── relationships/ / ├── events/ / ├── maps/ / ├── tags/ / ├── albums/ / ├── operations/ / ├── review-decisions/ / └── backups/,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0023,requirement,CAN-LAM-ASSET-047,source_text,backup,Legitimate future product backup feature,"with the same Photos/, Videos/, event.json, event.xmp, and .backup/ contents as a dated event. Lamha must not invent a calendar date.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0024,requirement,CAN-LAM-ASSET-069,statement,backup,Legitimate future product backup feature,"Every in-scope user media, Event, Manage Later, and Linked Folder may be represented by a node. System-controlled .app-data/, .backup/, cache, Trash, manifest, and staging directories are excluded from the organizational map and appear only in diagnostics when necessary.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0025,requirement,CAN-LAM-ASSET-069,source_text,backup,Legitimate future product backup feature,"Every in-scope user media, Event, Manage Later, and Linked Folder may be represented by a node. System-controlled .app-data/, .backup/, cache, Trash, manifest, and staging directories are excluded from the organizational map and appear only in diagnostics when necessary.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0026,requirement,CAN-LAM-ASSET-069,acceptance_criteria,backup,Legitimate future product backup feature,"ACCEPT::Every in-scope user media, Event, Manage Later, and Linked Folder may be represented by a node. System-controlled .app-data/, .backup/, cache, Trash, manifest, and staging directories are excluded from the organizational map and appear only in diagnostics when necessary.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0027,requirement,CAN-LAM-ASSET-101,statement,backup,Superseded,Lamha must provide Original embedded camera metadata; Embedded media at ingestion plus immutable snapshot; Asset JSON backup.,Inactive source trace; it cannot instruct implementation.
BAR-0028,requirement,CAN-LAM-ASSET-101,source_text,backup,Superseded,Original embedded camera metadata; Embedded media at ingestion plus immutable snapshot; Asset JSON backup,Inactive source trace; it cannot instruct implementation.
BAR-0029,requirement,CAN-LAM-ASSET-101,acceptance_criteria,backup,Superseded,ACCEPT::Lamha must provide Original embedded camera metadata; Embedded media at ingestion plus immutable snapshot; Asset JSON backup.,Inactive source trace; it cannot instruct implementation.
BAR-0030,requirement,CAN-LAM-ASSET-119,statement,backup,Superseded,"Lamha must preserve this invariant: Approved User Metadata: Explicitly confirmed or manually entered user metadata (confirmed person names, confirmed relationships, approved tags, assigned events, manual dates). Stored authoritatively in .asset.json, event.json, person.json, etc., and backed up in .backup/.",Inactive source trace; it cannot instruct implementation.
BAR-0031,requirement,CAN-LAM-ASSET-119,source_text,backup,Superseded,"Approved User Metadata: Explicitly confirmed or manually entered user metadata (confirmed person names, confirmed relationships, approved tags, assigned events, manual dates). Stored authoritatively in .asset.json, event.json, person.json, etc., and backed up in .backup/.",Inactive source trace; it cannot instruct implementation.
BAR-0032,requirement,CAN-LAM-ASSET-119,acceptance_criteria,backup,Superseded,"ACCEPT::Lamha must preserve this invariant: Approved User Metadata: Explicitly confirmed or manually entered user metadata (confirmed person names, confirmed relationships, approved tags, assigned events, manual dates). Stored authoritatively in .asset.json, event.json, person.json, etc., and backed up in .backup/.",Inactive source trace; it cannot instruct implementation.
BAR-0033,requirement,CAN-LAM-ASSET-139,title,Backup,Legitimate future product backup feature,"Backup copies are recovery artifacts, not managed gallery assets. They must be excluded from...","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0034,requirement,CAN-LAM-ASSET-139,statement,Backup,Legitimate future product backup feature,"Backup copies are recovery artifacts, not managed gallery assets. They must be excluded from scanning, smart views, duplicate counts, and the single-authoritative-location rule until an explicit restore commits them.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0035,requirement,CAN-LAM-ASSET-139,source_text,Backup,Legitimate future product backup feature,"Backup copies are recovery artifacts, not managed gallery assets. They must be excluded from scanning, smart views, duplicate counts, and the single-authoritative-location rule until an explicit restore commits them.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0036,requirement,CAN-LAM-ASSET-139,acceptance_criteria,Backup,Legitimate future product backup feature,"ACCEPT::Backup copies are recovery artifacts, not managed gallery assets. They must be excluded from scanning, smart views, duplicate counts, and the single-authoritative-location rule until an explicit restore commits them.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0037,requirement,CAN-LAM-ASSET-173,title,backup,Superseded,Rewriting media without backup,Inactive source trace; it cannot instruct implementation.
BAR-0038,requirement,CAN-LAM-ASSET-173,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Rewriting media without backup.,Inactive source trace; it cannot instruct implementation.
BAR-0039,requirement,CAN-LAM-ASSET-173,source_text,backup,Superseded,Rewriting media without backup,Inactive source trace; it cannot instruct implementation.
BAR-0040,requirement,CAN-LAM-BACKUP-001,title,Backup,Superseded,Backup,Inactive source trace; it cannot instruct implementation.
BAR-0041,requirement,CAN-LAM-BACKUP-001,statement,Backup,Superseded,The final Lamha desktop runtime must not retain or require Backup.,Inactive source trace; it cannot instruct implementation.
BAR-0042,requirement,CAN-LAM-BACKUP-001,source_text,Backup,Superseded,Backup,Inactive source trace; it cannot instruct implementation.
BAR-0043,requirement,CAN-LAM-BACKUP-004,title,Backup,Legitimate future product backup feature,Backup manifests,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0044,requirement,CAN-LAM-BACKUP-004,statement,Backup,Legitimate future product backup feature,"When the 2.4 Transparent and recoverable metadata workflow reads or changes Backup manifests, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0045,requirement,CAN-LAM-BACKUP-004,source_text,Backup,Legitimate future product backup feature,Backup manifests,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0046,requirement,CAN-LAM-BACKUP-006,title,Backup,Superseded,Backup actions,Inactive source trace; it cannot instruct implementation.
BAR-0047,requirement,CAN-LAM-BACKUP-006,statement,Backup,Superseded,The final Lamha desktop runtime must not retain or require Backup actions.,Inactive source trace; it cannot instruct implementation.
BAR-0048,requirement,CAN-LAM-BACKUP-006,source_text,Backup,Superseded,Backup actions,Inactive source trace; it cannot instruct implementation.
BAR-0049,requirement,CAN-LAM-BACKUP-008,title,backup,Superseded,Mobile backup infrastructure,Inactive source trace; it cannot instruct implementation.
BAR-0050,requirement,CAN-LAM-BACKUP-008,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Mobile backup infrastructure.,Inactive source trace; it cannot instruct implementation.
BAR-0051,requirement,CAN-LAM-BACKUP-008,source_text,backup,Superseded,Mobile backup infrastructure,Inactive source trace; it cannot instruct implementation.
BAR-0052,requirement,CAN-LAM-BACKUP-009,statement,backup,Superseded,"Recorded evidence must demonstrate: Phase 16: Final cleanup removes remaining obsolete server, Docker, PostgreSQL, Redis, auth, sharing, mobile-backup, administration, dependency, generated-client, environment, documentation, and runtime-launch remnants, then performs repository-wide scans and packaging proof. It does not postpone already safe removals merely because of phase numbering.",Inactive source trace; it cannot instruct implementation.
BAR-0053,requirement,CAN-LAM-BACKUP-009,source_text,backup,Superseded,"Phase 16: Final cleanup removes remaining obsolete server, Docker, PostgreSQL, Redis, auth, sharing, mobile-backup, administration, dependency, generated-client, environment, documentation, and runtime-launch remnants, then performs repository-wide scans and packaging proof. It does not postpone already safe removals merely because of phase numbering.",Inactive source trace; it cannot instruct implementation.
BAR-0054,requirement,CAN-LAM-BACKUP-010,title,backup,Superseded,Server database backups as the only backup method,Inactive source trace; it cannot instruct implementation.
BAR-0055,requirement,CAN-LAM-BACKUP-010,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Server database backups as the only backup method.,Inactive source trace; it cannot instruct implementation.
BAR-0056,requirement,CAN-LAM-BACKUP-010,source_text,backup,Superseded,Server database backups as the only backup method,Inactive source trace; it cannot instruct implementation.
BAR-0057,requirement,CAN-LAM-BACKUP-011,title,backup,Superseded,Delete the Immich server-side mobile backup product,Inactive source trace; it cannot instruct implementation.
BAR-0058,requirement,CAN-LAM-BACKUP-011,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Delete the Immich server-side mobile backup product.,Inactive source trace; it cannot instruct implementation.
BAR-0059,requirement,CAN-LAM-BACKUP-011,source_text,backup,Superseded,Delete the Immich server-side mobile backup product:,Inactive source trace; it cannot instruct implementation.
BAR-0060,requirement,CAN-LAM-BACKUP-012,title,backup,Superseded,Mobile backup endpoints,Inactive source trace; it cannot instruct implementation.
BAR-0061,requirement,CAN-LAM-BACKUP-012,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Mobile backup endpoints.,Inactive source trace; it cannot instruct implementation.
BAR-0062,requirement,CAN-LAM-BACKUP-012,source_text,backup,Superseded,Mobile backup endpoints,Inactive source trace; it cannot instruct implementation.
BAR-0063,requirement,CAN-LAM-BACKUP-013,title,backup,Superseded,Remote camera roll backup,Inactive source trace; it cannot instruct implementation.
BAR-0064,requirement,CAN-LAM-BACKUP-013,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Remote camera roll backup.,Inactive source trace; it cannot instruct implementation.
BAR-0065,requirement,CAN-LAM-BACKUP-013,source_text,backup,Superseded,Remote camera roll backup,Inactive source trace; it cannot instruct implementation.
BAR-0066,requirement,CAN-LAM-BACKUP-014,title,backup,Superseded,Mobile backup status pages,Inactive source trace; it cannot instruct implementation.
BAR-0067,requirement,CAN-LAM-BACKUP-014,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Mobile backup status pages.,Inactive source trace; it cannot instruct implementation.
BAR-0068,requirement,CAN-LAM-BACKUP-014,source_text,backup,Superseded,Mobile backup status pages,Inactive source trace; it cannot instruct implementation.
BAR-0069,requirement,CAN-LAM-BACKUP-015,title,backup,Superseded,Server notifications for mobile backup,Inactive source trace; it cannot instruct implementation.
BAR-0070,requirement,CAN-LAM-BACKUP-015,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Server notifications for mobile backup.,Inactive source trace; it cannot instruct implementation.
BAR-0071,requirement,CAN-LAM-BACKUP-015,source_text,backup,Superseded,Server notifications for mobile backup,Inactive source trace; it cannot instruct implementation.
BAR-0072,requirement,CAN-LAM-BACKUP-016,title,Backup,Superseded,Backup state,Inactive source trace; it cannot instruct implementation.
BAR-0073,requirement,CAN-LAM-BACKUP-016,statement,Backup,Superseded,The final Lamha desktop runtime must not retain or require Backup state.,Inactive source trace; it cannot instruct implementation.
BAR-0074,requirement,CAN-LAM-BACKUP-016,source_text,Backup,Superseded,Backup state,Inactive source trace; it cannot instruct implementation.
BAR-0075,requirement,CAN-LAM-BACKUP-017,title,backup,Superseded,Cloud backup,Inactive source trace; it cannot instruct implementation.
BAR-0076,requirement,CAN-LAM-BACKUP-017,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Cloud backup.,Inactive source trace; it cannot instruct implementation.
BAR-0077,requirement,CAN-LAM-BACKUP-017,source_text,backup,Superseded,Cloud backup,Inactive source trace; it cannot instruct implementation.
BAR-0078,requirement,CAN-LAM-BACKUP-018,title,backup,Superseded,Mobile backup,Inactive source trace; it cannot instruct implementation.
BAR-0079,requirement,CAN-LAM-BACKUP-018,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require Mobile backup.,Inactive source trace; it cannot instruct implementation.
BAR-0080,requirement,CAN-LAM-BACKUP-018,source_text,backup,Superseded,Mobile backup,Inactive source trace; it cannot instruct implementation.
BAR-0081,requirement,CAN-LAM-BACKUP-019,title,backup,Superseded,Dead mobile-backup modules,Inactive source trace; it cannot instruct implementation.
BAR-0082,requirement,CAN-LAM-BACKUP-019,statement,backup,Superseded,The final Lamha desktop runtime must not retain or require dead mobile-backup modules.,Inactive source trace; it cannot instruct implementation.
BAR-0083,requirement,CAN-LAM-BACKUP-019,source_text,backup,Superseded,Dead mobile-backup modules,Inactive source trace; it cannot instruct implementation.
BAR-0084,requirement,CAN-LAM-BACKUP-019,acceptance_criteria,backup,Superseded,ACCEPT::Implementation must honor this constraint: Dead mobile-backup modules.,Inactive source trace; it cannot instruct implementation.
BAR-0085,requirement,CAN-LAM-BACKUP-020,title,backup,Legitimate future product backup feature,Global backup,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0086,requirement,CAN-LAM-BACKUP-020,statement,backup,Legitimate future product backup feature,"When Global backup participates in Phase 13 — Backup, Trash & Rebuild, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0087,requirement,CAN-LAM-BACKUP-020,statement,Backup,Legitimate future product backup feature,"When Global backup participates in Phase 13 — Backup, Trash & Rebuild, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0088,requirement,CAN-LAM-BACKUP-020,source_text,backup,Legitimate future product backup feature,Global backup,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0089,requirement,CAN-LAM-BACKUP-020,acceptance_criteria,backup,Legitimate future product backup feature,ACCEPT::Implementation must honor this constraint: Global backup.,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0090,requirement,CAN-LAM-BACKUP-021,statement,Backup,Legitimate future product backup feature,"When Index rebuild participates in Phase 13 — Backup, Trash & Rebuild, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0091,requirement,CAN-LAM-BACKUP-022,title,backup,Superseded,"Remove remaining auth, sharing, mobile-backup, and administration remnants",Inactive source trace; it cannot instruct implementation.
BAR-0092,requirement,CAN-LAM-BACKUP-022,statement,backup,Superseded,"Recorded evidence must demonstrate: Remove remaining auth, sharing, mobile-backup, and administration remnants.",Inactive source trace; it cannot instruct implementation.
BAR-0093,requirement,CAN-LAM-BACKUP-022,source_text,backup,Superseded,"Remove remaining auth, sharing, mobile-backup, and administration remnants",Inactive source trace; it cannot instruct implementation.
BAR-0094,requirement,CAN-LAM-BACKUP-024,title,backup,Legitimate future product backup feature,backup/ and .app-data/ are excluded from the gallery,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0095,requirement,CAN-LAM-BACKUP-024,statement,backup,Legitimate future product backup feature,"When the user uses backup/ and .app-data/ are excluded from the gallery in 24.4 Safety proofs, the interface must expose the resulting selection, position, or view state from local data, remain keyboard-operable, and retain the prior stable view if loading fails.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0096,requirement,CAN-LAM-BACKUP-024,source_text,backup,Legitimate future product backup feature,.backup/ and .app-data/ are excluded from the gallery.,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0097,requirement,CAN-LAM-BACKUP-024,acceptance_criteria,backup,Legitimate future product backup feature,ACCEPT::Lamha must provide backup/ and .app-data/ are excluded from the gallery.,"Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0098,requirement,CAN-LAM-BACKUP-025,title,Backup,Superseded,Backup works,Inactive source trace; it cannot instruct implementation.
BAR-0099,requirement,CAN-LAM-BACKUP-025,statement,Backup,Superseded,Recorded evidence must demonstrate: Backup works.,Inactive source trace; it cannot instruct implementation.
BAR-0100,requirement,CAN-LAM-BACKUP-025,source_text,Backup,Superseded,Backup works.,Inactive source trace; it cannot instruct implementation.
BAR-0101,requirement,CAN-LAM-EVENT-085,statement,Backup,Legitimate future product backup feature,"When Event backups participates in Phase 13 — Backup, Trash & Rebuild, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0102,requirement,CAN-LAM-FOLDER-005,statement,backup,Legitimate future product backup feature,"Authorized Path Set: Library Roots, Lamha-owned OS application-data/cache paths, Lamha-created root-scoped backup/Trash/staging paths, and individual import/export destinations explicitly selected by the user. Lamha must not recursively scan or mutate any other path.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0103,requirement,CAN-LAM-FOLDER-005,source_text,backup,Legitimate future product backup feature,"Authorized Path Set: Library Roots, Lamha-owned OS application-data/cache paths, Lamha-created root-scoped backup/Trash/staging paths, and individual import/export destinations explicitly selected by the user. Lamha must not recursively scan or mutate any other path.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
