Canonical ID,Source text,Final statement,Current capability,Current phase,Corrected capability,Corrected phase,Reason,Evidence,Review status
CAN-LAM-AI-033,Model version,"When an AI task is recorded, Lamha must store the model version with the task record and mark dependent output stale when the version changes.",Local AI worker,I10,Local AI worker,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=22.3 Processing state; parent=CAN-SECTION-0021,REVIEWED_CONFIRMED
CAN-LAM-AI-039,Similar-photo candidates,"When similar-photo candidates are produced, Lamha must create reviewable candidates with evidence and stable asset identities and must not remove or merge files before confirmation.",Duplicates,I10,Duplicates,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=25. Duplicate Management; parent=CAN-SECTION-0022,REVIEWED_CONFIRMED
CAN-LAM-AI-042,AI tags,"When face and AI privacy controls run, Lamha must let the user delete AI tags from the derived projections and rebuild them from versioned records without changing the original assets.",Metadata,I8,Metadata,I8,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=30.4 Face and AI privacy; parent=CAN-SECTION-0023,REVIEWED_CONFIRMED
CAN-LAM-AI-043,Suppression rules,Suppression rules must persist the reviewed rule and exclude matching future proposals from review queues.,Review Centre,I5,Review Centre,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=originals; parent=CAN-SECTION-0024,REVIEWED_CONFIRMED
CAN-LAM-AI-044,OCR indexes,OCR indexes must be rebuildable from versioned OCR records and search must report stale or unavailable index data.,Search and OCR,I10,Search and OCR,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=originals; parent=CAN-SECTION-0025,REVIEWED_CONFIRMED
CAN-LAM-AI-046,Proven local AI logic where adaptable,"Where proven local AI logic can be adapted, Lamha must reuse the reviewed local implementation rather than introduce a new worker task; the adapted path must pass the same provenance and failure gates.",Local AI worker,I10,Local AI worker,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=36. Target Local Architecture We Are Keeping; parent=CAN-SECTION-0026,REVIEWED_CONFIRMED
CAN-LAM-AI-048,AI model licences,"AI model licences must be inventoried with attribution, redistribution review, and model provenance, and the release gate must block when any model licence is unresolved; this is a legal-inventory obligation, not an inference task.",Legal and rebranding,I1,Legal and rebranding,I1,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=39. Required Legal and Attribution Material We Are Keeping; parent=CAN-SECTION-0027,REVIEWED_CONFIRMED
CAN-LAM-AI-076,Suppression,Suppression must persist the reviewed suppression and exclude matching future proposals from review queues.,Relationships and attribution,I8,Relationships and attribution,I8,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.","Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=Phase 8 — Tags, Relationships, Smart Views & Attribution; parent=none",REVIEWED_CONFIRMED
CAN-LAM-AI-081,AI cache rebuild,AI cache rebuild must regenerate the rebuildable AI projections from versioned records without losing user decisions.,"Backup, trash, restore and rebuild",I13,"Backup, trash, restore and rebuild",I13,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.","Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=Phase 13 — Backup, Trash & Rebuild; parent=none",REVIEWED_CONFIRMED
CAN-LAM-AI-082,Bundled AI,"Bundled AI components must have pinned versions, licence and provenance records, and packaging evidence before release.",Packaging and legacy eradication,I15,Packaging and legacy eradication,I15,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.","Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=Phase 15 — Full Integration, Parity & Cross-Platform Packaging; parent=none",REVIEWED_CONFIRMED
CAN-LAM-AI-085,AI resource use,"When AI resource use is measured, Lamha must record CPU, RAM, GPU memory, and disk usage for each worker task and report results with the hardware profile.",Local AI worker,I10,Local AI worker,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=26. Risk Management; parent=CAN-SECTION-0028,REVIEWED_CONFIRMED
CAN-LAM-AI-086,Third-party models,"When third-party models are considered for bundling, Lamha must record licence, attribution, and redistribution review and block release if any model is unresolved.",Legal and rebranding,I1,Legal and rebranding,I1,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=26. Risk Management; parent=CAN-SECTION-0028,REVIEWED_CONFIRMED
CAN-LAM-AI-087,Models,"When models are considered for bundling, Lamha must maintain a model inventory with licence, attribution, redistribution, and provenance review and block release while any model is unresolved.",Legal and rebranding,I1,Legal and rebranding,I1,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=27. Legal and Rebranding Method; parent=CAN-SECTION-0029,REVIEWED_CONFIRMED
CAN-LAM-ARCH-001,Application name: Lamha,The application must use the reviewed name Lamha consistently on every user-visible surface and the release gate must fail if any surface disagrees.,Legal and rebranding,I1,Legal and rebranding,I1,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=Authoritative Master Plan File 1 of 3; parent=CAN-SECTION-0030,REVIEWED_CONFIRMED
CAN-LAM-ARCH-021,Preserve the original value.,A filesystem transaction must preserve the original value of every managed file or record until commit; any failed or interrupted write must leave the prior value recoverable.,Filesystem transactions and recovery,I3,Filesystem transactions and recovery,I3,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.3 Directional Source-of-Truth & Authority Matrix; parent=none,REVIEWED_CONFIRMED
CAN-LAM-ARCH-024,Similar-image detection,"When similar-image detection runs locally, Lamha must produce reviewable duplicate candidates with evidence and stable asset identities and must not remove or merge files before confirmation.",Duplicates,I10,Duplicates,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.1 Local-first operation; parent=CAN-SECTION-0031,REVIEWED_CONFIRMED
CAN-LAM-ARCH-025,Tags,"When a local workflow proposes or changes a tag, Lamha must persist a namespaced, revisioned candidate or approved assignment, expose the decision state for review, and preserve the prior assignment if validation or storage fails.",Tag candidates and review,I8,Tag candidates and review,I8,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[LABEL_ONLY]; section=2.1 Local-first operation; parent=CAN-SECTION-0032,REVIEWED_CONFIRMED
CAN-LAM-ARCH-026,Mind maps,"When a mind-map projection is requested, Lamha must derive the map from canonical event and relationship records and show its source without changing those records.",Mind-map projections,I9,Mind-map projections,I9,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.1 Local-first operation; parent=CAN-SECTION-0033,REVIEWED_CONFIRMED
CAN-LAM-ARCH-027,Albums,"When a user changes album membership or favorite state, Lamha must persist the affected asset relationship with a new revision, update the local view, and preserve the prior relationship if the authoritative write fails.",Albums and favorites,I5,Albums and favorites,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[LABEL_ONLY]; section=2.1 Local-first operation; parent=CAN-SECTION-0034,REVIEWED_CONFIRMED
CAN-LAM-ARCH-028,Favorites,"When the user opens or filters favorites, Lamha must show the favorited assets from local data, keep the view keyboard-operable, and retain the prior stable view if loading fails.",Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.1 Local-first operation; parent=CAN-SECTION-0035,REVIEWED_CONFIRMED
CAN-LAM-ARCH-029,Memories,"When the Memories feature is shown, Lamha must derive each memory from local canonical asset references, show a reproducible result, and omit unavailable assets without changing their records.",Memories,I5,Memories,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.1 Local-first operation; parent=CAN-SECTION-0036,REVIEWED_CONFIRMED
CAN-LAM-ARCH-030,Review queues,"When AI review queues change, Lamha must expose a typed operation or notification state with progress and recovery information and must not report success for a failed or partially committed operation.",Jobs and notifications,I10,Jobs and notifications,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.1 Local-first operation; parent=CAN-SECTION-0037,REVIEWED_CONFIRMED
CAN-LAM-ARCH-034,Map results,"When map results are requested, Lamha must derive them from canonical location records and show source and confidence where applicable without changing the records.",Map and location,I5,Map and location,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.2 Single physical media copy; parent=CAN-SECTION-0038,REVIEWED_CONFIRMED
CAN-LAM-ARCH-036,Several locations,"When event organization spans several locations, Lamha must keep the event unified and record the reviewed location set without creating separate events from locations alone.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.3 Event-first physical organization; parent=CAN-SECTION-0039,REVIEWED_CONFIRMED
CAN-LAM-ARCH-037,Several days of activity,"When event organization spans several days of activity, Lamha must keep the event unified under its approved start date and only split after explicit user confirmation.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.3 Event-first physical organization; parent=CAN-SECTION-0040,REVIEWED_CONFIRMED
CAN-LAM-ARCH-038,Tag records,"When tag records are written, Lamha must persist schema-valid tag records with namespaces and revisions in the authoritative JSON sidecar.",Sidecars and metadata authority,I3,Sidecars and metadata authority,I3,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.4 Transparent and recoverable metadata; parent=CAN-SECTION-0041,REVIEWED_CONFIRMED
CAN-LAM-ARCH-039,Suggest content tags,"When content-tag suggestions are generated, Lamha must produce reviewable candidates with source provenance and require approval before application.",Tags,I8,Tags,I8,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.5 Review before final acceptance; parent=CAN-SECTION-0042,REVIEWED_CONFIRMED
CAN-LAM-ARCH-040,Find similar images,"When similar-image search runs, Lamha must produce reviewable candidates with evidence and stable identities and must not merge or delete files before confirmation.",Duplicates,I10,Duplicates,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.5 Review before final acceptance; parent=CAN-SECTION-0043,REVIEWED_CONFIRMED
CAN-LAM-ARCH-041,Suggest locations,"When location suggestions are generated, Lamha must propose reviewable location candidates from local evidence and keep the authoritative location unchanged until approved.",Map and location,I5,Map and location,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.5 Review before final acceptance; parent=CAN-SECTION-0044,REVIEWED_CONFIRMED
CAN-LAM-ARCH-042,Preview before rename,"Before any rename is committed, Lamha must show a preview of the new name and its effects and require explicit approval; the original name must be preserved in history.",Editing,I11,Editing,I11,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.6 Non-destructive defaults; parent=none,REVIEWED_CONFIRMED
CAN-LAM-ARCH-043,Preview before move,"Before any move is committed, Lamha must show a preview of the destination path and effects and require explicit approval; unlisted paths must remain unchanged.",Editing,I11,Editing,I11,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.6 Non-destructive defaults; parent=none,REVIEWED_CONFIRMED
CAN-LAM-ARCH-044,Preview before merge,"Before an event merge is committed, Lamha must show a preview of the merged event and its membership and filesystem effects and require explicit approval.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.6 Non-destructive defaults; parent=CAN-SECTION-0045,REVIEWED_CONFIRMED
CAN-LAM-ARCH-045,Preview before split,"Before an event split is committed, Lamha must show a preview of the resulting events and membership and require explicit approval.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.6 Non-destructive defaults; parent=CAN-SECTION-0045,REVIEWED_CONFIRMED
CAN-LAM-ARCH-048,Sidecar-generation preview and reviewed creation,"Before sidecars are created in Manage Later, Lamha must preview the sidecars to generate and create them only after reviewed confirmation.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0046,REVIEWED_CONFIRMED
CAN-LAM-ARCH-049,Tag review,"When tag suggestions are reviewed in Manage Later, Lamha must present each suggestion with source provenance and apply only approved tags.",Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-050,Multi-select,Manage Later must support multi-select so the user can apply one reviewed action to exactly the selected assets.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-051,Bulk rename preview,Bulk rename in Manage Later must preview every proposed name and commit only after approval while preserving original filenames.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-052,Bulk move preview,Bulk move in Manage Later must preview every destination and commit only after approval while leaving unlisted paths unchanged.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-053,Merge and split planning,Merge and split planning in Manage Later must preview the resulting events and membership and commit only after explicit confirmation.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-054,Unknown-date handling,Unknown-date handling in Manage Later must keep assets under the Unknown Date layout and must not invent a calendar date from suggestions.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-055,Missing-sidecar review,Missing-sidecar review in Manage Later must list the missing sidecars with the affected assets and create a review item without fabricating values.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0046,REVIEWED_CONFIRMED
CAN-LAM-ARCH-056,Inconsistency warnings,Inconsistency warnings in Manage Later must show the conflicting values and sources and change nothing until a review decision.,Events and organization,I6,Events and organization,I6,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=4. Manage Later; parent=CAN-SECTION-0047,REVIEWED_CONFIRMED
CAN-LAM-ARCH-057,Renamed,"When Lamha renames a managed asset, it must update the authorized current path through a journaled filesystem plan while preserving the original filename, stable asset identity, companion links, and original bytes.",File-operation plan contract,I3,File-operation plan contract,I3,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[LABEL_ONLY]; section=5. Asset Bundle Standard; parent=CAN-SECTION-0048,REVIEWED_CONFIRMED
CAN-LAM-ARCH-058,Moved,"When Lamha moves a managed asset, it must execute a validated journaled plan that preserves stable identity, original filename, companion links, metadata sidecars, and source bytes until destination verification succeeds.",File-operation plan contract,I3,File-operation plan contract,I3,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[LABEL_ONLY]; section=5. Asset Bundle Standard; parent=CAN-SECTION-0048,REVIEWED_CONFIRMED
CAN-LAM-ARCH-061,Smooth date scrolling,Smooth date scrolling must move the timeline by date from local records and preserve the prior position when loading fails.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-062,Date jump controls,Date jump controls must move the timeline to the selected date from local records and remain keyboard-operable.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-063,Adjustable grid size,Adjustable grid size must change the gallery grid density from local data and retain the user's setting.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-064,Fast thumbnail loading,Fast thumbnail loading must render thumbnails from the local cache within the reviewed budget and fall back to a typed state when unavailable.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-065,Multi-selection,Multi-selection must let the user select multiple assets and apply an action to exactly the selected set.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-066,Keyboard navigation,Keyboard navigation must reach every gallery action and move focus predictably without a pointer.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-067,Review indicators,Review indicators must show the reviewed state of each asset in the gallery without altering the underlying records.,Gallery and timeline,I5,Gallery and timeline,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=6. Gallery and Timeline; parent=CAN-SECTION-0049,REVIEWED_CONFIRMED
CAN-LAM-ARCH-069,Play and pause,The viewer must support play and pause for videos from the local source and report typed errors when playback is unavailable.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-070,Timeline scrubbing,Timeline scrubbing must seek the video from the local source and keep the frame display current.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-071,Previous and next navigation,Previous and next navigation must move between assets from local records and remain keyboard-operable.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-072,Zoom,Zoom must scale the displayed asset and must never modify the original file.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-073,Pan,Pan must move the visible region of the displayed asset and must never modify the original file.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-074,Rotation,Rotation must rotate the displayed asset and must never modify the original file.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-075,Orientation correction,Orientation correction must apply the reviewed orientation to the display and must never modify the original file.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
CAN-LAM-ARCH-076,GIF playback,GIF playback must animate the local file and return a typed error when the format is unsupported.,Asset viewer,I5,Asset viewer,I5,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=7. Asset Viewer; parent=CAN-SECTION-0050,REVIEWED_CONFIRMED
