canonical_id,work_package_id,membership_rationale,capability_compatibility,requirement_phase,package_phase,review_status,evidence
CAN-FAIL-11,WP-I6-009,"WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Automated event organization and duplicate workflows must index linked-folder assets in pl'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.",Event filesystem materialization plan,I6,I6,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-12,WP-I8-007,WP-I8-007 is the architectural owner because its objective — Implement and verify the bounded photographer camera-owner importer attribution surface. — is the surface that must execute the obligation 'Lamha must store camera owner and photographer as distinct attribution fields and must nev'; prerequisite packages WP-I7-004 supply the underlying schema/identity/journal it needs.,Photographer camera-owner importer attribution,I8,I8,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-13,WP-I6-002,"WP-I6-002 is the architectural owner because its objective — Persist reviewed event types, parent/child membership, attendees, groups, tags, descriptions, covers, locations, schema validation, JSON/XMP alignment, and AI-d — is the surface that must execute the obligation 'Event attendee membership and asset-visible-person membership must remain separate authori'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",Event authoritative records,I6,I6,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-14,WP-I7-008,"WP-I7-008 is the architectural owner because its objective — Persist complete group membership models with active/former/inactive effective-dated intervals, historical immutability, and overlap validation. — is the surface that must execute the obligation 'Ending a group membership must close its active temporal interval at the approved effectiv'; prerequisite packages WP-I7-007 supply the underlying schema/identity/journal it needs.",Temporal group memberships,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-15,WP-I7-007,WP-I7-007 is the architectural owner because its objective — Implement and verify the bounded group identity model surface. — is the surface that must execute the obligation 'Lamha must preserve stable parent-group relationships and must reject any update that woul'; prerequisite packages WP-I7-004 supply the underlying schema/identity/journal it needs.,Group identity model,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-16,WP-I12-005,"WP-I12-005 is the architectural owner because its objective — Implement and verify the bounded pending sidecar overlays surface. — is the surface that must execute the obligation 'When a root is read-only, Lamha must record the proposed change as a versioned pending ove'; prerequisite packages WP-I12-004 supply the underlying schema/identity/journal it needs.",Pending sidecar overlays,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-17,WP-I6-008,"WP-I6-008 is the architectural owner because its objective — Implement and verify the bounded date and location boundaries surface. — is the surface that must execute the obligation 'Midnight and time-gap heuristics may create an event-split proposal, but Lamha must preser'; prerequisite packages WP-I6-002 supply the underlying schema/identity/journal it needs.",Date and location boundaries,I6,I6,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-18,WP-I10-013,WP-I10-013 is the architectural owner because its objective — Implement and verify the bounded ai review suppression and invalidation surface. — is the surface that must execute the obligation 'Lamha must suppress an equivalent rejected candidate across routine reruns and score drift'; prerequisite packages WP-I5-010 supply the underlying schema/identity/journal it needs.,AI review suppression and invalidation,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-19,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'A requirement may be marked complete only when every applicable gate has recorded command '; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-20,WP-I3-014,"WP-I3-014 is the architectural owner because its objective — Implement and verify the bounded crash recovery engine surface. — is the surface that must execute the obligation 'Before a multi-file mutation, Lamha must durably prepare a transaction manifest, stage and'; prerequisite packages WP-I3-010 supply the underlying schema/identity/journal it needs.",Crash recovery engine,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-21,WP-I12-008,WP-I12-008 is the architectural owner because its objective — Implement and verify the bounded cross-platform path adapters surface. — is the surface that must execute the obligation 'Filesystem code must use OS-native path APIs and authorized root identities; it must not e'; prerequisite packages WP-I3-004 supply the underlying schema/identity/journal it needs.,Cross-platform path adapters,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-22,WP-I15-014,"WP-I15-014 is the architectural owner because its objective — Verify final packages make no hidden or mandatory outbound network connection and operate locally without required cloud/remote services. — is the surface that must execute the obligation 'The final Lamha desktop runtime must operate locally without required cloud, remote synchr'; prerequisite packages WP-I0-010, WP-I7-010 supply the underlying schema/identity/journal it needs.",Final outbound-traffic verification,I15,I15,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-23,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'An implementation package must either complete its authorized work and evidence or record '; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-24,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'When required evidence is ambiguous, the implementation agent must preserve the known fact'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-25,WP-I8-006,WP-I8-006 is the architectural owner because its objective — Implement and verify the bounded relationship projections and views surface. — is the surface that must execute the obligation 'Lamha must preserve multiple simultaneous and historical relationship edges with independe'; prerequisite packages WP-I8-005 supply the underlying schema/identity/journal it needs.,Relationship projections and views,I8,I8,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-26,WP-I11-004,"WP-I11-004 is the architectural owner because its objective — Persist revisioned crop/rotate/color edit recipes and metadata mirrors, preview changes, preserve original media bytes, and only materialize edited copies throu — is the surface that must execute the obligation 'Crop, rotation, and color edits must update a versioned edit recipe and compatible metadat'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",Non-destructive edit recipes,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-27,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Lamha planning and generated semantic evidence must remain inside Graphify, application di'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-28,WP-I11-001,"WP-I11-001 is the architectural owner because its objective — Implement and verify the bounded authority-aware metadata editor surface. — is the surface that must execute the obligation 'When authoritative records, embedded metadata, XMP mirrors, or pending overlays disagree, '; prerequisite packages WP-I3-006, WP-I3-011 supply the underlying schema/identity/journal it needs.",Authority-aware metadata editor,I11,I11,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-29,WP-I10-007,"WP-I10-007 is the architectural owner because its objective — Implement and verify the bounded ai task queue persistence surface. — is the surface that must execute the obligation 'Lamha must persist AI state per task with task type, state, model identity and version, mo'; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.",AI task queue persistence,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-30,WP-I9-007,"WP-I9-007 is the architectural owner because its objective — Preview mind-map nodes, edges, and filesystem effects, require explicit approval, and commit materialization only through a validated filesystem plan. — is the surface that must execute the obligation 'Unsaved and saved Mind Map drafts must not mutate media folders; physical materialization '; prerequisite packages WP-I3-011 supply the underlying schema/identity/journal it needs.",Simulation and materialization,I9,I9,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-31,WP-I13-006,"WP-I13-006 is the architectural owner because its objective — Move complete asset bundles into a reversible trash state through reviewed plans, preserve event/tag references and original paths, and require explicit confirm — is the surface that must execute the obligation 'Moving a bundle to Trash must preserve the complete bundle in the reviewed root-scoped or '; prerequisite packages WP-I3-010, WP-I3-011, WP-I3-012 supply the underlying schema/identity/journal it needs.",Trash and permanent-delete operations,I13,I13,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-32,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'After a package and phase satisfy every applicable gate and record their evidence, executi'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-006,WP-I3-009,"WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'The SQLite AI projection must remain rebuildable from versioned AI task, candidate, decisi'; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.",Sidecars and metadata authority,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-014,WP-I10-009,"WP-I10-009 is the architectural owner because its objective — Implement and verify the bounded local ocr surface. — is the surface that must execute the obligation 'When Lamha indexes OCR text, it must store the recognized text with asset identity, source'; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",Local OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-017,WP-I10-009,"WP-I10-009 is the architectural owner because its objective — Implement and verify the bounded local ocr surface. — is the surface that must execute the obligation 'When OCR text detection runs, Lamha must store recognized text with asset identity, source'; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",Search and OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-018,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate candidates are found, Lamha must create reviewable candidates with evidence'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-020,WP-I4-011,"WP-I4-011 is the architectural owner because its objective — Implement and verify the bounded filesystem reconciliation surface. — is the surface that must execute the obligation 'Scanning Manage Later is non-mutating by default. No rename, move, folder normalization, o'; prerequisite packages WP-I4-002 supply the underlying schema/identity/journal it needs.",Media ingestion and derivation,I4,I4,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-022,WP-I7-001,"WP-I7-001 is the architectural owner because its objective — Run face detection locally, produce reviewable face regions with model/source provenance, support targeted reprocessing, correction scoping, and misclassificati — is the surface that must execute the obligation 'Correcting a face must update only affected assets and derived metadata unless the underly'; prerequisite packages WP-I10-001, WP-I10-003 supply the underlying schema/identity/journal it needs.",People and faces,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-023,WP-I7-008,"WP-I7-008 is the architectural owner because its objective — Persist complete group membership models with active/former/inactive effective-dated intervals, historical immutability, and overlap validation. — is the surface that must execute the obligation 'Lamha must keep a complete group model that records active, former, and inactive members w'; prerequisite packages WP-I7-007 supply the underlying schema/identity/journal it needs.",People and faces,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-027,WP-I3-009,WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'AI embeddings and the local cache/index are rebuildable projections; they must be rebuilda'; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.,Local data authority,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-028,WP-I10-002,"WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'When AI status is inspected, Lamha must report the worker state, model identity and versio'; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.",Local AI worker,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-029,WP-I10-010,"WP-I10-010 is the architectural owner because its objective — Implement and verify the bounded embeddings and semantic search surface. — is the surface that must execute the obligation 'When a query includes AI state, Lamha must return the matching local assets with source an'; prerequisite packages WP-I10-001, WP-I10-003 supply the underlying schema/identity/journal it needs.",Search and OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-030,WP-I10-009,"WP-I10-009 is the architectural owner because its objective — Implement and verify the bounded local ocr surface. — is the surface that must execute the obligation 'When a query filters by OCR text, Lamha must return matching local assets whose OCR record'; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",Search and OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-031,WP-I10-006,"WP-I10-006 is the architectural owner because its objective — Implement and verify the bounded local ai scheduler surface. — is the surface that must execute the obligation 'When AI review queues change, Lamha must expose a typed queue state with progress and reco'; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.",Jobs and notifications,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-032,WP-I10-003,"WP-I10-003 is the architectural owner because its objective — Implement and verify the bounded model and component registry surface. — is the surface that must execute the obligation 'When an AI task is recorded, Lamha must store the model identity with the task record and '; prerequisite packages WP-I0-005 supply the underlying schema/identity/journal it needs.",Local AI worker,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-033,WP-I10-004,"WP-I10-004 is the architectural owner because its objective — Implement and verify the bounded model checksums and compatibility surface. — is the surface that must execute the obligation 'When an AI task is recorded, Lamha must store the model version with the task record and m'; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",Local AI worker,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-035,WP-I10-009,"WP-I10-009 is the architectural owner because its objective — Implement and verify the bounded local ocr surface. — is the surface that must execute the obligation 'AI Derived Data: Hashes, embeddings, OCR indexes, face embeddings, and similarity vectors '; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.",Search and OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-039,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When similar-photo candidates are produced, Lamha must create reviewable candidates with e'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-042,WP-I8-001,"WP-I8-001 is the architectural owner because its objective — Implement and verify the bounded tag records and namespaces surface. — is the surface that must execute the obligation 'When face and AI privacy controls run, Lamha must let the user delete AI tags from the der'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.",Metadata,I8,I8,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-043,WP-I5-010,"WP-I5-010 is the architectural owner because its objective — Commit and persist review-state transitions (approve, reject, suppress, defer, mark intentional, record decision, apply to selection) with provenance and revisi — is the surface that must execute the obligation 'Suppression rules must persist the reviewed rule and exclude matching future proposals fro'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.",Review Centre,I5,I5,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-044,WP-I10-009,WP-I10-009 is the architectural owner because its objective — Implement and verify the bounded local ocr surface. — is the surface that must execute the obligation 'OCR indexes must be rebuildable from versioned OCR records and search must report stale or'; prerequisite packages WP-I10-003 supply the underlying schema/identity/journal it needs.,Search and OCR,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-045,WP-I3-002,WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'Only a stable asset UUID carried by a trustworthy sidecar or a verified full-file hash may'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.,Asset identity and records,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-046,WP-I10-002,"WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'Where proven local AI logic can be adapted, Lamha must reuse the reviewed local implementa'; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.",Local AI worker,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-048,WP-I1-005,"WP-I1-005 is the architectural owner because its objective — Inventory and persist licence, attribution, redistribution, model-provenance, and required legal-file obligations; block release until every required notice is  — is the surface that must execute the obligation 'AI model licences must be inventoried with attribution, redistribution review, and model p'; prerequisite packages WP-I1-001 supply the underlying schema/identity/journal it needs.",Legal and rebranding,I1,I1,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-076,WP-I8-002,"WP-I8-002 is the architectural owner because its objective — Persist namespaced/revisioned tag candidates and approved assignments, generate content-tag suggestions with provenance, enforce review-first activation, and pe — is the surface that must execute the obligation 'Suppression must persist the reviewed suppression and exclude matching future proposals fr'; prerequisite packages WP-I8-001 supply the underlying schema/identity/journal it needs.",Relationships and attribution,I8,I8,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-081,WP-I13-010,"WP-I13-010 is the architectural owner because its objective — Implement and verify the bounded ai cache rebuild surface. — is the surface that must execute the obligation 'AI cache rebuild must regenerate the rebuildable AI projections from versioned records wit'; prerequisite packages WP-I10-003, WP-I10-007, WP-I13-009 supply the underlying schema/identity/journal it needs.","Backup, trash, restore and rebuild",I13,I13,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-082,WP-I15-008,"WP-I15-008 is the architectural owner because its objective — Implement and verify the bounded integrated retained-feature parity surface. — is the surface that must execute the obligation 'Bundled AI components must have pinned versions, licence and provenance records, and packa'; prerequisite packages WP-I15-001, WP-I5-012, WP-I6-010, WP-I7-011 supply the underlying schema/identity/journal it needs.",Packaging and legacy eradication,I15,I15,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-085,WP-I10-006,"WP-I10-006 is the architectural owner because its objective — Implement and verify the bounded local ai scheduler surface. — is the surface that must execute the obligation 'When AI resource use is measured, Lamha must record CPU, RAM, GPU memory, and disk usage f'; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.",Local AI worker,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-086,WP-I1-005,"WP-I1-005 is the architectural owner because its objective — Inventory and persist licence, attribution, redistribution, model-provenance, and required legal-file obligations; block release until every required notice is  — is the surface that must execute the obligation 'When third-party models are considered for bundling, Lamha must record licence, attributio'; prerequisite packages WP-I1-001 supply the underlying schema/identity/journal it needs.",Legal and rebranding,I1,I1,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-AI-087,WP-I1-005,"WP-I1-005 is the architectural owner because its objective — Inventory and persist licence, attribution, redistribution, model-provenance, and required legal-file obligations; block release until every required notice is  — is the surface that must execute the obligation 'When models are considered for bundling, Lamha must maintain a model inventory with licenc'; prerequisite packages WP-I1-001 supply the underlying schema/identity/journal it needs.",Legal and rebranding,I1,I1,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-001,WP-I1-001,WP-I1-001 is the architectural owner because its objective — Implement and verify the bounded brand and identity inventory surface. — is the surface that must execute the obligation 'The application must use the reviewed name Lamha consistently on every user-visible surfac'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.,Legal and rebranding,I1,I1,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-014,WP-I2-013,"WP-I2-013 is the architectural owner because its objective — Implement and verify the bounded desktop shell smoke proof surface. — is the surface that must execute the obligation 'Lamha must expose library, search, review, map, editing, and maintenance workflows through'; prerequisite packages WP-I2-003 supply the underlying schema/identity/journal it needs.",Desktop shell,I2,I2,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-020,WP-I12-005,"WP-I12-005 is the architectural owner because its objective — Implement and verify the bounded pending sidecar overlays surface. — is the surface that must execute the obligation 'A pending sidecar overlay must persist until it is applied or explicitly rejected, remain '; prerequisite packages WP-I12-004 supply the underlying schema/identity/journal it needs.",Review Centre,I12,I12,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-021,WP-I3-001,WP-I3-001 is the architectural owner because its objective — Implement and verify the bounded authoritative record envelope surface. — is the surface that must execute the obligation 'A filesystem transaction must preserve the original value of every managed file or record '; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.,Filesystem transactions and recovery,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-024,WP-I10-011,"WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When similar-image detection runs locally, Lamha must produce reviewable duplicate candida'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",Duplicates,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-025,WP-I8-002,"WP-I8-002 is the architectural owner because its objective — Persist namespaced/revisioned tag candidates and approved assignments, generate content-tag suggestions with provenance, enforce review-first activation, and pe — is the surface that must execute the obligation 'When a local workflow proposes or changes a tag, Lamha must persist a namespaced, revision'; prerequisite packages WP-I8-001 supply the underlying schema/identity/journal it needs.",Tag candidates and review,I8,I8,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-LAM-ARCH-026,WP-I9-001,"WP-I9-001 is the architectural owner because its objective — Implement and verify the bounded canonical knowledge-graph projection surface. — is the surface that must execute the obligation 'When a mind-map projection is requested, Lamha must derive the map from canonical event an'; prerequisite packages WP-I8-004 supply the underlying schema/identity/journal it needs.",Mind-map projections,I9,I9,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
