record_id,original_source_text,previous_statement,final_statement,final_classification,parent_requirement,acceptance_criteria,capability,primary_phase,verification_method,review_rationale,evidence,disposition,reviewer_type,review_revision,review_status
CAN-LAM-META-009,Saved map JSON for saved drafts,"When Saved map JSON for saved drafts participates in 1.3 Directional Source-of-Truth & Authority Matrix, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","When a saved mind-map draft is written, Lamha must persist the map JSON through the transaction journal; a failed write must leave the last saved draft recoverable.",ACCEPTANCE_CRITERION,CAN-SECTION-0198,"Given a draft being saved, when the write commits, then the map JSON is durably stored; given a failed write, when recovery runs, then the last saved draft is restored unchanged.",Filesystem transactions and recovery,I3,Draft-save success/failure fixture with restore check.,Label names saved map JSON; rewrite adds the persistence and recovery outcomes.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.3 Directional Source-of-Truth & Authority Matrix; parent=CAN-SECTION-0198,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-03,"LAM-EDGE-03; Sidecars; External File Renaming or Moving; Scanner finds a new path with an exact stable UUID or full SHA-256 match.; Update the derived path index. If a deterministic, same-root, writable reunion is possible, transact the sidecars to match and log it; otherwise create Review.; Do NOT auto-match on filename/partial hash alone, cross an unauthorized boundary, create a duplicate UUID, or delete metadata.; Reunite or relink only after identity and destination checks; ambiguous candidates remain unresolved.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-03; Sidecars; External File Renaming or Moving; Scanner finds a new path with an exact stable UUID or full SHA-256 match.; Update the derived path index. If a deterministic, same-root, writable reunion is possible, transact the sidecars to match and log it; otherwise create Review.; Do NOT auto-match on filename/partial hash alone, cross an unauthorized boundary, create a duplicate UUID, or delete metadata.; Reunite or relink only after identity and destination checks; ambiguous candidates remain unresolved, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When the scanner finds a previously indexed asset at a new path with an exact stable UUID or full SHA-256 match, Lamha must update the derived path index and, if a deterministic same-root writable reunion exists, transact the sidecars to match and log it; otherwise it must create a Review item.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given an exact-UUID or full-hash match at a new path, when the scanner runs, then the path index updates and sidecars reunite only via a deterministic same-root transaction or a Review item is created; filename/partial-hash matches are never auto-applied and no duplicate UUID or metadata deletion occurs.",Media ingestion and derivation,I4,"External-rename scanner fixture covering exact, partial, and boundary cases.",Source edge-case text defines the required behavior; rewrite condenses it into a testable criterion.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-04,"LAM-EDGE-04; Naming; Filename Sequence Collision on Target Directory; Event builder or move command targets destination where filename.ext already exists with different hash.; Append sequence suffix _001, _002 before extension (filename_001.ext); preserve original filename in sidecar.; Do NOT overwrite existing file; do NOT merge sidecars of different assets.; Record renamed path in .asset.json and SQLite; notify user in Review Centre log.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-04; Naming; Filename Sequence Collision on Target Directory; Event builder or move command targets destination where filename.ext already exists with different hash.; Append sequence suffix 001, 002 before extension (filename001.ext); preserve original filename in sidecar.; Do NOT overwrite existing file; do NOT merge sidecars of different assets.; Record renamed path in .asset.json and SQLite; notify user in Review Centre log, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When an event builder or move command targets a destination whose filename already exists with a different hash, Lamha must append a deterministic sequence suffix before the extension, preserve the original filename in the sidecar, and never overwrite the existing file or merge sidecars of different assets.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a filename collision with a different hash, when the move runs, then the new file is stored as filename_001.ext with the original name preserved and the existing file remains unchanged.",Asset identity and records,I3,Collision move fixture with hash-preservation checks.,Source edge-case text defines collision behavior; rewrite makes the observable outcome explicit.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-05,"LAM-EDGE-05; External; Read-Only External Drive Connected; OS reports read-only state or a write returns permission/read-only failure.; Activate Detached Index Mode and store requested metadata edits as versioned Pending Overlays in Lamha’s OS application-data area.; Do NOT crash, claim the co-located sidecar changed, or perform structural mutations.; When writable, compare destination UUID/version/hash, show conflicts, commit the overlay transaction, verify, then remove the overlay.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-05; External; Read-Only External Drive Connected; OS reports read-only state or a write returns permission/read-only failure.; Activate Detached Index Mode and store requested metadata edits as versioned Pending Overlays in Lamha’s OS application-data area.; Do NOT crash, claim the co-located sidecar changed, or perform structural mutations.; When writable, compare destination UUID/version/hash, show conflicts, commit the overlay transaction, verify, then remove the overlay, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When the OS reports a read-only external drive or a write returns a permission/read-only failure, Lamha must activate Detached Index Mode and store requested metadata edits as versioned Pending Overlays in the OS application-data area; it must not crash, claim the co-located sidecar changed, or perform structural mutations.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a read-only external drive, when a metadata edit is requested, then a versioned Pending Overlay is stored locally and no sidecar or structural change is claimed or performed.",External drives and path resilience,I12,Read-only drive overlay fixture plus no-write assertion.,"Source edge-case text defines read-only behavior; rewrite names the mode, storage, and prohibitions.","Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-06,LAM-EDGE-06; Events; Midnight-Spanning Celebration; Event assets run from day $D$ into day $D+1$.; Keep the user-defined event unified and name it from its approved start date (Year/YYYY-MM-DD_Event-Name/). A long gap may produce a split suggestion only.; Do NOT automatically split or create events from a time-gap heuristic.; The user may confirm a split through the reviewed event workflow; otherwise preserve unity.,"When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-06; Events; Midnight-Spanning Celebration; Event assets run from day $D$ into day $D+1$.; Keep the user-defined event unified and name it from its approved start date (Year/YYYY-MM-DDEvent-Name/). A long gap may produce a split suggestion only.; Do NOT automatically split or create events from a time-gap heuristic.; The user may confirm a split through the reviewed event workflow; otherwise preserve unity, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When event assets span midnight, Lamha must keep the user-defined event unified and name it from its approved start date; it may only suggest a split for a long gap and must not automatically split or create events from a time-gap heuristic.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a midnight-spanning event, when event naming runs, then the event remains unified and uses the approved start date; a split occurs only after user confirmation.",Events and organization,I6,Midnight-spanning event fixture with split-confirmation check.,Source edge-case text defines midnight-spanning behavior; rewrite preserves the no-auto-split rule.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-07,"LAM-EDGE-07; People; Accidental Person Merge; User merges face clusters representing different people.; Record a durable pre-merge snapshot and expose Undo in operation history.; Do NOT erase either UUID, rely on a one-second UI window, or overwrite historical face links.; Restore the exact pre-merge person/face/reference state from the durable transaction snapshot.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-07; People; Accidental Person Merge; User merges face clusters representing different people.; Record a durable pre-merge snapshot and expose Undo in operation history.; Do NOT erase either UUID, rely on a one-second UI window, or overwrite historical face links.; Restore the exact pre-merge person/face/reference state from the durable transaction snapshot, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When the user merges face clusters that represent different people, Lamha must record a durable pre-merge snapshot and expose Undo in operation history; the merge must never erase either UUID, rely on a one-second UI window, or overwrite historical face links.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given an accidental person merge, when the merge commits, then a durable snapshot exists and Undo restores the exact pre-merge person/face/reference state.",People and faces,I7,Accidental-merge fixture with snapshot and undo verification.,Source edge-case text defines merge-safety behavior; rewrite adds the durable snapshot and restore result.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-09,"LAM-EDGE-09; External; External Drive Disconnects Mid-Transfer; I/O error or device disconnect occurs during transfer.; Mark the transparent coordinator manifest interrupted, index that state in SQLite, retain the source bundle, and stop finalization.; Do NOT mark moved, delete source, or use SQLite as sole recovery state.; When the volume UUID reconnects, reconcile its root manifest and offer deterministic resume/rollback Review actions.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-09; External; External Drive Disconnects Mid-Transfer; I/O error or device disconnect occurs during transfer.; Mark the transparent coordinator manifest interrupted, index that state in SQLite, retain the source bundle, and stop finalization.; Do NOT mark moved, delete source, or use SQLite as sole recovery state.; When the volume UUID reconnects, reconcile its root manifest and offer deterministic resume/rollback Review actions, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When an external drive disconnects mid-transfer, Lamha must mark the transparent coordinator manifest interrupted, index that state, retain the source bundle, and stop finalization; on reconnect it must reconcile the root manifest and offer deterministic resume or rollback Review actions.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a mid-transfer disconnect, when the interruption is detected, then the manifest is marked interrupted and the source bundle retained; given reconnect, then deterministic resume/rollback actions are offered.",External drives and path resilience,I12,Disconnect/reconnect fixture with manifest-state checks.,Source edge-case text defines disconnect behavior; rewrite names the manifest state and recovery path.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-10,"LAM-EDGE-10; Crash; Application Crash During File Organization; Startup finds an uncommitted local coordinator or root-scoped manifest.; Reconcile copies by transaction UUID, verify source/destination bundle hashes, and auto-finalize/roll back only when deterministic; otherwise open Review.; Do NOT ignore either copy, guess across a missing drive, or require command-line repair.; Persist recovery outcome to operation JSON/history, mark/reconcile manifests, re-index SQLite, and display the summary.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-10; Crash; Application Crash During File Organization; Startup finds an uncommitted local coordinator or root-scoped manifest.; Reconcile copies by transaction UUID, verify source/destination bundle hashes, and auto-finalize/roll back only when deterministic; otherwise open Review.; Do NOT ignore either copy, guess across a missing drive, or require command-line repair.; Persist recovery outcome to operation JSON/history, mark/reconcile manifests, re-index SQLite, and display the summary, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When startup finds an uncommitted local coordinator or root-scoped manifest after a crash, Lamha must reconcile copies by transaction UUID, verify source/destination hashes, and auto-finalize or roll back only when deterministic; otherwise it must open Review and persist the recovery outcome.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given an uncommitted manifest at startup, when recovery runs, then deterministic cases auto-finalize or roll back with verified hashes and non-deterministic cases open Review with a persisted outcome.",Filesystem transactions and recovery,I3,Crash-recovery fixture with manifest reconciliation checks.,Source edge-case text defines crash recovery; rewrite adds the determinism boundary and persisted outcome.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-11,"LAM-EDGE-11; Naming; Two Files Share Exact Same Original Filename & Timestamp; Scanner ingests distinct media with the same filename and timestamp.; Compare full hashes; differing hashes receive distinct UUIDs and a previewed deterministic _001, _002 sequence suffix.; Do NOT overwrite, merge sidecars, or assume a duplicate from name/time.; Commit both complete bundles and preserve each original filename.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-11; Naming; Two Files Share Exact Same Original Filename & Timestamp; Scanner ingests distinct media with the same filename and timestamp.; Compare full hashes; differing hashes receive distinct UUIDs and a previewed deterministic 001, 002 sequence suffix.; Do NOT overwrite, merge sidecars, or assume a duplicate from name/time.; Commit both complete bundles and preserve each original filename, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When the scanner ingests distinct media with the same filename and timestamp, Lamha must compare full hashes, assign distinct UUIDs, and apply a previewed deterministic sequence suffix; it must not overwrite, merge sidecars, or treat the pair as duplicates from name/time alone.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given two distinct files with identical name and timestamp, when ingestion runs, then each receives a distinct UUID and a previewed suffix, and both complete bundles are preserved.",Asset identity and records,I3,Same-name/timestamp collision fixture with UUID and bundle checks.,Source edge-case text defines same-name collision handling; rewrite names the hash-based identity rule.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-12,"LAM-EDGE-12; Sidecars; Malformed or Schema-Invalid Authoritative JSON; Versioned parser/schema validation fails.; Preserve the exact bytes in place, mark the asset/domain record degraded, use only verified last-known-good cache for read-only display, and open Review.; Do NOT overwrite, “repair” by guessing fields, or treat SQLite as replacement authority.; Offer restore from a verified snapshot or user-selected manual repair; validate and back up before commit.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-12; Sidecars; Malformed or Schema-Invalid Authoritative JSON; Versioned parser/schema validation fails.; Preserve the exact bytes in place, mark the asset/domain record degraded, use only verified last-known-good cache for read-only display, and open Review.; Do NOT overwrite, “repair” by guessing fields, or treat SQLite as replacement authority.; Offer restore from a verified snapshot or user-selected manual repair; validate and back up before commit, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When a versioned authoritative sidecar fails schema validation, Lamha must preserve the exact bytes in place, mark the asset/domain record degraded, use only the verified last-known-good cache for read-only display, and open Review; it must not overwrite, guess fields, or treat SQLite as replacement authority.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a malformed authoritative JSON, when validation fails, then the original bytes are preserved, the record is marked degraded, and Review offers verified restore or user-selected manual repair.","Backup, trash, restore and rebuild",I13,Malformed-sidecar fixture with byte-preservation and restore checks.,Source edge-case text defines malformed-sidecar behavior; rewrite makes preservation and repair explicit.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-EDGE-13,"LAM-EDGE-13; Sidecars; Future Unsupported Schema Version; The record’s required schema-version value is newer than the running app supports.; Preserve and treat that record as metadata read-only while allowing safe media viewing.; Do NOT downgrade, discard unknown fields, or write through an older schema.; Require a compatible Lamha version or an explicit supported export/migration path.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-13; Sidecars; Future Unsupported Schema Version; The record’s required schema-version value is newer than the running app supports.; Preserve and treat that record as metadata read-only while allowing safe media viewing.; Do NOT downgrade, discard unknown fields, or write through an older schema.; Require a compatible Lamha version or an explicit supported export/migration path, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","When a record requires a newer schema version than the running app supports, Lamha must preserve the record, treat it as metadata read-only while allowing safe media viewing, and must not downgrade, discard unknown fields, or write through an older schema.",ACCEPTANCE_CRITERION,CAN-SECTION-0148,"Given a future-version record, when the app loads it, then media viewing works, the record is preserved read-only, and no older-schema write occurs.",Metadata,I3,Future-schema fixture with read-only enforcement.,Source edge-case text defines future-schema behavior; rewrite states the read-only boundary.,"Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata; parent=CAN-SECTION-0148",REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
