canonical_id,title,source_text,current_statement,matched_template_family,why_current_statement_may_be_semantically_wrong,current_capability,current_phase,current_package,required_disposition,requirement_type,source_section,parent_requirement_id,parent_title,parent_statement,source_length_category
CAN-LAM-META-009,Saved map JSON for saved drafts,Saved map JSON for saved drafts,"When Saved map JSON for saved drafts participates in 1.3 Directional Source-of-Truth & Authority Matrix, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.",EXACT_LEGACY_OUTPUT;FAMILY:participates_in,Detected as EXACT_LEGACY_OUTPUT;FAMILY:participates_in; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label names saved map JSON; rewrite adds the persistence and recovery outcomes.,Filesystem transactions and recovery,I3,WP-I3-001,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,1.3 Directional Source-of-Truth & Authority Matrix,CAN-SECTION-0198,1.3 Directional Source-of-Truth & Authority Matrix — Local data authority,Lamha must implement the 1.3 Directional Source-of-Truth & Authority Matrix behavior for Local data authority and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-EDGE-03,LAM-EDGE-03; Sidecars; External File Renaming or Moving; Scanner finds a new path with an...,"LAM-EDGE-03; Sidecars; External File Renaming or Moving; Scanner finds a new path with an exact stable UUID or full SHA-256 match.; Update the derived path index. If a deterministic, same-root, writable reunion is possible, transact the sidecars to match and log it; otherwise create Review.; Do NOT auto-match on filename/partial hash alone, cross an unauthorized boundary, create a duplicate UUID, or delete metadata.; Reunite or relink only after identity and destination checks; ambiguous candidates remain unresolved.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-03; Sidecars; External File Renaming or Moving; Scanner finds a new path with an exact stable UUID or full SHA-256 match.; Update the derived path index. If a deterministic, same-root, writable reunion is possible, transact the sidecars to match and log it; otherwise create Review.; Do NOT auto-match on filename/partial hash alone, cross an unauthorized boundary, create a duplicate UUID, or delete metadata.; Reunite or relink only after identity and destination checks; ambiguous candidates remain unresolved, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines the required behavior; rewrite condenses it into a testable criterion.,Media ingestion and derivation,I4,WP-I4-008,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-04,LAM-EDGE-04; Naming; Filename Sequence Collision on Target Directory; Event builder or move...,"LAM-EDGE-04; Naming; Filename Sequence Collision on Target Directory; Event builder or move command targets destination where filename.ext already exists with different hash.; Append sequence suffix _001, _002 before extension (filename_001.ext); preserve original filename in sidecar.; Do NOT overwrite existing file; do NOT merge sidecars of different assets.; Record renamed path in .asset.json and SQLite; notify user in Review Centre log.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-04; Naming; Filename Sequence Collision on Target Directory; Event builder or move command targets destination where filename.ext already exists with different hash.; Append sequence suffix 001, 002 before extension (filename001.ext); preserve original filename in sidecar.; Do NOT overwrite existing file; do NOT merge sidecars of different assets.; Record renamed path in .asset.json and SQLite; notify user in Review Centre log, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines collision behavior; rewrite makes the observable outcome explicit.,Asset identity and records,I3,WP-I3-008,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-05,LAM-EDGE-05; External; Read-Only External Drive Connected; OS reports read-only state or a...,"LAM-EDGE-05; External; Read-Only External Drive Connected; OS reports read-only state or a write returns permission/read-only failure.; Activate Detached Index Mode and store requested metadata edits as versioned Pending Overlays in Lamha’s OS application-data area.; Do NOT crash, claim the co-located sidecar changed, or perform structural mutations.; When writable, compare destination UUID/version/hash, show conflicts, commit the overlay transaction, verify, then remove the overlay.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-05; External; Read-Only External Drive Connected; OS reports read-only state or a write returns permission/read-only failure.; Activate Detached Index Mode and store requested metadata edits as versioned Pending Overlays in Lamha’s OS application-data area.; Do NOT crash, claim the co-located sidecar changed, or perform structural mutations.; When writable, compare destination UUID/version/hash, show conflicts, commit the overlay transaction, verify, then remove the overlay, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,"Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines read-only behavior; rewrite names the mode, storage, and prohibitions.",External drives and path resilience,I12,WP-I12-005,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-06,LAM-EDGE-06; Events; Midnight-Spanning Celebration; Event assets run from day $D$ into day...,LAM-EDGE-06; Events; Midnight-Spanning Celebration; Event assets run from day $D$ into day $D+1$.; Keep the user-defined event unified and name it from its approved start date (Year/YYYY-MM-DD_Event-Name/). A long gap may produce a split suggestion only.; Do NOT automatically split or create events from a time-gap heuristic.; The user may confirm a split through the reviewed event workflow; otherwise preserve unity.,"When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-06; Events; Midnight-Spanning Celebration; Event assets run from day $D$ into day $D+1$.; Keep the user-defined event unified and name it from its approved start date (Year/YYYY-MM-DDEvent-Name/). A long gap may produce a split suggestion only.; Do NOT automatically split or create events from a time-gap heuristic.; The user may confirm a split through the reviewed event workflow; otherwise preserve unity, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines midnight-spanning behavior; rewrite preserves the no-auto-split rule.,Events and organization,I6,WP-I6-006,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-07,LAM-EDGE-07; People; Accidental Person Merge; User merges face clusters representing...,"LAM-EDGE-07; People; Accidental Person Merge; User merges face clusters representing different people.; Record a durable pre-merge snapshot and expose Undo in operation history.; Do NOT erase either UUID, rely on a one-second UI window, or overwrite historical face links.; Restore the exact pre-merge person/face/reference state from the durable transaction snapshot.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-07; People; Accidental Person Merge; User merges face clusters representing different people.; Record a durable pre-merge snapshot and expose Undo in operation history.; Do NOT erase either UUID, rely on a one-second UI window, or overwrite historical face links.; Restore the exact pre-merge person/face/reference state from the durable transaction snapshot, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines merge-safety behavior; rewrite adds the durable snapshot and restore result.,People and faces,I7,WP-I7-003,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-09,LAM-EDGE-09; External; External Drive Disconnects Mid-Transfer; I/O error or device...,"LAM-EDGE-09; External; External Drive Disconnects Mid-Transfer; I/O error or device disconnect occurs during transfer.; Mark the transparent coordinator manifest interrupted, index that state in SQLite, retain the source bundle, and stop finalization.; Do NOT mark moved, delete source, or use SQLite as sole recovery state.; When the volume UUID reconnects, reconcile its root manifest and offer deterministic resume/rollback Review actions.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-09; External; External Drive Disconnects Mid-Transfer; I/O error or device disconnect occurs during transfer.; Mark the transparent coordinator manifest interrupted, index that state in SQLite, retain the source bundle, and stop finalization.; Do NOT mark moved, delete source, or use SQLite as sole recovery state.; When the volume UUID reconnects, reconcile its root manifest and offer deterministic resume/rollback Review actions, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines disconnect behavior; rewrite names the manifest state and recovery path.,External drives and path resilience,I12,WP-I12-001,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-10,LAM-EDGE-10; Crash; Application Crash During File Organization; Startup finds an uncommitted...,"LAM-EDGE-10; Crash; Application Crash During File Organization; Startup finds an uncommitted local coordinator or root-scoped manifest.; Reconcile copies by transaction UUID, verify source/destination bundle hashes, and auto-finalize/roll back only when deterministic; otherwise open Review.; Do NOT ignore either copy, guess across a missing drive, or require command-line repair.; Persist recovery outcome to operation JSON/history, mark/reconcile manifests, re-index SQLite, and display the summary.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-10; Crash; Application Crash During File Organization; Startup finds an uncommitted local coordinator or root-scoped manifest.; Reconcile copies by transaction UUID, verify source/destination bundle hashes, and auto-finalize/roll back only when deterministic; otherwise open Review.; Do NOT ignore either copy, guess across a missing drive, or require command-line repair.; Persist recovery outcome to operation JSON/history, mark/reconcile manifests, re-index SQLite, and display the summary, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines crash recovery; rewrite adds the determinism boundary and persisted outcome.,Filesystem transactions and recovery,I3,WP-I3-008,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-11,LAM-EDGE-11; Naming; Two Files Share Exact Same Original Filename & Timestamp; Scanner...,"LAM-EDGE-11; Naming; Two Files Share Exact Same Original Filename & Timestamp; Scanner ingests distinct media with the same filename and timestamp.; Compare full hashes; differing hashes receive distinct UUIDs and a previewed deterministic _001, _002 sequence suffix.; Do NOT overwrite, merge sidecars, or assume a duplicate from name/time.; Commit both complete bundles and preserve each original filename.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-11; Naming; Two Files Share Exact Same Original Filename & Timestamp; Scanner ingests distinct media with the same filename and timestamp.; Compare full hashes; differing hashes receive distinct UUIDs and a previewed deterministic 001, 002 sequence suffix.; Do NOT overwrite, merge sidecars, or assume a duplicate from name/time.; Commit both complete bundles and preserve each original filename, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines same-name collision handling; rewrite names the hash-based identity rule.,Asset identity and records,I3,WP-I3-002,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-12,LAM-EDGE-12; Sidecars; Malformed or Schema-Invalid Authoritative JSON; Versioned...,"LAM-EDGE-12; Sidecars; Malformed or Schema-Invalid Authoritative JSON; Versioned parser/schema validation fails.; Preserve the exact bytes in place, mark the asset/domain record degraded, use only verified last-known-good cache for read-only display, and open Review.; Do NOT overwrite, “repair” by guessing fields, or treat SQLite as replacement authority.; Offer restore from a verified snapshot or user-selected manual repair; validate and back up before commit.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-12; Sidecars; Malformed or Schema-Invalid Authoritative JSON; Versioned parser/schema validation fails.; Preserve the exact bytes in place, mark the asset/domain record degraded, use only verified last-known-good cache for read-only display, and open Review.; Do NOT overwrite, “repair” by guessing fields, or treat SQLite as replacement authority.; Offer restore from a verified snapshot or user-selected manual repair; validate and back up before commit, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines malformed-sidecar behavior; rewrite makes preservation and repair explicit.,"Backup, trash, restore and rebuild",I13,WP-I13-001,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-13,LAM-EDGE-13; Sidecars; Future Unsupported Schema Version; The record’s required...,"LAM-EDGE-13; Sidecars; Future Unsupported Schema Version; The record’s required schema-version value is newer than the running app supports.; Preserve and treat that record as metadata read-only while allowing safe media viewing.; Do NOT downgrade, discard unknown fields, or write through an older schema.; Require a compatible Lamha version or an explicit supported export/migration path.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-13; Sidecars; Future Unsupported Schema Version; The record’s required schema-version value is newer than the running app supports.; Preserve and treat that record as metadata read-only while allowing safe media viewing.; Do NOT downgrade, discard unknown fields, or write through an older schema.; Require a compatible Lamha version or an explicit supported export/migration path, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines future-schema behavior; rewrite states the read-only boundary.,Metadata,I3,WP-I3-001,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
CAN-LAM-EDGE-14,LAM-EDGE-14; Storage; Symlink / Junction / Reparse Escape; Canonical path resolution leaves...,"LAM-EDGE-14; Storage; Symlink / Junction / Reparse Escape; Canonical path resolution leaves the Authorized Path Set or forms a cycle.; Stop traversal at the boundary, record the link without following it, and show a scoped warning.; Do NOT traverse, scan, or mutate the external target by textual-prefix checks.; The user may authorize the resolved target as a separate Library Root; then rescan with cycle detection.","When the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata workflow reads or changes LAM-EDGE-14; Storage; Symlink / Junction / Reparse Escape; Canonical path resolution leaves the Authorized Path Set or forms a cycle.; Stop traversal at the boundary, record the link without following it, and show a scoped warning.; Do NOT traverse, scan, or mutate the external target by textual-prefix checks.; The user may authorize the resolved target as a separate Library Root; then rescan with cycle detection, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.",EXACT_LEGACY_OUTPUT,Detected as EXACT_LEGACY_OUTPUT; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Source edge-case text defines reparse-escape behavior; rewrite names the boundary and authorization step.,Filesystem transactions and recovery,I3,WP-I3-004,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata",CAN-SECTION-0148,"1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata — Metadata","Lamha must implement the 1.5 Operational Edge-Case Registry for Files, Sidecars, Dates, and Metadata behavior for Metadata and satisfy every linked acceptance criterion.",LONG
