record_id,record_category,previous_value,final_value,why_previous_wrong,why_final_correct,evidence,review_result,reviewer_type,review_revision,correction_applied
CAN-LAM-ASSET-043,REQUIREMENT,A long inline directory-tree example defining the Primary Library Root layout.,"When Lamha initializes a writable Primary Library Root, it must create the approved year and event-folder layout plus the typed .app-data authority directories, while leaving existing user folders and media bytes unchanged.",The prior canonical statement embedded a large illustrative tree instead of a concise behavior and result.,"Given an empty root and a root containing existing user folders, when initialization runs, then required managed directories exist exactly once, existing paths and file hashes remain unchanged, and any collision returns a typed error.",CAN-LAM-ASSET-043 source tree retained in source_text; root and folder schemas,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Moved the illustrative layout to provenance and retained a concise initialization obligation.
CAN-LAM-ASSET-048,REQUIREMENT,Lamha must help the user sort them without immediately changing them.,"When newly discovered assets enter Manage Later, Lamha must display proposed event, folder, and metadata actions without changing media paths, bytes, or authoritative metadata until the user approves a typed operation plan.","The prior pronoun and help wording did not identify assets, preservation behavior, or the approval trigger.","Given unreviewed assets in Manage Later, when proposals are generated or inspected, then originals and authority records retain their hashes and revisions; only approval may create an executable operation plan.",CAN-LAM-ASSET-048 source trace and Manage Later workflow,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Named the actor, subject, proposals, preserved state, and authorization boundary."
CAN-LAM-ASSET-088,REQUIREMENT,Camera Owner; Camera Owner/<Name>; hardware owner definition and a paragraph contrasting photographer and visible person.,"Lamha must store camera owner, photographer, and visible-person attribution as independent typed fields so changing any one attribution cannot silently change either of the others.",The prior row was a semicolon-delimited glossary paragraph rather than executable behavior.,"Given an asset with three distinct attributions, when one field is updated, then its revision changes, the other two values and revisions remain unchanged, and the UI displays each role separately.",CAN-LAM-ASSET-088 source trace and expanded Asset schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Converted the glossary into a typed independence invariant and focused update test.
CAN-LAM-ASSET-147,REQUIREMENT,"Lamha must be planned and tested for: 10,000 assets / 50,000 assets / 100,000 assets.","Before release, Lamha performance validation must execute declared 10,000-, 50,000-, and 100,000-asset workloads and report latency, throughput, memory, CPU, cancellation, and responsiveness against reviewed budgets.","The prior statement named sizes but no operation, measurement, or pass/fail result.","Given each declared workload and hardware profile, when the benchmark suite runs, then every metric is recorded with its budget and any exceeded budget blocks release.",CAN-LAM-ASSET-147 source trace and I14 performance packages,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added workloads, observable measurements, declared budgets, and release failure behavior."
CAN-LAM-FOLDER-001,REQUIREMENT,A glossary paragraph defining an Event Folder and its naming examples.,"When a user approves event materialization in a writable Library Root, Lamha must create exactly one dated Year/YYYY-MM-DD-Event-Name folder or one Unknown Date/Unknown-Date-Event-Name folder and persist the approved naming inputs.",The prior definition mixed examples and policy without a trigger or verifiable outcome.,"Given dated and undated event proposals, when materialization is approved, then each event receives the correct typed path, capture time alone never approves a date, and path collisions return a typed resolution request.",CAN-LAM-FOLDER-001 source trace and event/root schemas,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Rewrote the glossary as approved materialization behavior.
CAN-LAM-GOV-052,REQUIREMENT,File 3 must reference those IDs rather than clone their text.,"The implementation tracker must reference canonical requirement IDs instead of copying requirement text, and validation must reject any tracker row whose ID is missing or whose embedded statement diverges from the canonical registry.",File 3 and those IDs were ambiguous and the prior clause had no failure behavior.,"Given a valid ID reference, a missing ID, and a copied divergent statement, when tracker validation runs, then the valid reference resolves and both invalid rows fail with record-specific errors.",CAN-LAM-GOV-052 source trace and canonical registry authority,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named the tracker and registry and added rejection behavior.
CAN-LAM-GOV-054,REQUIREMENT,"If an implementation discovery requires a new edge case, add it to File 1 first, then map it here by ID.","When implementation discovery identifies a new binding edge case, the planning tracker must first record a canonical requirement with source evidence and then reference that ID from its phase and work-package mappings.",File 1 and here were ambiguous and the original process lacked an observable validation result.,"Given a discovered edge case, when validation runs before a canonical record exists, then mapping is rejected; after the canonical record exists, the mapping resolves to exactly one phase and primary package.",CAN-LAM-GOV-054 source trace and mapping authority,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named each registry and added order and uniqueness gates.
CAN-LAM-GOV-075,REQUIREMENT,"If two binding clauses appear irreconcilable, cite both in BLOCKEDORUNKNOWN.md and mark the requirement deferred.","When two binding clauses remain irreconcilable, the implementation team must record both exact source locations in a typed blocked-decision record, mark only the affected requirement REVIEW_REQUIRED, and continue only work with no dependency on that decision.","The old filename token was malformed, the status was outside the reviewed vocabulary, and dependency blocking was implicit.","Given an unresolved conflict, when package readiness is evaluated, then the affected package and its dependents are blocked, independent packages remain eligible, and both source locations are visible in the decision record.",CAN-LAM-GOV-075 source trace and reviewed decision status model,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Replaced malformed free text with a typed decision and dependency-aware result.
CAN-LAM-GOV-238,REQUIREMENT,as one canonical steady-state transaction unit. Missing sidecars and Pending Overlays are visible degraded states...,"For each managed asset mutation, Rust must treat the media file, authoritative sidecar, pending overlay, and operation journal as one transaction unit; controlled backup, trash, export, and cross-drive copies must never establish a second authoritative asset location.",The prior statement began mid-sentence and combined history with the control without a complete actor.,"Given success, interruption, and checksum-failure cases, when a managed asset mutation runs, then the transaction commits one authority location or recovery restores the prior authority and reports the degraded state.",CAN-LAM-GOV-238 source trace and filesystem transaction schemas,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Restored a complete actor, transaction boundary, prohibition, and recovery result."
CAN-LAM-INV-AI-04,REQUIREMENT,"LAM-INV-AI-04; AI Workers; Task Invalidation Tracking; AI state MUST track task status, model identity, model version, source identity or hash, relevant configuration identity or hash, processing time, and invalidation/staleness state.","Each AI task record must store task status, model identity and version, source and configuration fingerprints, processing time, and invalidation state, and any fingerprint change must mark prior output stale before reuse.",The prior statement retained audit-column prefixes and deferred observable invalidation behavior.,"Given a completed task, when its source, model, or configuration fingerprint changes, then the prior result becomes stale and cannot be applied until a new task completes.",CAN-LAM-INV-AI-04 source trace and AI task schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and specified the stale-output transition.
CAN-LAM-INV-ASSET-01,REQUIREMENT,LAM-INV-ASSET-01; Assets; Single Media Authority; Each managed asset corresponds to exactly one authoritative primary media file on disk.,"Each managed asset identity must resolve to exactly one authoritative primary media file; categorization, albums, tags, events, and saved views must reference that identity without duplicating the media container.",The prior invariant included audit prefixes and lacked an observable authority check.,"Given one asset referenced by multiple organizational concepts, when authority validation runs, then exactly one primary path resolves and any second authoritative file blocks the operation.",CAN-LAM-INV-ASSET-01 source trace and Asset schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and added identity-resolution and duplication rejection.
CAN-LAM-INV-ASSET-02,REQUIREMENT,"LAM-INV-ASSET-02; Assets; Stable Asset UUIDs; Once assigned, an asset's stable UUID is immutable...","Once Lamha assigns an asset identity, every move, rename, edit, relink, and metadata revision must preserve that identity while recording the changed path or revision separately.",The prior invariant contained audit prefixes and deferred the serialized result.,"Given an indexed asset, when each supported mutation runs, then the asset ID remains byte-for-byte identical and only the typed path, hash, or revision fields change.",CAN-LAM-INV-ASSET-02 source trace and Asset schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and made mutation preservation directly testable.
CAN-LAM-INV-EVENT-01,REQUIREMENT,LAM-INV-EVENT-01; Events; Event Directory Naming; dated and Unknown Date naming prose.,"When Lamha materializes an approved event, it must create the typed dated or Unknown Date directory name from approved event fields and must never silently promote a capture-time suggestion into the authoritative date.",The prior invariant mixed audit labels and examples without an approval-state result.,"Given approved, unapproved, and unknown dates, when event materialization runs, then only approved values determine the directory and unapproved suggestions remain review candidates.",CAN-LAM-INV-EVENT-01 source trace and Event schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed audit prefixes and added approval-state verification.
CAN-LAM-INV-EVENT-03,REQUIREMENT,LAM-INV-EVENT-03; Events; Linked Folder Immobility; assets in Linked Folders must never be moved or renamed.,Automated event builders must leave every asset inside a user-designated Linked Folder at its existing path and return a non-mutating proposal when organization would otherwise require a move or rename.,The prior invariant retained audit prefixes and omitted the replacement behavior when movement is prohibited.,"Given linked and managed-root assets, when an event builder proposes organization, then linked paths and hashes remain unchanged while managed-root changes appear only in a typed plan.",CAN-LAM-INV-EVENT-03 source trace and linked-folder workflow,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added a non-mutating proposal result and preservation evidence.
CAN-LAM-INV-FS-01,REQUIREMENT,LAM-INV-FS-01; Storage; Authorized-Path Sandboxing; scan and write scope prose.,Rust must limit recursive scans to registered Library Roots and writes to the authorized path set or an operation-scoped destination explicitly selected by the user; every other path must be rejected before filesystem access.,The prior invariant retained audit prefixes and did not state rejection timing or result.,"Given authorized, operation-scoped, traversal, symlink-escape, and unrelated paths, when scan or write authorization runs, then only the first two pass and all others return typed authorization errors without I/O.",CAN-LAM-INV-FS-01 source trace and filesystem authorization contracts,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Specified authorization inputs, pre-I/O rejection, and typed errors."
CAN-LAM-INV-META-01,REQUIREMENT,LAM-INV-META-01; Metadata; Filesystem Path Authority; filesystem authority prose.,"For current path, directory, and filename fields, Lamha must read the operating-system filesystem as authority and treat cached SQLite or sidecar values only as projections that reconciliation may update.",The prior invariant retained audit prefixes and omitted reconciliation behavior.,"Given a file moved outside Lamha while projections remain stale, when reconciliation runs, then the current filesystem path becomes authoritative and every projection is updated or a typed missing-file state is reported.",CAN-LAM-INV-META-01 source trace and authority registry,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added the stale-projection trigger and observable reconciliation result.
CAN-LAM-INV-PERSON-01,REQUIREMENT,LAM-INV-PERSON-01; People; Stable Identity UUIDs; profile reference prose.,"Every person and group reference in sidecars, authoritative records, and SQLite projections must use the stable profile ID; renaming a profile must change only its presentation fields.",The prior invariant retained audit prefixes and lacked a rename verification.,"Given a referenced profile, when its canonical name changes, then all references retain the same profile ID and no relationship or membership edge is duplicated.",CAN-LAM-INV-PERSON-01 source trace and person/group schemas,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added cross-record ID preservation under rename.
CAN-LAM-INV-PERSON-02,REQUIREMENT,LAM-INV-PERSON-02; People; Multiple Effective-Dated Relationship Edges; relationship prose.,"A person profile must support simultaneous and historical typed relationship edges with effective intervals, certainty, notes, and revision history, and projections must derive categories only from explicit approved rules.",The prior invariant retained audit prefixes and mixed schema description with projection policy.,"Given overlapping, ended, and custom relationships, when history and category projections run, then every edge remains queryable by interval and no unapproved category is inferred.",CAN-LAM-INV-PERSON-02 source trace and relationship schemas,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Separated typed edge persistence from reviewed projection behavior.
CAN-LAM-META-002,REQUIREMENT,"Every retained feature must be fully functional, backed by real file-system sidecars and SQLite indexes, and capable of handling production error states.","Each retained feature that persists user knowledge must write its reviewed authoritative record, update or rebuild its SQLite projection, and return typed results for success, invalid input, I/O failure, conflict, cancellation, and recovery.",Fully functional and production error states were broad claims without named observable states.,"Given one retained persistence workflow, when each declared success and failure case runs, then authority and projection states match the schema and every failure returns a typed outcome without silent data loss.",CAN-LAM-META-002 source trace and authority/schema registries,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Replaced broad quality language with authority, projection, and typed-outcome obligations."
CAN-MISSION-I0-006,REQUIREMENT,"Inventory the exact Node, package-manager, Rust, Python, media, and platform toolchains.","During read-only I0 inspection, the implementation team must record the existing Node, package-manager, Rust, Python, media, and platform toolchain manifests and report unavailable or ambiguous versions without installing or modifying anything.","The imperative omitted the actor, no-write boundary, output, and missing-tool behavior.","Given the existing repository and host, when toolchain inspection runs, then every discoverable version and manifest path is recorded inside Graphify and every unavailable item is explicitly marked REVIEW_REQUIRED.",Final blocker-removal mission I0 scope and CAN-MISSION-I0-006,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added read-only scope, evidence output, and unavailable-version handling."
CAN-MISSION-I0-008,REQUIREMENT,"Classify missing fixtures, generated artifacts, dependencies, credentials, and environment prerequisites discovered by baseline attempts.","During read-only I0 inspection, the implementation team must classify each observed missing fixture, generated artifact, dependency, credential, or environment prerequisite and record its evidence and blocking effect without generating, installing, or supplying it.","The imperative did not state the evidence record, status, or prohibition on satisfying the prerequisite during baseline.","Given a missing prerequisite, when classification runs, then a Graphify record names its category, evidence, affected packages, and REVIEW_REQUIRED or BLOCKED status while the repository remains unchanged.",Final blocker-removal mission I0 scope and CAN-MISSION-I0-008,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added typed classification output and preserved the read-only boundary.
CAN-MISSION-I0-009,REQUIREMENT,"Inventory frontend coupling to server routes, generated clients, authentication, runtime hosts, and server-owned state.","During read-only I0 inspection, the implementation team must record each frontend dependency on server routes, generated clients, authentication, runtime hosts, or server-owned state and link it to the owning replacement decision or package.",The imperative lacked a mapping result and unresolved-ownership behavior.,"Given the frontend source, when coupling inspection runs, then every discovered coupling has source evidence, a dependency category, and one owning reviewed decision or package, with unresolved ownership reported as REVIEW_REQUIRED.",Final blocker-removal mission I0 scope and CAN-MISSION-I0-009,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added evidence, ownership linkage, and explicit unresolved status."
CAN-MISSION-I14-001,REQUIREMENT,"Measure performance on declared 10k, 50k, and 100k asset fixtures before accepting budgets.","I14 performance validation must execute declared 10,000-, 50,000-, and 100,000-asset fixtures, record reviewed latency and resource budgets, and block acceptance when any required measurement is missing or exceeded.","The imperative did not name the owner, full output, or failure behavior.","Given each declared fixture and hardware profile, when the benchmark runs, then every required measurement is recorded against its budget and any missing or exceeded result fails the gate.",CAN-MISSION-I14-001 and I14 performance packages,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added phase ownership, measurement evidence, and gate result."
CAN-MISSION-I14-002,REQUIREMENT,"Provide keyboard, focus, semantic, screen-reader, and non-visual alternatives for all graph, map, timeline, and review interfaces.","Each graph, map, timeline, and review interface must expose keyboard navigation, visible focus, semantic labels, screen-reader output, and a non-visual alternative that provides the same supported actions and state.",The imperative omitted equivalence and an observable accessibility test.,"Given each interface with pointer input unavailable, when accessibility checks run, then every supported action is reachable by keyboard and assistive technology and equivalent state is announced or displayed non-visually.",CAN-MISSION-I14-002 and I14 accessibility packages,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added equivalent actions/state and test conditions.
CAN-MISSION-I14-003,REQUIREMENT,"Measure background-job responsiveness, cancellation latency, CPU, GPU, memory, and power behavior on declared hardware.","I14 validation must execute representative background jobs on declared hardware and report responsiveness, cancellation latency, CPU, GPU, memory, and power measurements against reviewed budgets.",The imperative omitted phase ownership and pass/fail behavior.,"Given each representative job and hardware profile, when load and cancellation checks run, then all measurements are recorded and any missing or exceeded required budget fails the gate.",CAN-MISSION-I14-003 and I14 background-job packages,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added declared workloads, budgets, evidence, and failure behavior."
CAN-MISSION-I15-002,REQUIREMENT,"Generate an SBOM and complete licence, attribution, model, codec, runtime, signing, and redistribution review before release.","Before release, I15 must generate the product SBOM and record reviewed licence, attribution, model, codec, runtime, signing, and redistribution decisions; any missing component, evidence, or incompatible obligation must block packaging.","The imperative listed activities but not completeness, evidence, or blocking behavior.","Given the release component manifest, when compliance validation runs, then every shipped component appears in the SBOM with reviewed evidence and any unresolved or incompatible row fails the release gate.",CAN-MISSION-I15-002 and component manifest,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added completeness reconciliation and explicit packaging failure behavior.
CAN-LAM-ARCH-020,REQUIREMENT,"It is temporary but durable, visible in Review, conflict-checked before flush, and never silently discarded.","A pending sidecar overlay must persist until it is applied or explicitly rejected, remain visible in Review, and pass revision-conflict validation before any value is flushed to authoritative metadata.",The pronoun was ambiguous and the prohibition had no phase or primary package.,"Given a pending overlay, when the app restarts, a conflict appears, or the user rejects it, then the overlay respectively remains visible, stays unapplied with a typed conflict, or records the rejection without silent loss.",CAN-LAM-ARCH-020 source trace and pending-overlay contract,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named the overlay lifecycle and assigned pending-overlay ownership.
CAN-LAM-ASSET-026,REQUIREMENT,"Historical intervals are never overwritten, and current edges must not silently rewrite historical asset or event composition.",Updating a current relationship edge must append or close an effective-dated revision while preserving every historical interval and the asset or event composition derived for that interval.,"The prohibition lacked an actor, update trigger, verification result, phase, and package.","Given current and historical relationship intervals, when the current edge changes, then prior intervals and historical projections remain queryable and only the new effective interval changes current composition.",CAN-LAM-ASSET-026 source trace and relationship-history schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added revision behavior and mapped it to relationship history.
CAN-LAM-ASSET-047,REQUIREMENT,"with the same Photos/, Videos/, event.json, event.xmp, and .backup/ contents as a dated event. Lamha must not invent a calendar date.","When an event has no approved date, Lamha must keep it under the typed Unknown Date layout with the same managed contents as a dated event and must not derive an authoritative calendar date from capture-time suggestions.",The source fragment began mid-sentence and had no active phase or package.,"Given an event with no approved date, when naming or materialization runs, then its typed path uses Unknown Date, required managed records remain present, and capture-time suggestions remain non-authoritative.",CAN-LAM-ASSET-047 source trace and event date-boundary package,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Restored the subject, trigger, observable layout, and date-preservation behavior."
CAN-LAM-ASSET-090,REQUIREMENT,The app may suggest a photographer but must not silently confirm one.,"Lamha may create a photographer proposal from reviewed evidence, but it must keep the authoritative photographer field unchanged until the user explicitly approves the typed attribution candidate.","The prior prohibition omitted the candidate record, preserved field, approval result, phase, and package.","Given an asset with no approved photographer, when inference runs, then a review candidate may appear while the authoritative field and revision remain unchanged; approval alone may update them.",CAN-LAM-ASSET-090 source trace and attribution schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added typed proposal and approval-boundary behavior.
CAN-LAM-DELETE-285,REQUIREMENT,Lamha must not delete reusable visual components merely because they appear on an unwanted page.,Legacy page removal must retain each reusable visual component until an integrated retained-feature parity check proves the component is unused or a reviewed replacement is active.,"The prior gate lacked the replacement-verification trigger, evidence, phase, and removal package.","Given a legacy page with shared and page-only components, when removal validation runs, then shared components remain reachable by retained workflows and only proven unused or replaced components are deleted.",CAN-LAM-DELETE-285 source trace and legacy replacement gate,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added parity proof and mapped the gate to replacement-verified removal.
CAN-LAM-GOV-254,REQUIREMENT,"If the local coordinator, Primary Library Root operation history, or every affected writable-root manifest cannot be prepared, the mutation must not start.","Before a multi-root filesystem mutation starts, Rust must prepare the local coordinator, Primary Library Root operation history, and every affected writable-root manifest; preparation failure must return a typed error before any path changes.","The prior prohibition omitted the actor, typed outcome, observable preservation result, phase, and package.","Given successful and failed preparation for each required journal, when commit is requested, then all prepared journals allow staging and any missing journal rejects the operation with every filesystem path unchanged.",CAN-LAM-GOV-254 source trace and prepare/stage transaction contract,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added pre-I/O typed failure behavior and transaction ownership.
CAN-LAM-PERSON-051,REQUIREMENT,A person who is currently treated as Family must not be an active member of a friend group.,"When group membership validation observes an active Family classification, it must reject an overlapping active friend-group membership while preserving historical or explicitly reviewed non-overlapping intervals.","The prior prohibition lacked validation behavior, interval semantics, phase, and package ownership.","Given active Family, historical Family, and reviewed non-overlapping cases, when friend-group membership is proposed, then only the conflicting active interval is rejected with a typed reason.",CAN-LAM-PERSON-051 source trace and temporal group-membership package,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Added interval-aware validation and mapped it to group membership.
