Package ID,Exit-gate text,Test evidence required,Contract evidence required,Schema evidence required,Persistence evidence required,Recovery evidence required,Platform evidence required,Performance evidence required,Changed-file evidence required,Stop condition,Final result,Evidence,Reviewer role,Review revision,Verification status,Item-specific rationale
WP-I0-011,Every fixture passes and no requirement/package status can advance without recorded gate evidence.,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Tracker updates are journaled; failed validation preserves the prior revision.,Tracker updates are journaled; failed validation preserves the prior revision.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Every fixture passes and no requirement/package status can advance without recorded gate evidence.,VERIFIED,Exit gate text from work-packages.json for WP-I0-011,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-011: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I1-001,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-001, CAN-LAM-ARCH-368, CAN-LAM-ARCH-434, CAN-LAM-ARCH-439, CAN-LAM-ARCH-442, CAN-LAM-ARCH-443, CAN-LAM-LEGAL-010 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-ARCH-001, CAN-LAM-ARCH-368, CAN-LAM-ARCH-434, CAN-LAM-ARCH-439, CAN-LAM-ARCH-442, CAN-LAM-ARCH-443, CAN-LAM-LEGAL-010; verification methods include Name-consistency gate.; Rebranding fixture.; Name-consistency release check.; App-data name release check..","Contracts affected by requirements CAN-LAM-ARCH-001, CAN-LAM-ARCH-368, CAN-LAM-ARCH-434, CAN-LAM-ARCH-439, CAN-LAM-ARCH-442, CAN-LAM-ARCH-443, CAN-LAM-LEGAL-010; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-001, CAN-LAM-ARCH-368, CAN-LAM-ARCH-434, CAN-LAM-ARCH-439, CAN-LAM-ARCH-442, CAN-LAM-ARCH-443, CAN-LAM-LEGAL-010; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-001, CAN-LAM-ARCH-368, CAN-LAM-ARCH-434, CAN-LAM-ARCH-439, CAN-LAM-ARCH-442, CAN-LAM-ARCH-443, CAN-LAM-LEGAL-010 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I1-001,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I1-001: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I1-002,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-440, CAN-LAM-LEGAL-014 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-ARCH-440, CAN-LAM-LEGAL-014; verification methods include About-screen release check.; Legal-material preservation check..","Contracts affected by requirements CAN-LAM-ARCH-440, CAN-LAM-LEGAL-014; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-440, CAN-LAM-LEGAL-014; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-440, CAN-LAM-LEGAL-014 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I1-002,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I1-002: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I1-003,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-437, CAN-LAM-ARCH-438 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-ARCH-437, CAN-LAM-ARCH-438; verification methods include Package-ID release check.; Executable-name release check..","Contracts affected by requirements CAN-LAM-ARCH-437, CAN-LAM-ARCH-438; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-437, CAN-LAM-ARCH-438; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-437, CAN-LAM-ARCH-438 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I1-003,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I1-003: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I1-004,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-435, CAN-LAM-ARCH-436 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-ARCH-435, CAN-LAM-ARCH-436; verification methods include Logo-presence release check.; Icon-set release check..","Contracts affected by requirements CAN-LAM-ARCH-435, CAN-LAM-ARCH-436; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-ARCH-435, CAN-LAM-ARCH-436; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-ARCH-435, CAN-LAM-ARCH-436 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I1-004,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I1-004: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I1-005,Legal/attribution fixture suite passes with zero missing required files.,"Fixture suite asserting every bundled component has licence/attribution/redistribution review, required legal files are present, and release is blocked on any missing entry.",Legal-file and licence-inventory contracts,Licence/attribution and model-provenance records,Inventory writes are revisioned; failed verification preserves the previous inventory.,Inventory writes are revisioned; failed verification preserves the previous inventory.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Legal/attribution fixture suite passes with zero missing required files.,VERIFIED,Exit gate text from work-packages.json for WP-I1-005,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I1-005: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-001,Exit only when the reviewed fixtures for requirements CAN-LAM-META-034 pass and completion evidence is recorded.,Run reviewed fixtures for requirements CAN-LAM-META-034; verification methods include Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio.,Contracts affected by requirements CAN-LAM-META-034; registry references are resolved in the package packet.,Schemas affected by requirements CAN-LAM-META-034; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-LAM-META-034 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I10-001,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-001: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-002,"Exit only when the reviewed fixtures for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; verification methods include Private worker transport and listener-isolation gate.; AI-status fixture with no-mutation assertion.; AI-reuse fixture with gate checks.; Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio.","Contracts affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I10-002,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-002: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-003,"All WP-I10-003 fixtures pass for CAN-LAM-AI-032, CAN-LAM-AI-090, CAN-LAM-ARCH-394, including amendment-specific slow-compatible, override, scheduling, scope, pause/resume, hard-block, no-substitution, quantized, provenance, and invalidation cases.","Amendment fixtures: slow-compatible-selectable, estimates-shown, user-override, scheduling, selected-folders, pause/resume, hard-block reasons (memory/storage/runtime/checksum/licence), silent-substitution-prohibited, quantized-distinct, provenance-preserved, model-change-invalidates-derived-results; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures.",ai.models.list_compatible; ai.models.select; ai.models.estimates; ai.models.override,"model_registry plus command request/response schemas for compatibility, estimates, selection, override, provenance, and hard-block reasons",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"All WP-I10-003 fixtures pass for CAN-LAM-AI-032, CAN-LAM-AI-090, CAN-LAM-ARCH-394, including amendment-specific slow-compatible, override, scheduling, scope, pause/resume, hard-block, no-substitution, quantized, provenance, and invalidation cases.",VERIFIED,Exit gate text from work-packages.json for WP-I10-003,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-003: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-004,"Exit only when the reviewed fixtures for requirements CAN-LAM-AI-033, CAN-LAM-ARCH-230, CAN-LAM-INV-AI-04 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-AI-033, CAN-LAM-ARCH-230, CAN-LAM-INV-AI-04; verification methods include Model-version invalidation fixture.; Full AI-data-control fixture with rebuild checks.; Given a completed task, when its source, model, or configura.","Contracts affected by requirements CAN-LAM-AI-033, CAN-LAM-ARCH-230, CAN-LAM-INV-AI-04; registry references are resolved in the package packet.","Schemas affected by requirements CAN-LAM-AI-033, CAN-LAM-ARCH-230, CAN-LAM-INV-AI-04; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-AI-033, CAN-LAM-ARCH-230, CAN-LAM-INV-AI-04 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I10-004,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-004: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-005,Hardware-assessment fixture suite passes with every declared metric recorded.,"Fixture suite covering CPU/core/RAM/GPU/OS/disk/acceleration/library-count reporting and benchmark latency/resource recording on declared hardware; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures.",ai.hardware_assess; ai.models.estimates,hardware assessment and model estimate DTOs,Read-only assessment; failures return typed unavailable states without partial claims.,Read-only assessment; failures return typed unavailable states without partial claims.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Hardware-assessment fixture suite passes with every declared metric recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I10-005,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-005: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-006,"Exit only when the reviewed fixtures for requirements CAN-LAM-AI-031, CAN-LAM-AI-085, CAN-LAM-ARCH-030 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-LAM-AI-031, CAN-LAM-AI-085, CAN-LAM-ARCH-030; verification methods include AI-queue fixture with state checks.; Resource-measurement fixture.; Review-queue fixture with state checks; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures; CAN-LAM-AI-090 compatible-stronger-model, slow-estimate, exact-hard-block, no-silent-fallback, quantized-identity, provenance, scheduling/scope, pause/resume, and invalidation fixtures.",ai.jobs.schedule; ai.jobs.scope,job scheduling and selected-folder scope DTOs,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-LAM-AI-031, CAN-LAM-AI-085, CAN-LAM-ARCH-030 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I10-006,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-006: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I10-007,"Exit only when the reviewed fixtures for requirements CAN-FAIL-29, CAN-LAM-ARCH-229 pass and completion evidence is recorded.","Run reviewed fixtures for requirements CAN-FAIL-29, CAN-LAM-ARCH-229; verification methods include Per-task state and invalidation gate.; AI-data-control fixture with record preservation..","Contracts affected by requirements CAN-FAIL-29, CAN-LAM-ARCH-229; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-29, CAN-LAM-ARCH-229; schema paths are resolved in the package packet.",No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Exit only when the reviewed fixtures for requirements CAN-FAIL-29, CAN-LAM-ARCH-229 pass and completion evidence is recorded.",VERIFIED,Exit gate text from work-packages.json for WP-I10-007,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I10-007: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
