work_package_id,prerequisite_work_package_id,dependency_type,technical_rationale,evidence,review_status,reviewer_type,review_revision
WP-I5-005,WP-I5-001,REQUIRES_COMPONENT,"Selection and keyboard navigation operate on the virtualized gallery item and focus model.","Gallery component boundary",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-006,WP-I3-001,REQUIRES_SCHEMA,"Albums and favorites require versioned authoritative records before UI state can persist.","Album schema and asset references",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-007,WP-I4-010,REQUIRES_DERIVED_INDEX,"Memories are derived from stable asset capture metadata and current event/curation sources.","Memory authority decision",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-008,WP-I4-008,REQUIRES_SCHEMA,"Location and map browsing require typed coordinates with provenance from metadata extraction.","Asset/event Gps structures",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-009,WP-I3-005,REQUIRES_SCHEMA,"The asset inspector requires validated authoritative and mirror sidecar reads with degraded-state reporting.","Sidecar read protocol",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-011,WP-I4-012,REQUIRES_DERIVED_INDEX,"Saved views require the local text/filter index and an explicit authoritative saved-view schema.","Saved-view authority registry",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-012,WP-I5-001,REQUIRES_RELEASE_GATE,"Offline library parity proof requires the production gallery surface and its local data path.","Offline gallery parity",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-012,WP-I5-010,REQUIRES_RELEASE_GATE,"Offline parity includes the Review Centre using authoritative local records.","Review Centre parity",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-001,WP-I4-001,REQUIRES_SCANNER,"Manage Later inspection requires the non-mutating scanner and typed scan outcomes.","Scanner contract and Manage Later",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-005,WP-I6-002,REQUIRES_SCHEMA,"Event merge plans require authoritative event identity, membership, and revision records.","Event schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-006,WP-I6-002,REQUIRES_SCHEMA,"Event split and link plans require authoritative event identity and membership revisions.","Event schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-007,WP-I6-002,REQUIRES_SCHEMA,"Event naming and normalization use authoritative event dates and stable identity.","Event record naming inputs",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-008,WP-I6-002,REQUIRES_SCHEMA,"Date and location boundaries propose changes against versioned event records.","Event temporal/location fields",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I6-010,WP-I6-002,REQUIRES_COMPONENT,"Event and Manage Later UI requires authoritative event records and typed commands.","Event UI data source",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-005,WP-I7-004,REQUIRES_IDENTITY,"Person aliases and naming require stable person identity and revision ownership.","Person identity schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-007,WP-I7-004,REQUIRES_IDENTITY,"Group identity references stable person identities and cannot precede their authority model.","Person/group schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-008,WP-I7-007,REQUIRES_IDENTITY,"Temporal group memberships require stable group identities and cycle-safe hierarchy.","Group membership schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-009,WP-I7-002,REQUIRES_REVIEW_PROTOCOL,"Scoped face corrections operate on persisted face candidates and preserve decision provenance.","Face candidate records",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-010,WP-I7-004,REQUIRES_IDENTITY,"People and face privacy requires stable subject identity for scoped removal and visibility decisions.","Person identity and privacy classifications",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I7-011,WP-I7-004,REQUIRES_COMPONENT,"People and groups UI requires authoritative person identity and typed group references.","People UI data source",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-001,WP-I3-001,REQUIRES_SCHEMA,"Tag records and namespaces require the common authoritative record envelope.","Tag schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-002,WP-I8-001,REQUIRES_REVIEW_PROTOCOL,"Tag candidates require stable tag identity before review decisions can approve assignments.","Tag and review-item schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-005,WP-I8-004,REQUIRES_GRAPH_MODEL,"Multi-edge history requires authoritative relationship-edge identities and revisions.","Relationship and history schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-006,WP-I8-005,REQUIRES_GRAPH_MODEL,"Relationship projections and views derive only from versioned multi-edge history and approved rules.","Relationship projection rule",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-007,WP-I7-004,REQUIRES_IDENTITY,"Photographer and camera-owner attribution requires stable person identities and distinct role fields.","Attribution authority decision",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I8-010,WP-I8-004,REQUIRES_GRAPH_MODEL,"Relationship provenance explanations require authoritative edge records and source evidence.","Relationship record provenance",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I9-003,WP-I9-001,REQUIRES_GRAPH_MODEL,"Folder-scoped maps require the canonical knowledge-graph node and edge model.","Knowledge-graph projection schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I9-004,WP-I9-001,REQUIRES_GRAPH_MODEL,"Event maps require canonical graph projection identity before event nodes and links render.","Knowledge-graph projection schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I9-005,WP-I9-001,REQUIRES_GRAPH_MODEL,"People and relationship maps require the canonical graph projection and stable node identities.","Knowledge-graph projection schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-002,WP-I10-001,REQUIRES_AI_WORKER,"Private local transport requires the Rust-owned worker lifecycle and cancellation authority.","AI worker protocol",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-004,WP-I10-003,REQUIRES_MODEL_REGISTRY,"Model checksums and compatibility are properties of versioned model registry entries.","Model registry schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-005,WP-I10-003,REQUIRES_MODEL_REGISTRY,"Hardware assessment evaluates the runtime requirements declared by model registry entries.","Model registry component requirements",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-006,WP-I10-001,REQUIRES_AI_WORKER,"The local scheduler requires a supervised worker lifecycle and typed cancellation.","AI worker lifecycle",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-008,WP-I10-007,REQUIRES_SCHEMA,"Progress, retry, and cancellation require durable per-task queue identity and state.","AI task schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-012,WP-I10-003,REQUIRES_MODEL_REGISTRY,"Location proposals must pin the selected model, version, and compatibility evidence.","AI candidate and model schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-013,WP-I5-010,REQUIRES_REVIEW_PROTOCOL,"AI suppression and invalidation require the Review Centre decision states and history semantics.","Review item and AI candidate schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I10-014,WP-I10-002,REQUIRES_AI_WORKER,"AI privacy and outbound prohibition must be enforced at the private worker transport boundary.","Private transport listener and outbound gates",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-002,WP-I11-001,REQUIRES_COMMAND_CONTRACT,"Batch metadata plans require the authority-aware editor command and conflict model.","Metadata editor contract",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-003,WP-I11-001,REQUIRES_SCHEMA,"Metadata privacy removal must read authority and provenance before planning field removal.","Metadata authority editor",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-009,WP-I11-003,REQUIRES_SCHEMA,"Privacy export recipes require the reviewed privacy-removal field and preservation semantics.","Privacy export recipe schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-010,WP-I3-006,REQUIRES_STORAGE,"Metadata snapshots and restore require the transactional sidecar write protocol.","Sidecar write and snapshot schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-011,WP-I3-015,REQUIRES_TRANSACTION_ENGINE,"Edit revision conflicts require record revision and optimistic concurrency preconditions.","Revision precondition contract",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I11-012,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,"Editing recovery requires the durable crash recovery engine and journal terminal states.","Crash recovery engine",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-004,WP-I12-002,REQUIRES_COMPONENT,"Detached read-only experience renders the drive disconnection and access-mode state machine.","Drive state machine",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-005,WP-I12-004,REQUIRES_STORAGE,"Pending sidecar overlays are the durable write path exposed by detached read-only mode.","Pending overlay authority",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-006,WP-I12-001,REQUIRES_IDENTITY,"Root and asset relinking require stable drive identity independent of mount path.","Drive registry schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-007,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,"Cross-volume copy-and-verify requires durable staging, verification, and crash recovery.","Filesystem transaction engine",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-008,WP-I3-004,REQUIRES_FILESYSTEM_AUTHORITY,"Cross-platform adapters must enforce normalized paths and root escape protection.","Path normalization and escape tests",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I12-009,WP-I12-007,REQUIRES_TRANSACTION_ENGINE,"Drive transaction recovery replays cross-volume copy-and-verify states after disconnection.","Cross-volume transaction states",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I13-003,WP-I13-002,REQUIRES_STORAGE,"Backup verification requires completed backup outputs and their manifest hashes.","Backup manifest and execution",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I13-007,WP-I13-006,REQUIRES_STORAGE,"Trash and permanent-delete operations require durable trash records and root-scoped placement.","Trash record schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I13-008,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,"Recovery records and audit derive from durable operation and crash-recovery states.","Operation journal and recovery engine",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I13-009,WP-I3-009,REQUIRES_DERIVED_INDEX,"SQLite rebuild executes the previously defined derived-index rebuild contract and authority map.","Derived-index rebuild contract",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I13-010,WP-I10-007,REQUIRES_MODEL_REGISTRY,"AI cache rebuild requires task provenance and model compatibility to decide valid recomputation.","AI task and model registry",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-002,WP-I14-001,REQUIRES_PLATFORM_PROOF,"Scan and index performance requires the reviewed scale fixtures and measurement protocol.","Performance fixture definitions",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-003,WP-I14-001,REQUIRES_PLATFORM_PROOF,"Gallery and viewer performance requires the reviewed scale fixtures and measurement protocol.","Performance fixture definitions",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-003,WP-I5-001,REQUIRES_COMPONENT,"Gallery performance measures the production virtualized gallery rather than a synthetic component.","Gallery component",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-004,WP-I14-001,REQUIRES_PLATFORM_PROOF,"AI performance and resource budgets require the reviewed fixture sizes and measurement protocol.","Performance fixture definitions",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-004,WP-I10-006,REQUIRES_AI_WORKER,"AI resource budgets measure the production scheduler and worker lifecycle.","AI scheduler",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-008,WP-I14-005,REQUIRES_COMPONENT,"Map and graph accessibility applies the shared accessibility semantics and input model.","Accessibility semantics",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-008,WP-I9-001,REQUIRES_GRAPH_MODEL,"Accessible map navigation requires stable graph nodes, edges, and focus identity.","Knowledge-graph projection",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-009,WP-I10-008,REQUIRES_COMMAND_CONTRACT,"Background-job controls require typed progress, cancellation, and retry behavior.","AI progress commands",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I14-010,WP-I10-005,REQUIRES_PLATFORM_PROOF,"Resource and power controls require the hardware assessment and provider capability results.","Hardware assessment",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-005,WP-I15-001,REQUIRES_RELEASE_GATE,"Signing and notarization operate on the verified cross-platform package outputs.","Package build outputs",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-006,WP-I0-005,REQUIRES_DECISION,"Runtime component licence decisions require exact selected toolchain and component versions.","Toolchain and component inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-007,WP-I15-006,REQUIRES_COMPONENT,"The SBOM and notices require final reviewed component identities, versions, and licence decisions.","Component licence manifest",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-007,WP-I15-001,REQUIRES_RELEASE_GATE,"The SBOM must describe the exact clean-machine package contents.","Cross-platform package outputs",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-008,WP-I15-001,REQUIRES_RELEASE_GATE,"Integrated retained-feature parity runs against the final cross-platform package shape.","Clean-machine package proof",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-008,WP-I5-012,REQUIRES_RELEASE_GATE,"Integrated parity requires the offline library parity surface.","Offline library parity",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-008,WP-I6-010,REQUIRES_RELEASE_GATE,"Integrated parity includes event and Manage Later workflows.","Event UI package",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-008,WP-I7-011,REQUIRES_RELEASE_GATE,"Integrated parity includes people, group, and face curation workflows.","People UI package",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-014,WP-I0-010,REQUIRES_PROVENANCE,"Final outbound verification compares runtime observations against the baseline outbound integration inventory.","Outbound inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I15-014,WP-I10-014,REQUIRES_RELEASE_GATE,"Final outbound verification requires the enforced AI privacy and no-listener boundary.","AI outbound prohibition",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
