Package ID,Name,Phase,Requirement count,Capability list,Review result,Boundary exception required,Shared architectural boundary,Why one package safer than splitting,Shared contracts/schemas,Shared tests,Final decision,Reviewer rationale
WP-I3-015,Revision and concurrency preconditions,I3,3,Local data authority;Metadata;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: Revision and concurrency preconditions is a shared architectural surface used by Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 3 capabilities but operate on the same Revision and concurrency preconditions surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for revision and concurrency preconditions; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I3-015 is retained as one bounded package because its requirements all execute the Revision and concurrency preconditions surface; the cohesion rationale 'Reviewed cross-capability package: Revision and concurrency preconditions is a shared architectural surface used by Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I4-001,Initial recursive scanner,I4,17,Initial recursive scanner;Libraries and storage;Media ingestion and derivation;Planning and verification governance;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: Initial recursive scanner is a shared architectural surface used by Libraries and storage, Media ingestion and derivation, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 5 capabilities but operate on the same Initial recursive scanner surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for initial recursive scanner; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I4-001 is retained as one bounded package because its requirements all execute the Initial recursive scanner surface; the cohesion rationale 'Reviewed cross-capability package: Initial recursive scanner is a shared architectural surface used by Libraries and storage, Media ingestion and derivation, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I4-008,Metadata extraction,I4,11,Libraries and storage;Media ingestion and derivation;Metadata;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: Metadata extraction is a shared architectural surface used by Libraries and storage, Media ingestion and derivation, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Metadata extraction surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for metadata extraction; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I4-008 is retained as one bounded package because its requirements all execute the Metadata extraction surface; the cohesion rationale 'Reviewed cross-capability package: Metadata extraction is a shared architectural surface used by Libraries and storage, Media ingestion and derivation, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I5-006,Albums and favorites,I5,15,Albums and favorites;Asset viewer;Gallery and timeline;Metadata,PASS,YES,"Reviewed cross-capability package: Albums and favorites is a shared architectural surface used by Albums and favorites, Asset viewer, Gallery and timeline, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Albums and favorites surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for albums and favorites; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I5-006 is retained as one bounded package because its requirements all execute the Albums and favorites surface; the cohesion rationale 'Reviewed cross-capability package: Albums and favorites is a shared architectural surface used by Albums and favorites, Asset viewer, Gallery and timeline, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I5-007,Memories experience,I5,14,Albums and favorites;Memories;People and faces;Tags,PASS,YES,"Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Memories experience surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for memories experience; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I5-007 is retained as one bounded package because its requirements all execute the Memories experience surface; the cohesion rationale 'Reviewed cross-capability package: Memories experience is a shared architectural surface used by Memories, People and faces, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I5-010,Review-state mutations,I5,17,Asset viewer;Review Centre;Review Centre foundation,PASS,YES,"All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.","Members span 3 capabilities but operate on the same Review-state mutation and decision persistence surface; they share contracts (Review decision and transition contracts) and schemas (Review item and review decision records), so one package is safer than splitting.",Review decision and transition contracts | Review item and review decision records,Approve/reject/suppress/defer/apply-to-selection success and invalid-transition tests.,KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I5-010 is retained as one bounded package because its requirements all execute the Review-state mutation and decision persistence surface; the cohesion rationale 'All members mutate or persist review-item state; read-only navigation, filtering, and reveal behaviors were moved to dedicated I5 packages.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I5-013,Read and navigation surfaces,I5,10,Asset viewer;Events and organization;Gallery and timeline;People and faces;Review Centre,PASS,YES,Every member is a read or navigation behavior with an explicit no-mutation result.,"Members span 5 capabilities but operate on the same Read-only navigation and display across review, asset, event, and person surfaces surface; they share contracts (Review navigation and display contracts) and schemas (Review item, asset, event, and person read projections), so one package is safer than splitting.","Review navigation and display contracts | Review item, asset, event, and person read projections",Open/navigation fixtures asserting no authoritative state change.,KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I5-013 is retained as one bounded package because its requirements all execute the Read-only navigation and display across review, asset, event, and person surfaces surface; the cohesion rationale 'Every member is a read or navigation behavior with an explicit no-mutation result.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I6-002,Event authoritative records,I6,21,Event authoritative records;Events and organization;Metadata,PASS,YES,"All members define, persist, or project authoritative event records and keep them consistent with reviewed schemas.","Package holds 21 requirements; all members share the Event authoritative records, schema/JSON-XMP alignment, and event projections boundary, contracts (Event authoritative record and projection contracts), and schemas (Event record and event projection schemas). Splitting would duplicate the shared validation, revision, and transaction behavior without separating engineering work.",Event authoritative record and projection contracts | Event record and event projection schemas,"Fixture suite covering all event types, membership, attendees/groups/tags/descriptions/covers, schema rejection, JSON/XMP alignment, and AI-deletion rebuild.",KEEP_WITH_COHESION_REVIEW,"WP-I6-002 is retained as one bounded package because its requirements all execute the Event authoritative records, schema/JSON-XMP alignment, and event projections surface; the cohesion rationale 'All members define, persist, or project authoritative event records and keep them consistent with reviewed schemas.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I6-007,Event naming and normalization,I6,5,Events and organization;Libraries and storage;Metadata,PASS,YES,"Reviewed cross-capability package: Event naming and normalization is a shared architectural surface used by Events and organization, Libraries and storage, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 3 capabilities but operate on the same Event naming and normalization surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for event naming and normalization; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I6-007 is retained as one bounded package because its requirements all execute the Event naming and normalization surface; the cohesion rationale 'Reviewed cross-capability package: Event naming and normalization is a shared architectural surface used by Events and organization, Libraries and storage, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I6-008,Date and location boundaries,I6,11,Date and location boundaries;Events and organization;Libraries and storage;Map and location;Metadata,PASS,YES,"Reviewed cross-capability package: Date and location boundaries is a shared architectural surface used by Events and organization, Libraries and storage, Map and location. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 5 capabilities but operate on the same Date and location boundaries surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for date and location boundaries; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I6-008 is retained as one bounded package because its requirements all execute the Date and location boundaries surface; the cohesion rationale 'Reviewed cross-capability package: Date and location boundaries is a shared architectural surface used by Events and organization, Libraries and storage, Map and location. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I6-009,Event filesystem materialization plan,I6,13,Event filesystem materialization plan;Events and organization;Libraries and storage,PASS,YES,"The package is bounded to the event filesystem materialization plan architectural surface and its direct contracts, records, and tests.","Members span 3 capabilities but operate on the same Event filesystem materialization plan surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for event filesystem materialization plan; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I6-009 is retained as one bounded package because its requirements all execute the Event filesystem materialization plan surface; the cohesion rationale 'The package is bounded to the event filesystem materialization plan architectural surface and its direct contracts, records, and tests.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I7-007,Group identity model,I7,9,Group identity model;Metadata;People and faces,PASS,YES,"The package is bounded to the group identity model architectural surface and its direct contracts, records, and tests.","Members span 3 capabilities but operate on the same Group identity model surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for group identity model; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I7-007 is retained as one bounded package because its requirements all execute the Group identity model surface; the cohesion rationale 'The package is bounded to the group identity model architectural surface and its direct contracts, records, and tests.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I7-010,People and face privacy,I7,6,Asset viewer;Metadata;People and faces,PASS,YES,"Reviewed cross-capability package: People and face privacy is a shared architectural surface used by Asset viewer, Metadata, People and faces. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 3 capabilities but operate on the same People and face privacy surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for people and face privacy; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I7-010 is retained as one bounded package because its requirements all execute the People and face privacy surface; the cohesion rationale 'Reviewed cross-capability package: People and face privacy is a shared architectural surface used by Asset viewer, Metadata, People and faces. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I8-001,Tag records and namespaces,I8,5,Metadata;Relationships and attribution;Tags,PASS,YES,"Reviewed cross-capability package: Tag records and namespaces is a shared architectural surface used by Metadata, Relationships and attribution, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 3 capabilities but operate on the same Tag records and namespaces surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for tag records and namespaces; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I8-001 is retained as one bounded package because its requirements all execute the Tag records and namespaces surface; the cohesion rationale 'Reviewed cross-capability package: Tag records and namespaces is a shared architectural surface used by Metadata, Relationships and attribution, Tags. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I8-002,Tag candidates and review,I8,5,Relationships and attribution;Tag candidates and review;Tags,PASS,YES,All members manage the candidate-to-approved tag lifecycle and suppression without bypassing review.,"Members span 3 capabilities but operate on the same Tag candidate generation, review-first activation, and suppression surface; they share contracts (Tag candidate, suggestion, and suppression contracts) and schemas (Tag candidate, suggestion, and suppression records), so one package is safer than splitting.","Tag candidate, suggestion, and suppression contracts | Tag candidate, suggestion, and suppression records","Fixture suite covering candidate creation, suggestion provenance, review-first activation, and suppression persistence.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I8-002 is retained as one bounded package because its requirements all execute the Tag candidate generation, review-first activation, and suppression surface; the cohesion rationale 'All members manage the candidate-to-approved tag lifecycle and suppression without bypassing review.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I8-006,Relationship projections and views,I8,8,Metadata;People and faces;Relationship projections and views;Relationships and attribution,PASS,YES,"Reviewed cross-capability package: Relationship projections and views is a shared architectural surface used by Metadata, People and faces, Relationships and attribution. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Relationship projections and views surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for relationship projections and views; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I8-006 is retained as one bounded package because its requirements all execute the Relationship projections and views surface; the cohesion rationale 'Reviewed cross-capability package: Relationship projections and views is a shared architectural surface used by Metadata, People and faces, Relationships and attribution. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I8-007,Photographer camera-owner importer attribution,I8,14,Metadata;Photographer camera-owner importer attribution;Relationships and attribution,PASS,YES,"The package is bounded to the photographer camera-owner importer attribution architectural surface and its direct contracts, records, and tests.","Members span 3 capabilities but operate on the same Photographer camera-owner importer attribution surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for photographer camera-owner importer attribution; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I8-007 is retained as one bounded package because its requirements all execute the Photographer camera-owner importer attribution surface; the cohesion rationale 'The package is bounded to the photographer camera-owner importer attribution architectural surface and its direct contracts, records, and tests.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
